s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Belarus,belarus,BY,Brest Region,brest-region,Antopal,antopal
Belarus,belarus,BY,Brest Region,brest-region,Asnyezhytsy,asnyezhytsy
Belarus,belarus,BY,Brest Region,brest-region,Baranovichi,baranovichi
Belarus,belarus,BY,Brest Region,brest-region,Baranovichskiy Rayon,baranovichskiy-rayon
Belarus,belarus,BY,Brest Region,brest-region,Brest,brest
Belarus,belarus,BY,Brest Region,brest-region,Brestski Rayon,brestski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Byaroza,byaroza
Belarus,belarus,BY,Brest Region,brest-region,Byarozawski Rayon,byarozawski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Byelaazyorsk,byelaazyorsk
Belarus,belarus,BY,Brest Region,brest-region,Charnawchytsy,charnawchytsy
Belarus,belarus,BY,Brest Region,brest-region,Damachava,damachava
Belarus,belarus,BY,Brest Region,brest-region,Davyd-Haradok,davyd-haradok
Belarus,belarus,BY,Brest Region,brest-region,Drahichyn,drahichyn
Belarus,belarus,BY,Brest Region,brest-region,Drahichynski Rayon,drahichynski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Hantsavichy,hantsavichy
Belarus,belarus,BY,Brest Region,brest-region,Hantsavitski Rayon,hantsavitski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Haradzishcha,haradzishcha
Belarus,belarus,BY,Brest Region,brest-region,Horad Baranavichy,horad-baranavichy
Belarus,belarus,BY,Brest Region,brest-region,Horad Brest,horad-brest
Belarus,belarus,BY,Brest Region,brest-region,Ivanava,ivanava
Belarus,belarus,BY,Brest Region,brest-region,Ivanawski Rayon,ivanawski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Ivatsevichy,ivatsevichy
Belarus,belarus,BY,Brest Region,brest-region,Kamyanyets,kamyanyets
Belarus,belarus,BY,Brest Region,brest-region,Kamyanyetski Rayon,kamyanyetski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Kamyanyuki,kamyanyuki
Belarus,belarus,BY,Brest Region,brest-region,Kobryn,kobryn
Belarus,belarus,BY,Brest Region,brest-region,Kosava,kosava
Belarus,belarus,BY,Brest Region,brest-region,Lahishyn,lahishyn
Belarus,belarus,BY,Brest Region,brest-region,Luninyets,luninyets
Belarus,belarus,BY,Brest Region,brest-region,Lyakhavichy,lyakhavichy
Belarus,belarus,BY,Brest Region,brest-region,Malaryta,malaryta
Belarus,belarus,BY,Brest Region,brest-region,Mikashevichy,mikashevichy
Belarus,belarus,BY,Brest Region,brest-region,Motal,motal
Belarus,belarus,BY,Brest Region,brest-region,Nyakhachava,nyakhachava
Belarus,belarus,BY,Brest Region,brest-region,Pinsk,pinsk
Belarus,belarus,BY,Brest Region,brest-region,Pruzhanski Rayon,pruzhanski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Pruzhany,pruzhany
Belarus,belarus,BY,Brest Region,brest-region,Ruzhany,ruzhany
Belarus,belarus,BY,Brest Region,brest-region,Stolin,stolin
Belarus,belarus,BY,Brest Region,brest-region,Stolinski Rayon,stolinski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Tsyelyakhany,tsyelyakhany
Belarus,belarus,BY,Brest Region,brest-region,Vysokaye,vysokaye
Belarus,belarus,BY,Brest Region,brest-region,Zhabinka,zhabinka
Belarus,belarus,BY,Brest Region,brest-region,Zhabinkawski Rayon,zhabinkawski-rayon
Belarus,belarus,BY,Brest Region,brest-region,Znamenka,znamenka
Belarus,belarus,BY,Gomel Region,gomel-region,Aktsyabrski,aktsyabrski
Belarus,belarus,BY,Gomel Region,gomel-region,Brahin,brahin
Belarus,belarus,BY,Gomel Region,gomel-region,Brahinski Rayon,brahinski-rayon
Belarus,belarus,BY,Gomel Region,gomel-region,Buda-Kashalyova,buda-kashalyova
Belarus,belarus,BY,Gomel Region,gomel-region,Chachersk,chachersk
Belarus,belarus,BY,Gomel Region,gomel-region,Chacherski Rayon,chacherski-rayon
Belarus,belarus,BY,Gomel Region,gomel-region,Dobrush,dobrush
Belarus,belarus,BY,Gomel Region,gomel-region,Dowsk,dowsk
Belarus,belarus,BY,Gomel Region,gomel-region,Homyel',homyel
Belarus,belarus,BY,Gomel Region,gomel-region,Homyelski Rayon,homyelski-rayon
Belarus,belarus,BY,Gomel Region,gomel-region,Kalinkavichy,kalinkavichy
Belarus,belarus,BY,Gomel Region,gomel-region,Karanyowka,karanyowka
Belarus,belarus,BY,Gomel Region,gomel-region,Karma,karma
Belarus,belarus,BY,Gomel Region,gomel-region,Kastsyukowka,kastsyukowka
Belarus,belarus,BY,Gomel Region,gomel-region,Khalch,khalch
Belarus,belarus,BY,Gomel Region,gomel-region,Khoyniki,khoyniki
Belarus,belarus,BY,Gomel Region,gomel-region,Loyew,loyew
Belarus,belarus,BY,Gomel Region,gomel-region,Lyelchytski Rayon,lyelchytski-rayon
Belarus,belarus,BY,Gomel Region,gomel-region,Lyelchytsy,lyelchytsy
Belarus,belarus,BY,Gomel Region,gomel-region,Mazyr,mazyr
Belarus,belarus,BY,Gomel Region,gomel-region,Mazyrski Rayon,mazyrski-rayon
Belarus,belarus,BY,Gomel Region,gomel-region,Narowlya,narowlya
Belarus,belarus,BY,Gomel Region,gomel-region,Novaya Huta,novaya-huta
Belarus,belarus,BY,Gomel Region,gomel-region,Parychy,parychy
Belarus,belarus,BY,Gomel Region,gomel-region,Peramoga,peramoga
Belarus,belarus,BY,Gomel Region,gomel-region,Pyetrykaw,pyetrykaw
Belarus,belarus,BY,Gomel Region,gomel-region,Rahachow,rahachow
Belarus,belarus,BY,Gomel Region,gomel-region,Rahachowski Rayon,rahachowski-rayon
