s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Canada,CA,Alberta,alberta,Airdrie,airdrie
Canada,CA,Alberta,alberta,Athabasca,athabasca
Canada,CA,Alberta,alberta,Banff,banff
Canada,CA,Alberta,alberta,Barrhead,barrhead
Canada,CA,Alberta,alberta,Bassano,bassano
Canada,CA,Alberta,alberta,Beaumont,beaumont
Canada,CA,Alberta,alberta,Beaverlodge,beaverlodge
Canada,CA,Alberta,alberta,Black Diamond,black-diamond
Canada,CA,Alberta,alberta,Blackfalds,blackfalds
Canada,CA,Alberta,alberta,Bon Accord,bon-accord
Canada,CA,Alberta,alberta,Bonnyville,bonnyville
Canada,CA,Alberta,alberta,Bow Island,bow-island
Canada,CA,Alberta,alberta,Brooks,brooks
Canada,CA,Alberta,alberta,Calgary,calgary
Canada,CA,Alberta,alberta,Calmar,calmar
Canada,CA,Alberta,alberta,Camrose,camrose
Canada,CA,Alberta,alberta,Canmore,canmore
Canada,CA,Alberta,alberta,Cardston,cardston
Canada,CA,Alberta,alberta,Carstairs,carstairs
Canada,CA,Alberta,alberta,Chestermere,chestermere
Canada,CA,Alberta,alberta,Claresholm,claresholm
Canada,CA,Alberta,alberta,Coaldale,coaldale
Canada,CA,Alberta,alberta,Coalhurst,coalhurst
Canada,CA,Alberta,alberta,Cochrane,cochrane
Canada,CA,Alberta,alberta,Cold Lake,cold-lake
Canada,CA,Alberta,alberta,Crossfield,crossfield
Canada,CA,Alberta,alberta,Devon,devon
Canada,CA,Alberta,alberta,Didsbury,didsbury
Canada,CA,Alberta,alberta,Drayton Valley,drayton-valley
Canada,CA,Alberta,alberta,Edmonton,edmonton
Canada,CA,Alberta,alberta,Edson,edson
Canada,CA,Alberta,alberta,Elk Point,elk-point
Canada,CA,Alberta,alberta,Fairview,fairview
Canada,CA,Alberta,alberta,Falher,falher
Canada,CA,Alberta,alberta,Fort Macleod,fort-macleod
Canada,CA,Alberta,alberta,Fort McMurray,fort-mcmurray
Canada,CA,Alberta,alberta,Fort Saskatchewan,fort-saskatchewan
Canada,CA,Alberta,alberta,Fox Creek,fox-creek
Canada,CA,Alberta,alberta,Gibbons,gibbons
Canada,CA,Alberta,alberta,Grand Centre,grand-centre
Canada,CA,Alberta,alberta,Grande Cache,grande-cache
Canada,CA,Alberta,alberta,Grande Prairie,grande-prairie
Canada,CA,Alberta,alberta,Grimshaw,grimshaw
Canada,CA,Alberta,alberta,Hanna,hanna
Canada,CA,Alberta,alberta,Heritage Pointe,heritage-pointe
Canada,CA,Alberta,alberta,High Level,high-level
Canada,CA,Alberta,alberta,High Prairie,high-prairie
Canada,CA,Alberta,alberta,High River,high-river
Canada,CA,Alberta,alberta,Hinton,hinton
