s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Congo Republic,CD,Bandundu Province,bandundu-province,Bandundu Province,bandundu-province
Congo Republic,CD,Bas-Congo province,bas-congo-province,Boma,boma
Congo Republic,CD,Bas-Congo province,bas-congo-province,Kasangulu,kasangulu
Congo Republic,CD,Bas-Congo province,bas-congo-province,Matadi,matadi
Congo Republic,CD,Bas-Congo province,bas-congo-province,Mbanza-Ngungu,mbanza-ngungu
Congo Republic,CD,Bas-Congo province,bas-congo-province,Moanda,moanda
Congo Republic,CD,Bas-Congo province,bas-congo-province,Tshela,tshela
Congo Republic,CD,Bas-Uele,bas-uele,Aketi,aketi
Congo Republic,CD,Bas-Uele,bas-uele,Bondo,bondo
Congo Republic,CD,Bas-Uele,bas-uele,Buta,buta
Congo Republic,CD,Equateur,equateur,Gemena,gemena
Congo Republic,CD,Equateur,equateur,Lisala,lisala
Congo Republic,CD,Equateur,equateur,Lukolela,lukolela
Congo Republic,CD,Equateur,equateur,Mbandaka,mbandaka
Congo Republic,CD,Haut-Katanga Province,haut-katanga-province,Haut Katanga,haut-katanga
Congo Republic,CD,Haut-Katanga Province,haut-katanga-province,Kambove,kambove
Congo Republic,CD,Haut-Katanga Province,haut-katanga-province,Kipushi,kipushi
Congo Republic,CD,Haut-Katanga Province,haut-katanga-province,Likasi,likasi
Congo Republic,CD,Haut-Katanga Province,haut-katanga-province,Lubumbashi,lubumbashi
Congo Republic,CD,Haut-Lomami District,haut-lomami-district,Bukama,bukama
Congo Republic,CD,Haut-Lomami District,haut-lomami-district,Kamina,kamina
Congo Republic,CD,Haut-Uele,haut-uele,Isiro,isiro
Congo Republic,CD,Haut-Uele,haut-uele,Wamba,wamba
Congo Republic,CD,Haut-Uele,haut-uele,Watsa,watsa
Congo Republic,CD,Ituri Interim Administration,ituri-interim-administration,Bunia,bunia
Congo Republic,CD,Kasai District,kasai-district,Ilebo,ilebo
Congo Republic,CD,Kasai District,kasai-district,Luebo,luebo
Congo Republic,CD,Kasai District,kasai-district,Mweka,mweka
Congo Republic,CD,Kasai District,kasai-district,Tshikapa,tshikapa
Congo Republic,CD,Kasai-Occidental,kasai-occidental,Kasai-Occidental,kasai-occidental
Congo Republic,CD,Kasai-Oriental,kasai-oriental,Gandajika,gandajika
Congo Republic,CD,Kasai-Oriental,kasai-oriental,Kabinda,kabinda
Congo Republic,CD,Kasai-Oriental,kasai-oriental,Mbuji-Mayi,mbuji-mayi
Congo Republic,CD,Katanga Province,katanga-province,Katanga Province,katanga-province
Congo Republic,CD,Kinshasa,kinshasa,Kinshasa,kinshasa
Congo Republic,CD,Kinshasa,kinshasa,Masina,masina
Congo Republic,CD,Kwango District,kwango-district,Kasongo-Lunda,kasongo-lunda
Congo Republic,CD,Kwilu District,kwilu-district,Bandundu,bandundu
Congo Republic,CD,Kwilu District,kwilu-district,Bulungu,bulungu
Congo Republic,CD,Kwilu District,kwilu-district,Kikwit,kikwit
Congo Republic,CD,Kwilu District,kwilu-district,Mangai,mangai
Congo Republic,CD,Lomami Province,lomami-province,Lubao,lubao
Congo Republic,CD,Lomami Province,lomami-province,Mwene-Ditu,mwene-ditu
Congo Republic,CD,Mai-Ndombe Province,mai-ndombe-province,Bolobo,bolobo
Congo Republic,CD,Mai-Ndombe Province,mai-ndombe-province,Inongo,inongo
Congo Republic,CD,Mai-Ndombe Province,mai-ndombe-province,Mushie,mushie
Congo Republic,CD,Mai-Ndombe Province,mai-ndombe-province,Nioki,nioki
Congo Republic,CD,Maniema,maniema,Kampene,kampene
Congo Republic,CD,Maniema,maniema,Kasongo,kasongo
Congo Republic,CD,Maniema,maniema,Kindu,kindu
Congo Republic,CD,Mongala District,mongala-district,Bumba,bumba
Congo Republic,CD,Nord-Ubangi District,nord-ubangi-district,Bosobolo,bosobolo
Congo Republic,CD,Nord-Ubangi District,nord-ubangi-district,Businga,businga
Congo Republic,CD,Nord-Ubangi District,nord-ubangi-district,Gbadolite,gbadolite
Congo Republic,CD,North Kivu,north-kivu,Beni,beni
Congo Republic,CD,North Kivu,north-kivu,Butembo,butembo
Congo Republic,CD,North Kivu,north-kivu,Goma,goma
Congo Republic,CD,North Kivu,north-kivu,Sake,sake
Congo Republic,CD,Orientale Province,orientale-province,Orientale Province,orientale-province
Congo Republic,CD,Sankuru District,sankuru-district,Lodja,lodja
Congo Republic,CD,Sankuru District,sankuru-district,Lusambo,lusambo
Congo Republic,CD,South Kivu,south-kivu,Bukavu,bukavu
Congo Republic,CD,South Kivu,south-kivu,Kabare,kabare
Congo Republic,CD,South Kivu,south-kivu,Uvira,uvira
Congo Republic,CD,Sud-Ubangi,sud-ubangi,Bongandanga,bongandanga
Congo Republic,CD,Sud-Ubangi,sud-ubangi,Libenge,libenge
Congo Republic,CD,Tanganyika Province,tanganyika-province,Kabalo,kabalo
Congo Republic,CD,Tanganyika Province,tanganyika-province,Kalemie,kalemie
Congo Republic,CD,Tanganyika Province,tanganyika-province,Kongolo,kongolo
Congo Republic,CD,Tshopo District,tshopo-district,Basoko,basoko
Congo Republic,CD,Tshopo District,tshopo-district,Kisangani,kisangani
Congo Republic,CD,Tshopo District,tshopo-district,Yangambi,yangambi
Congo Republic,CD,Tshuapa District,tshuapa-district,Boende,boende
