s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Central African Republic,central-african-republic,CF,Bamingui-Bangoran Prefecture,bamingui-bangoran-prefecture,Bamingui,bamingui
Central African Republic,central-african-republic,CF,Bamingui-Bangoran Prefecture,bamingui-bangoran-prefecture,Ndele,ndele
Central African Republic,central-african-republic,CF,Bangui,bangui,Bangui,bangui
Central African Republic,central-african-republic,CF,Basse-Kotto Prefecture,basse-kotto-prefecture,Alindao,alindao
Central African Republic,central-african-republic,CF,Basse-Kotto Prefecture,basse-kotto-prefecture,Kembe,kembe
Central African Republic,central-african-republic,CF,Basse-Kotto Prefecture,basse-kotto-prefecture,Mobaye,mobaye
Central African Republic,central-african-republic,CF,Haut-Mbomou Prefecture,haut-mbomou-prefecture,Obo,obo
Central African Republic,central-african-republic,CF,Haut-Mbomou Prefecture,haut-mbomou-prefecture,Zemio,zemio
Central African Republic,central-african-republic,CF,Haute-Kotto Prefecture,haute-kotto-prefecture,Bria,bria
Central African Republic,central-african-republic,CF,Haute-Kotto Prefecture,haute-kotto-prefecture,Ouadda,ouadda
Central African Republic,central-african-republic,CF,Kemo Prefecture,kemo-prefecture,Sibut,sibut
Central African Republic,central-african-republic,CF,Lobaye Prefecture,lobaye-prefecture,Boda,boda
Central African Republic,central-african-republic,CF,Lobaye Prefecture,lobaye-prefecture,Boganangone,boganangone
Central African Republic,central-african-republic,CF,Lobaye Prefecture,lobaye-prefecture,Mbaiki,mbaiki
Central African Republic,central-african-republic,CF,Lobaye Prefecture,lobaye-prefecture,Mbaiki,mbaiki
Central African Republic,central-african-republic,CF,Lobaye Prefecture,lobaye-prefecture,Mongoumba,mongoumba
Central African Republic,central-african-republic,CF,Mambere-Kadei,mambere-kadei,Berberati,berberati
Central African Republic,central-african-republic,CF,Mambere-Kadei,mambere-kadei,Berberati,berberati
Central African Republic,central-african-republic,CF,Mambere-Kadei,mambere-kadei,Carnot,carnot
Central African Republic,central-african-republic,CF,Mambere-Kadei,mambere-kadei,Gamboula,gamboula
Central African Republic,central-african-republic,CF,Mbomou Prefecture,mbomou-prefecture,Bangassou,bangassou
Central African Republic,central-african-republic,CF,Mbomou Prefecture,mbomou-prefecture,Gambo,gambo
Central African Republic,central-african-republic,CF,Mbomou Prefecture,mbomou-prefecture,Ouango,ouango
Central African Republic,central-african-republic,CF,Mbomou Prefecture,mbomou-prefecture,Rafai,rafai
Central African Republic,central-african-republic,CF,Nana-Grebizi Economic Prefecture,nana-grebizi-economic-prefecture,Kaga Bandoro,kaga-bandoro
Central African Republic,central-african-republic,CF,Nana-Grebizi Economic Prefecture,nana-grebizi-economic-prefecture,Kaga-Bandoro,kaga-bandoro
Central African Republic,central-african-republic,CF,Nana-Mambere Prefecture,nana-mambere-prefecture,Baoro,baoro
Central African Republic,central-african-republic,CF,Nana-Mambere Prefecture,nana-mambere-prefecture,Bouar,bouar
Central African Republic,central-african-republic,CF,Ombella-M'Poko Prefecture,ombella-mpoko-prefecture,Bimbo,bimbo
Central African Republic,central-african-republic,CF,Ombella-M'Poko Prefecture,ombella-mpoko-prefecture,Boali,boali
Central African Republic,central-african-republic,CF,Ombella-M'Poko Prefecture,ombella-mpoko-prefecture,Damara,damara
Central African Republic,central-african-republic,CF,Ouaka Prefecture,ouaka-prefecture,Bambari,bambari
Central African Republic,central-african-republic,CF,Ouaka Prefecture,ouaka-prefecture,Grimari,grimari
Central African Republic,central-african-republic,CF,Ouaka Prefecture,ouaka-prefecture,Ippy,ippy
Central African Republic,central-african-republic,CF,Ouaka Prefecture,ouaka-prefecture,Kouango,kouango
Central African Republic,central-african-republic,CF,Ouham Prefecture,ouham-prefecture,Batangafo,batangafo
Central African Republic,central-african-republic,CF,Ouham Prefecture,ouham-prefecture,Bossangoa,bossangoa
Central African Republic,central-african-republic,CF,Ouham Prefecture,ouham-prefecture,Bouca,bouca
Central African Republic,central-african-republic,CF,Ouham Prefecture,ouham-prefecture,Kabo,kabo
Central African Republic,central-african-republic,CF,Ouham-Pende Prefecture,ouham-pende-prefecture,Bocaranga,bocaranga
Central African Republic,central-african-republic,CF,Ouham-Pende Prefecture,ouham-pende-prefecture,Bozoum,bozoum
Central African Republic,central-african-republic,CF,Ouham-Pende Prefecture,ouham-pende-prefecture,Paoua,paoua
Central African Republic,central-african-republic,CF,Sangha-Mbaere,sangha-mbaere,Nola,nola
Central African Republic,central-african-republic,CF,Vakaga Prefecture,vakaga-prefecture,Birao,birao
Central African Republic,central-african-republic,CF,Vakaga Prefecture,vakaga-prefecture,Ouanda-Djalle,ouanda-djalle
