s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Congo,congo,CG,Bouenza Department,bouenza-department,Kayes,kayes
Congo,congo,CG,Bouenza Department,bouenza-department,Madingou,madingou
Congo,congo,CG,Brazzaville,brazzaville,Brazzaville,brazzaville
Congo,congo,CG,Cuvette Department,cuvette-department,Makoua,makoua
Congo,congo,CG,Cuvette Department,cuvette-department,Owando,owando
Congo,congo,CG,Cuvette-Ouest Department,cuvette-ouest-department,Ewo,ewo
Congo,congo,CG,Kouilou Department,kouilou-department,Kouilou Department,kouilou-department
Congo,congo,CG,Lekoumou Department,lekoumou-department,Sibiti,sibiti
Congo,congo,CG,Likouala Department,likouala-department,Impfondo,impfondo
Congo,congo,CG,Niari Department,niari-department,Dolisie,dolisie
Congo,congo,CG,Niari Department,niari-department,Mossendjo,mossendjo
Congo,congo,CG,Plateaux Department,plateaux-department,Djambala,djambala
Congo,congo,CG,Plateaux Department,plateaux-department,Gamboma,gamboma
Congo,congo,CG,Pointe-Noire,pointe-noire,Loandjili,loandjili
Congo,congo,CG,Pointe-Noire,pointe-noire,Pointe-Noire,pointe-noire
Congo,congo,CG,Pool Department,pool-department,Kinkala,kinkala
Congo,congo,CG,Sangha Department,sangha-department,Ouesso,ouesso
Congo,congo,CG,Sangha Department,sangha-department,Sembe,sembe
