s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Cote D'Ivoire (Ivory Coast),CI,Abidjan,abidjan,Abidjan,abidjan
Cote D'Ivoire (Ivory Coast),CI,Abidjan,abidjan,Abobo,abobo
Cote D'Ivoire (Ivory Coast),CI,Abidjan,abidjan,Anyama,anyama
Cote D'Ivoire (Ivory Coast),CI,Abidjan,abidjan,Bingerville,bingerville
Cote D'Ivoire (Ivory Coast),CI,Agneby,agneby,Agneby,agneby
Cote D'Ivoire (Ivory Coast),CI,Bafing Region,bafing-region,Bafing Region,bafing-region
Cote D'Ivoire (Ivory Coast),CI,Bas-Sassandra District,bas-sassandra-district,Gbokle,gbokle
Cote D'Ivoire (Ivory Coast),CI,Bas-Sassandra District,bas-sassandra-district,Nawa,nawa
Cote D'Ivoire (Ivory Coast),CI,Bas-Sassandra District,bas-sassandra-district,San-Pedro,san-pedro
Cote D'Ivoire (Ivory Coast),CI,Bas-Sassandra District,bas-sassandra-district,Sassandra,sassandra
Cote D'Ivoire (Ivory Coast),CI,Bas-Sassandra District,bas-sassandra-district,Tabou,tabou
Cote D'Ivoire (Ivory Coast),CI,Bas-Sassandra Region,bas-sassandra-region,Bas-Sassandra Region,bas-sassandra-region
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Abengourou,abengourou
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Aboisso,aboisso
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Adiake,adiake
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Agnibilekrou,agnibilekrou
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Ayame,ayame
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Bonoua,bonoua
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Grand-Bassam,grand-bassam
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Indenie-Djuablin,indenie-djuablin
Cote D'Ivoire (Ivory Coast),CI,Comoe District,comoe-district,Sud-Comoe,sud-comoe
Cote D'Ivoire (Ivory Coast),CI,Denguele District,denguele-district,Folon,folon
Cote D'Ivoire (Ivory Coast),CI,Denguele District,denguele-district,Kabadougou,kabadougou
Cote D'Ivoire (Ivory Coast),CI,Denguele District,denguele-district,Odienne,odienne
Cote D'Ivoire (Ivory Coast),CI,Denguele Region,denguele-region,Denguele Region,denguele-region
Cote D'Ivoire (Ivory Coast),CI,Dix-Huit Montagnes,dix-huit-montagnes,Bangolo,bangolo
Cote D'Ivoire (Ivory Coast),CI,Dix-Huit Montagnes,dix-huit-montagnes,Biankouma,biankouma
Cote D'Ivoire (Ivory Coast),CI,Dix-Huit Montagnes,dix-huit-montagnes,Cavally,cavally
