s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ivory Coast,CI,Abidjan,abidjan,Abidjan,abidjan
Ivory Coast,CI,Abidjan,abidjan,Abobo,abobo
Ivory Coast,CI,Abidjan,abidjan,Anyama,anyama
Ivory Coast,CI,Abidjan,abidjan,Bingerville,bingerville
Ivory Coast,CI,Agneby,agneby,Agneby,agneby
Ivory Coast,CI,Bafing Region,bafing-region,Bafing Region,bafing-region
Ivory Coast,CI,Bas-Sassandra District,bas-sassandra-district,Gbokle,gbokle
Ivory Coast,CI,Bas-Sassandra District,bas-sassandra-district,Nawa,nawa
Ivory Coast,CI,Bas-Sassandra District,bas-sassandra-district,San-Pedro,san-pedro
Ivory Coast,CI,Bas-Sassandra District,bas-sassandra-district,Sassandra,sassandra
Ivory Coast,CI,Bas-Sassandra District,bas-sassandra-district,Tabou,tabou
Ivory Coast,CI,Bas-Sassandra Region,bas-sassandra-region,Bas-Sassandra Region,bas-sassandra-region
Ivory Coast,CI,Comoe District,comoe-district,Abengourou,abengourou
Ivory Coast,CI,Comoe District,comoe-district,Aboisso,aboisso
Ivory Coast,CI,Comoe District,comoe-district,Adiake,adiake
Ivory Coast,CI,Comoe District,comoe-district,Agnibilekrou,agnibilekrou
Ivory Coast,CI,Comoe District,comoe-district,Ayame,ayame
Ivory Coast,CI,Comoe District,comoe-district,Bonoua,bonoua
Ivory Coast,CI,Comoe District,comoe-district,Grand-Bassam,grand-bassam
Ivory Coast,CI,Comoe District,comoe-district,Indenie-Djuablin,indenie-djuablin
Ivory Coast,CI,Comoe District,comoe-district,Sud-Comoe,sud-comoe
Ivory Coast,CI,Denguele District,denguele-district,Folon,folon
Ivory Coast,CI,Denguele District,denguele-district,Kabadougou,kabadougou
Ivory Coast,CI,Denguele District,denguele-district,Odienne,odienne
Ivory Coast,CI,Denguele Region,denguele-region,Denguele Region,denguele-region
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Bangolo,bangolo
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Biankouma,biankouma
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Cavally,cavally
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Danane,danane
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Duekoue,duekoue
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Guemon,guemon
Ivory Coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Guiglo,guiglo
