s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Colombia,colombia,CO,Amazonas Department,amazonas-department,El Encanto,el-encanto
Colombia,colombia,CO,Amazonas Department,amazonas-department,La Chorrera,la-chorrera
Colombia,colombia,CO,Amazonas Department,amazonas-department,La Pedrera,la-pedrera
Colombia,colombia,CO,Amazonas Department,amazonas-department,La Victoria,la-victoria
Colombia,colombia,CO,Amazonas Department,amazonas-department,Leticia,leticia
Colombia,colombia,CO,Amazonas Department,amazonas-department,Miriti - Parana,miriti-parana
Colombia,colombia,CO,Amazonas Department,amazonas-department,Puerto Alegria,puerto-alegria
Colombia,colombia,CO,Amazonas Department,amazonas-department,Puerto Arica,puerto-arica
Colombia,colombia,CO,Amazonas Department,amazonas-department,Puerto Narino,puerto-narino
Colombia,colombia,CO,Amazonas Department,amazonas-department,Puerto Santander,puerto-santander
Colombia,colombia,CO,Amazonas Department,amazonas-department,Tarapaca,tarapaca
Colombia,colombia,CO,Antioquia Department,antioquia-department,Abejorral,abejorral
Colombia,colombia,CO,Antioquia Department,antioquia-department,Abriaqui,abriaqui
Colombia,colombia,CO,Antioquia Department,antioquia-department,Alejandria,alejandria
Colombia,colombia,CO,Antioquia Department,antioquia-department,Amaga,amaga
Colombia,colombia,CO,Antioquia Department,antioquia-department,Amalfi,amalfi
Colombia,colombia,CO,Antioquia Department,antioquia-department,Andes,andes
Colombia,colombia,CO,Antioquia Department,antioquia-department,Angelopolis,angelopolis
Colombia,colombia,CO,Antioquia Department,antioquia-department,Angostura,angostura
Colombia,colombia,CO,Antioquia Department,antioquia-department,Anza,anza
Colombia,colombia,CO,Antioquia Department,antioquia-department,Apartado,apartado
Colombia,colombia,CO,Antioquia Department,antioquia-department,Arboletes,arboletes
Colombia,colombia,CO,Antioquia Department,antioquia-department,Argelia,argelia
Colombia,colombia,CO,Antioquia Department,antioquia-department,Armenia,armenia
Colombia,colombia,CO,Antioquia Department,antioquia-department,Barbosa,barbosa
Colombia,colombia,CO,Antioquia Department,antioquia-department,Bello,bello
Colombia,colombia,CO,Antioquia Department,antioquia-department,Belmira,belmira
Colombia,colombia,CO,Antioquia Department,antioquia-department,Betania,betania
Colombia,colombia,CO,Antioquia Department,antioquia-department,Betulia,betulia
Colombia,colombia,CO,Antioquia Department,antioquia-department,Briceno,briceno
Colombia,colombia,CO,Antioquia Department,antioquia-department,Buritica,buritica
Colombia,colombia,CO,Antioquia Department,antioquia-department,Caceres,caceres
Colombia,colombia,CO,Antioquia Department,antioquia-department,Caicedo,caicedo
Colombia,colombia,CO,Antioquia Department,antioquia-department,Caldas,caldas
Colombia,colombia,CO,Antioquia Department,antioquia-department,Campamento,campamento
Colombia,colombia,CO,Antioquia Department,antioquia-department,Canasgordas,canasgordas
Colombia,colombia,CO,Antioquia Department,antioquia-department,Caracoli,caracoli
Colombia,colombia,CO,Antioquia Department,antioquia-department,Caramanta,caramanta
Colombia,colombia,CO,Antioquia Department,antioquia-department,Carepa,carepa
Colombia,colombia,CO,Antioquia Department,antioquia-department,Carmen de Viboral,carmen-de-viboral
Colombia,colombia,CO,Antioquia Department,antioquia-department,Carolina,carolina
Colombia,colombia,CO,Antioquia Department,antioquia-department,Caucasia,caucasia
Colombia,colombia,CO,Antioquia Department,antioquia-department,Chigorodo,chigorodo
Colombia,colombia,CO,Antioquia Department,antioquia-department,Cisneros,cisneros
Colombia,colombia,CO,Antioquia Department,antioquia-department,Ciudad Bolivar,ciudad-bolivar
Colombia,colombia,CO,Antioquia Department,antioquia-department,Cocorna,cocorna
