s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Cape Verde,cape-verde,CV,Barlavento Islands,barlavento-islands,Barlavento Islands,barlavento-islands
Cape Verde,cape-verde,CV,Boa Vista,boa-vista,Sal Rei,sal-rei
Cape Verde,cape-verde,CV,Brava,brava,Nova Sintra,nova-sintra
Cape Verde,cape-verde,CV,Maio Municipality,maio-municipality,Vila do Maio,vila-do-maio
Cape Verde,cape-verde,CV,Mosteiros,mosteiros,Igreja,igreja
Cape Verde,cape-verde,CV,Paul,paul,Pombas,pombas
Cape Verde,cape-verde,CV,Porto Novo,porto-novo,Porto Novo,porto-novo
Cape Verde,cape-verde,CV,Praia,praia,Praia,praia
Cape Verde,cape-verde,CV,Ribeira Brava Municipality,ribeira-brava-municipality,Ribeira Brava,ribeira-brava
Cape Verde,cape-verde,CV,Ribeira Grande,ribeira-grande,Ponta do Sol,ponta-do-sol
Cape Verde,cape-verde,CV,Ribeira Grande,ribeira-grande,Ribeira Grande,ribeira-grande
Cape Verde,cape-verde,CV,Ribeira Grande de Santiago,ribeira-grande-de-santiago,Cidade Velha,cidade-velha
Cape Verde,cape-verde,CV,Sal,sal,Espargos,espargos
Cape Verde,cape-verde,CV,Sal,sal,Santa Maria,santa-maria
Cape Verde,cape-verde,CV,Santa Catarina,santa-catarina,Assomada,assomada
Cape Verde,cape-verde,CV,Santa Catarina do Fogo,santa-catarina-do-fogo,Cova Figueira,cova-figueira
Cape Verde,cape-verde,CV,Santa Cruz,santa-cruz,Pedra Badejo,pedra-badejo
Cape Verde,cape-verde,CV,Santa Cruz,santa-cruz,Santa Cruz,santa-cruz
Cape Verde,cape-verde,CV,Sao Domingos,sao-domingos,Sao Domingos,sao-domingos
Cape Verde,cape-verde,CV,Sao Filipe,sao-filipe,Sao Filipe,sao-filipe
Cape Verde,cape-verde,CV,Sao Lourenco dos Orgaos,sao-lourenco-dos-orgaos,Joao Teves,joao-teves
Cape Verde,cape-verde,CV,Sao Miguel,sao-miguel,Calheta,calheta
Cape Verde,cape-verde,CV,Sao Vicente,sao-vicente,Mindelo,mindelo
Cape Verde,cape-verde,CV,Sotavento Islands,sotavento-islands,Sotavento Islands,sotavento-islands
Cape Verde,cape-verde,CV,Tarrafal,tarrafal,Tarrafal,tarrafal
Cape Verde,cape-verde,CV,Tarrafal de Sao Nicolau,tarrafal-de-sao-nicolau,Tarrafal de Sao Nicolau,tarrafal-de-sao-nicolau
