s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Algeria,DZ,Adrar Province,adrar-province,Adrar,adrar
Algeria,DZ,Adrar Province,adrar-province,Aoulef,aoulef
Algeria,DZ,Adrar Province,adrar-province,Reggane,reggane
Algeria,DZ,Adrar Province,adrar-province,Timimoun,timimoun
Algeria,DZ,Ain Defla Province,ain-defla-province,Ain Defla,ain-defla
Algeria,DZ,Ain Defla Province,ain-defla-province,El Abadia,el-abadia
Algeria,DZ,Ain Defla Province,ain-defla-province,El Attaf,el-attaf
Algeria,DZ,Ain Defla Province,ain-defla-province,Khemis Miliana,khemis-miliana
Algeria,DZ,Ain Defla Province,ain-defla-province,Theniet el Had,theniet-el-had
Algeria,DZ,Ain Temouchent Province,ain-temouchent-province,Ain Temouchent,ain-temouchent
Algeria,DZ,Ain Temouchent Province,ain-temouchent-province,Beni Saf,beni-saf
Algeria,DZ,Ain Temouchent Province,ain-temouchent-province,El Amria,el-amria
Algeria,DZ,Ain Temouchent Province,ain-temouchent-province,El Malah,el-malah
Algeria,DZ,Ain Temouchent Province,ain-temouchent-province,Hammam Bou Hadjar,hammam-bou-hadjar
Algeria,DZ,Algiers Province,algiers-province,Ain Taya,ain-taya
Algeria,DZ,Algiers Province,algiers-province,Algiers,algiers
Algeria,DZ,Algiers Province,algiers-province,Bab Ezzouar,bab-ezzouar
Algeria,DZ,Algiers Province,algiers-province,Birkhadem,birkhadem
Algeria,DZ,Algiers Province,algiers-province,Bordj el Kiffan,bordj-el-kiffan
Algeria,DZ,Algiers Province,algiers-province,Dar el Beida,dar-el-beida
Algeria,DZ,Algiers Province,algiers-province,Rouiba,rouiba
Algeria,DZ,Annaba Province,annaba-province,Annaba,annaba
Algeria,DZ,Annaba Province,annaba-province,Berrahal,berrahal
Algeria,DZ,Annaba Province,annaba-province,Drean,drean
Algeria,DZ,Annaba Province,annaba-province,El Hadjar,el-hadjar
Algeria,DZ,Batna Province,batna-province,Ain Touta,ain-touta
Algeria,DZ,Batna Province,batna-province,Arris,arris
Algeria,DZ,Batna Province,batna-province,Barika,barika
Algeria,DZ,Batna Province,batna-province,Batna,batna
Algeria,DZ,Batna Province,batna-province,Boumagueur,boumagueur
Algeria,DZ,Batna Province,batna-province,Merouana,merouana
Algeria,DZ,Batna Province,batna-province,Ras el Aioun,ras-el-aioun
Algeria,DZ,Batna Province,batna-province,Tazoult-Lambese,tazoult-lambese
Algeria,DZ,Bechar Province,bechar-province,Bechar,bechar
Algeria,DZ,Bejaia Province,bejaia-province,Akbou,akbou
Algeria,DZ,Bejaia Province,bejaia-province,Amizour,amizour
Algeria,DZ,Bejaia Province,bejaia-province,Barbacha,barbacha
Algeria,DZ,Bejaia Province,bejaia-province,Bejaia,bejaia
Algeria,DZ,Bejaia Province,bejaia-province,el hed,el-hed
Algeria,DZ,Bejaia Province,bejaia-province,El Kseur,el-kseur
Algeria,DZ,Bejaia Province,bejaia-province,Feraoun,feraoun
Algeria,DZ,Bejaia Province,bejaia-province,Seddouk,seddouk
Algeria,DZ,Biskra,biskra,Biskra,biskra
Algeria,DZ,Biskra,biskra,Oumache,oumache
Algeria,DZ,Biskra,biskra,Sidi Khaled,sidi-khaled
Algeria,DZ,Biskra,biskra,Sidi Okba,sidi-okba
Algeria,DZ,Biskra,biskra,Tolga,tolga
Algeria,DZ,Biskra,biskra,Zeribet el Oued,zeribet-el-oued
