s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Estonia,EE,Harju County,harju-county,Anija vald,anija-vald
Estonia,EE,Harju County,harju-county,Arukula,arukula
Estonia,EE,Harju County,harju-county,Haabneeme,haabneeme
Estonia,EE,Harju County,harju-county,Harku,harku
Estonia,EE,Harju County,harju-county,Harku vald,harku-vald
Estonia,EE,Harju County,harju-county,Joelahtme vald,joelahtme-vald
Estonia,EE,Harju County,harju-county,Juri,juri
Estonia,EE,Harju County,harju-county,Kehra,kehra
Estonia,EE,Harju County,harju-county,Keila,keila
Estonia,EE,Harju County,harju-county,Kiili,kiili
Estonia,EE,Harju County,harju-county,Kiili vald,kiili-vald
Estonia,EE,Harju County,harju-county,Kose,kose
Estonia,EE,Harju County,harju-county,Kuusalu,kuusalu
Estonia,EE,Harju County,harju-county,Laagri,laagri
Estonia,EE,Harju County,harju-county,Loksa,loksa
Estonia,EE,Harju County,harju-county,Loksa linn,loksa-linn
Estonia,EE,Harju County,harju-county,Loo,loo
Estonia,EE,Harju County,harju-county,Maardu,maardu
Estonia,EE,Harju County,harju-county,Maardu linn,maardu-linn
Estonia,EE,Harju County,harju-county,Paldiski,paldiski
Estonia,EE,Harju County,harju-county,Pringi,pringi
Estonia,EE,Harju County,harju-county,Raasiku,raasiku
Estonia,EE,Harju County,harju-county,Rae vald,rae-vald
Estonia,EE,Harju County,harju-county,Riisipere,riisipere
Estonia,EE,Harju County,harju-county,Rummu,rummu
Estonia,EE,Harju County,harju-county,Saku,saku
Estonia,EE,Harju County,harju-county,Saku vald,saku-vald
Estonia,EE,Harju County,harju-county,Saue,saue
Estonia,EE,Harju County,harju-county,Saue vald,saue-vald
Estonia,EE,Harju County,harju-county,Tabasalu,tabasalu
Estonia,EE,Harju County,harju-county,Tallinn,tallinn
Estonia,EE,Harju County,harju-county,Turba,turba
Estonia,EE,Harju County,harju-county,Vaida,vaida
Estonia,EE,Harju County,harju-county,Viimsi,viimsi
Estonia,EE,Harju County,harju-county,Viimsi vald,viimsi-vald
