s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Eot Municipality,eot-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Ettal Municipality,ettal-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Fananu Municipality,fananu-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Fanapanges Municipality,fanapanges-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Fefen Municipality,fefen-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Fonoton Municipality,fonoton-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Houk Municipality,houk-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Kuttu Municipality,kuttu-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Lekinioch Municipality,lekinioch-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Losap Municipality,losap-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Makur Municipality,makur-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Moch Municipality,moch-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Murilo,murilo
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Murilo Municipality,murilo-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Namoluk Municipality,namoluk-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Nema,nema
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Nema Municipality,nema-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Nomwin Municipality,nomwin-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Oneop Municipality,oneop-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Onou Municipality,onou-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Onoun Municipality,onoun-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Paata-Tupunion Municipality,paata-tupunion-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Parem Municipality,parem-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Piherarh Municipality,piherarh-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Piis-Emwar Municipality,piis-emwar-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Piis-Panewu Municipality,piis-panewu-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Pollap Municipality,pollap-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Polowat Municipality,polowat-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Pwene Municipality,pwene-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Ramanum Municipality,ramanum-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Ruo Municipality,ruo-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Satowan Municipality,satowan-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Siis Municipality,siis-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Ta Municipality,ta-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Tamatam Municipality,tamatam-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Tolensom Municipality,tolensom-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Tonoas Municipality,tonoas-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Udot-Fonuweisom Municipality,udot-fonuweisom-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Uman-Fonuweisom Municipality,uman-fonuweisom-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Unanu Municipality,unanu-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Weno,weno
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Weno Municipality,weno-municipality
Micronesia,micronesia,FM,Chuuk State,chuuk-state,Wonei Municipality,wonei-municipality
Micronesia,micronesia,FM,Kosrae State,kosrae-state,Lelu Municipality,lelu-municipality
Micronesia,micronesia,FM,Kosrae State,kosrae-state,Malem Municipality,malem-municipality
Micronesia,micronesia,FM,Kosrae State,kosrae-state,Tafunsak Municipality,tafunsak-municipality
Micronesia,micronesia,FM,Kosrae State,kosrae-state,Tofol,tofol
Micronesia,micronesia,FM,Kosrae State,kosrae-state,Utwe Municipality,utwe-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Kitti Municipality,kitti-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Kolonia,kolonia
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Kolonia Municipality,kolonia-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Kolonia Town,kolonia-town
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Madolenihm Municipality,madolenihm-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Mokil Municipality,mokil-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Nett Municipality,nett-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Ngatik,ngatik
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Nukuoro Municipality,nukuoro-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Palikir - National Government Center,palikir-national-government-center
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Pingelap Municipality,pingelap-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Sapwuahfik Municipality,sapwuahfik-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,Sokehs Municipality,sokehs-municipality
Micronesia,micronesia,FM,Pohnpei State,pohnpei-state,U Municipality,u-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Colonia,colonia
Micronesia,micronesia,FM,Yap State,yap-state,Dalipebinaw Municipality,dalipebinaw-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Fais,fais
Micronesia,micronesia,FM,Yap State,yap-state,Fais Municipality,fais-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Fanif Municipality,fanif-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Faraulep Municipality,faraulep-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Gagil Municipality,gagil-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Gilman Municipality,gilman-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Kanifay Municipality,kanifay-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Lamotrek Municipality,lamotrek-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Maap Municipality,maap-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Ngulu Municipality,ngulu-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Rull Municipality,rull-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Rumung Municipality,rumung-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Satawal Municipality,satawal-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Tomil Municipality,tomil-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Ulithi Municipality,ulithi-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Weloy Municipality,weloy-municipality
Micronesia,micronesia,FM,Yap State,yap-state,Woleai Municipality,woleai-municipality
