s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
France,FR,Alo,alo,Alo,alo
France,FR,Alsace,alsace,Alsace,alsace
France,FR,Aquitaine,aquitaine,Aquitaine,aquitaine
France,FR,Auvergne,auvergne,Auvergne,auvergne
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Abondance,abondance
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Abrest,abrest
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Aigueblanche,aigueblanche
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Aigueperse,aigueperse
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Aime,aime
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Ainay-le-Chateau,ainay-le-chateau
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Aiton,aiton
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Aix-les-Bains,aix-les-bains
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Alba-la-Romaine,alba-la-romaine
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Albens,albens
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Albertville,albertville
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Albigny-sur-Saone,albigny-sur-saone
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Alby-sur-Cheran,alby-sur-cheran
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Alissas,alissas
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Alixan,alixan
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allan,allan
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allanche,allanche
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allegre,allegre
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allevard,allevard
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allex,allex
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allieres-et-Risset,allieres-et-risset
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allinges,allinges
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Allonzier-la-Caille,allonzier-la-caille
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Amancy,amancy
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Amberieu-en-Bugey,amberieu-en-bugey
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Amberieux-en-Dombes,amberieux-en-dombes
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Ambert,ambert
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Ambierle,ambierle
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Ambronay,ambronay
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Amplepuis,amplepuis
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Ampuis,ampuis
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Ancone,ancone
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Andance,andance
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Andancette,andancette
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Andrezieux-Boutheon,andrezieux-boutheon
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Annecy,annecy
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Annecy-le-Vieux,annecy-le-vieux
France,FR,Auvergne-Rhone-Alpes,auvergne-rhone-alpes,Annemasse,annemasse
