s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Gabon,gabon,GA,Estuaire Province,estuaire-province,Cocobeach,cocobeach
Gabon,gabon,GA,Estuaire Province,estuaire-province,Libreville,libreville
Gabon,gabon,GA,Estuaire Province,estuaire-province,Ntoum,ntoum
Gabon,gabon,GA,Haut-Ogooue Province,haut-ogooue-province,Franceville,franceville
Gabon,gabon,GA,Haut-Ogooue Province,haut-ogooue-province,Lekoni,lekoni
Gabon,gabon,GA,Haut-Ogooue Province,haut-ogooue-province,Moanda,moanda
Gabon,gabon,GA,Haut-Ogooue Province,haut-ogooue-province,Mounana,mounana
Gabon,gabon,GA,Haut-Ogooue Province,haut-ogooue-province,Okondja,okondja
Gabon,gabon,GA,Moyen-Ogooue Province,moyen-ogooue-province,Lambarene,lambarene
Gabon,gabon,GA,Moyen-Ogooue Province,moyen-ogooue-province,Ndjole,ndjole
Gabon,gabon,GA,Ngounie Province,ngounie-province,Fougamou,fougamou
Gabon,gabon,GA,Ngounie Province,ngounie-province,Mbigou,mbigou
Gabon,gabon,GA,Ngounie Province,ngounie-province,Mimongo,mimongo
Gabon,gabon,GA,Ngounie Province,ngounie-province,Mouila,mouila
Gabon,gabon,GA,Ngounie Province,ngounie-province,Ndende,ndende
Gabon,gabon,GA,Nyanga Province,nyanga-province,Mayumba,mayumba
Gabon,gabon,GA,Nyanga Province,nyanga-province,Tchibanga,tchibanga
Gabon,gabon,GA,Ogooue-Ivindo Province,ogooue-ivindo-province,Booue,booue
Gabon,gabon,GA,Ogooue-Ivindo Province,ogooue-ivindo-province,Makokou,makokou
Gabon,gabon,GA,Ogooue-Ivindo Province,ogooue-ivindo-province,Zadie,zadie
Gabon,gabon,GA,Ogooue-Lolo Province,ogooue-lolo-province,Koulamoutou,koulamoutou
Gabon,gabon,GA,Ogooue-Lolo Province,ogooue-lolo-province,Lastoursville,lastoursville
Gabon,gabon,GA,Ogooue-Maritime Province,ogooue-maritime-province,Gamba,gamba
Gabon,gabon,GA,Ogooue-Maritime Province,ogooue-maritime-province,Omboue,omboue
Gabon,gabon,GA,Ogooue-Maritime Province,ogooue-maritime-province,Port-Gentil,port-gentil
Gabon,gabon,GA,Woleu-Ntem Province,woleu-ntem-province,Bitam,bitam
Gabon,gabon,GA,Woleu-Ntem Province,woleu-ntem-province,Mitzic,mitzic
Gabon,gabon,GA,Woleu-Ntem Province,woleu-ntem-province,Oyem,oyem
