s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ghana,ghana,GH,Ashanti Region,ashanti-region,Agogo,agogo
Ghana,ghana,GH,Ashanti Region,ashanti-region,Bekwai,bekwai
Ghana,ghana,GH,Ashanti Region,ashanti-region,Ejura,ejura
Ghana,ghana,GH,Ashanti Region,ashanti-region,Konongo,konongo
Ghana,ghana,GH,Ashanti Region,ashanti-region,Kumasi,kumasi
Ghana,ghana,GH,Ashanti Region,ashanti-region,Mampong,mampong
Ghana,ghana,GH,Ashanti Region,ashanti-region,Obuase,obuase
Ghana,ghana,GH,Ashanti Region,ashanti-region,Tafo,tafo
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Bechem,bechem
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Berekum,berekum
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Duayaw-Nkwanta,duayaw-nkwanta
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Japekrom,japekrom
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Kintampo,kintampo
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Sunyani,sunyani
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Techiman,techiman
Ghana,ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Wenchi,wenchi
Ghana,ghana,GH,Central Region,central-region,Apam,apam
Ghana,ghana,GH,Central Region,central-region,Cape Coast,cape-coast
Ghana,ghana,GH,Central Region,central-region,Dunkwa,dunkwa
Ghana,ghana,GH,Central Region,central-region,Elmina,elmina
Ghana,ghana,GH,Central Region,central-region,Foso,foso
Ghana,ghana,GH,Central Region,central-region,Kasoa,kasoa
Ghana,ghana,GH,Central Region,central-region,Mumford,mumford
Ghana,ghana,GH,Central Region,central-region,Saltpond,saltpond
Ghana,ghana,GH,Central Region,central-region,Swedru,swedru
Ghana,ghana,GH,Central Region,central-region,Winneba,winneba
Ghana,ghana,GH,Eastern Region,eastern-region,Aburi,aburi
Ghana,ghana,GH,Eastern Region,eastern-region,Akim Oda,akim-oda
Ghana,ghana,GH,Eastern Region,eastern-region,Akim Swedru,akim-swedru
Ghana,ghana,GH,Eastern Region,eastern-region,Akropong,akropong
Ghana,ghana,GH,Eastern Region,eastern-region,Akwatia,akwatia
Ghana,ghana,GH,Eastern Region,eastern-region,Asamankese,asamankese
Ghana,ghana,GH,Eastern Region,eastern-region,Begoro,begoro
Ghana,ghana,GH,Eastern Region,eastern-region,Kibi,kibi
Ghana,ghana,GH,Eastern Region,eastern-region,Koforidua,koforidua
Ghana,ghana,GH,Eastern Region,eastern-region,Mpraeso,mpraeso
Ghana,ghana,GH,Eastern Region,eastern-region,Nsawam,nsawam
Ghana,ghana,GH,Eastern Region,eastern-region,Suhum,suhum
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Accra,accra
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Atsiaman,atsiaman
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Dome,dome
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Gbawe,gbawe
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Medina Estates,medina-estates
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Nungua,nungua
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Tema,tema
Ghana,ghana,GH,Greater Accra Region,greater-accra-region,Teshi Old Town,teshi-old-town
Ghana,ghana,GH,Northern Region,northern-region,Kpandae,kpandae
Ghana,ghana,GH,Northern Region,northern-region,Salaga,salaga
Ghana,ghana,GH,Northern Region,northern-region,Savelugu,savelugu
Ghana,ghana,GH,Northern Region,northern-region,Tamale,tamale
Ghana,ghana,GH,Northern Region,northern-region,Yendi,yendi
Ghana,ghana,GH,Upper East Region,upper-east-region,Bawku,bawku
Ghana,ghana,GH,Upper East Region,upper-east-region,Bolgatanga,bolgatanga
Ghana,ghana,GH,Upper East Region,upper-east-region,Navrongo,navrongo
Ghana,ghana,GH,Upper West Region,upper-west-region,Wa,wa
Ghana,ghana,GH,Volta Region,volta-region,Aflao,aflao
Ghana,ghana,GH,Volta Region,volta-region,Anloga,anloga
Ghana,ghana,GH,Volta Region,volta-region,Ho,ho
Ghana,ghana,GH,Volta Region,volta-region,Hohoe,hohoe
Ghana,ghana,GH,Volta Region,volta-region,Keta,keta
Ghana,ghana,GH,Volta Region,volta-region,Kete Krachi,kete-krachi
Ghana,ghana,GH,Volta Region,volta-region,Kpandu,kpandu
Ghana,ghana,GH,Western Region,western-region,Aboso,aboso
Ghana,ghana,GH,Western Region,western-region,Axim,axim
Ghana,ghana,GH,Western Region,western-region,Bibiani,bibiani
Ghana,ghana,GH,Western Region,western-region,Prestea,prestea
Ghana,ghana,GH,Western Region,western-region,Sekondi-Takoradi,sekondi-takoradi
Ghana,ghana,GH,Western Region,western-region,Shama Junction,shama-junction
Ghana,ghana,GH,Western Region,western-region,Takoradi,takoradi
Ghana,ghana,GH,Western Region,western-region,Tarkwa,tarkwa
