s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Greece,greece,GR,Achaea Regional Unit,achaea-regional-unit,Achaea Regional Unit,achaea-regional-unit
Greece,greece,GR,Aetolia-Acarnania Regional Unit,aetolia-acarnania-regional-unit,Aetolia-Acarnania Regional Unit,aetolia-acarnania-regional-unit
Greece,greece,GR,Arcadia Prefecture,arcadia-prefecture,Arcadia Prefecture,arcadia-prefecture
Greece,greece,GR,Argolis Regional Unit,argolis-regional-unit,Argolis Regional Unit,argolis-regional-unit
Greece,greece,GR,Attica Region,attica-region,Acharnes,acharnes
Greece,greece,GR,Attica Region,attica-region,Aegina,aegina
Greece,greece,GR,Attica Region,attica-region,Afidnes,afidnes
Greece,greece,GR,Attica Region,attica-region,Aghios Panteleimon,aghios-panteleimon
Greece,greece,GR,Attica Region,attica-region,Agia Marina,agia-marina
Greece,greece,GR,Attica Region,attica-region,Agia Paraskevi,agia-paraskevi
Greece,greece,GR,Attica Region,attica-region,Agia Varvara,agia-varvara
Greece,greece,GR,Attica Region,attica-region,Agioi Anargyroi,agioi-anargyroi
Greece,greece,GR,Attica Region,attica-region,Agios Dimitrios,agios-dimitrios
Greece,greece,GR,Attica Region,attica-region,Agios Dimitrios Kropias,agios-dimitrios-kropias
Greece,greece,GR,Attica Region,attica-region,Agios Ioannis Rentis,agios-ioannis-rentis
Greece,greece,GR,Attica Region,attica-region,Agios Stefanos,agios-stefanos
Greece,greece,GR,Attica Region,attica-region,Aianteio,aianteio
Greece,greece,GR,Attica Region,attica-region,Aigaleo,aigaleo
Greece,greece,GR,Attica Region,attica-region,Alimos,alimos
Greece,greece,GR,Attica Region,attica-region,Ampelakia,ampelakia
Greece,greece,GR,Attica Region,attica-region,Anavyssos,anavyssos
Greece,greece,GR,Attica Region,attica-region,Ano Liosia,ano-liosia
Greece,greece,GR,Attica Region,attica-region,Anoixi,anoixi
Greece,greece,GR,Attica Region,attica-region,Anthousa,anthousa
Greece,greece,GR,Attica Region,attica-region,Argithea,argithea
Greece,greece,GR,Attica Region,attica-region,Argyroupoli,argyroupoli
Greece,greece,GR,Attica Region,attica-region,Artemida,artemida
Greece,greece,GR,Attica Region,attica-region,Aspropyrgos,aspropyrgos
Greece,greece,GR,Attica Region,attica-region,Athens,athens
Greece,greece,GR,Attica Region,attica-region,Avlonas,avlonas
Greece,greece,GR,Attica Region,attica-region,Ayioi Apostoloi,ayioi-apostoloi
Greece,greece,GR,Attica Region,attica-region,Chaidari,chaidari
Greece,greece,GR,Attica Region,attica-region,Cholargos,cholargos
Greece,greece,GR,Attica Region,attica-region,Dhafni,dhafni
Greece,greece,GR,Attica Region,attica-region,Dhrafi,dhrafi
Greece,greece,GR,Attica Region,attica-region,Dioni,dioni
Greece,greece,GR,Attica Region,attica-region,Dionysos,dionysos
Greece,greece,GR,Attica Region,attica-region,Drapetsona,drapetsona
Greece,greece,GR,Attica Region,attica-region,Drosia,drosia
Greece,greece,GR,Attica Region,attica-region,Ekali,ekali
Greece,greece,GR,Attica Region,attica-region,Elefsina,elefsina
Greece,greece,GR,Attica Region,attica-region,Elliniko,elliniko
Greece,greece,GR,Attica Region,attica-region,Erythres,erythres
Greece,greece,GR,Attica Region,attica-region,Filothei,filothei
Greece,greece,GR,Attica Region,attica-region,Fyli,fyli
Greece,greece,GR,Attica Region,attica-region,Galatas,galatas
Greece,greece,GR,Attica Region,attica-region,Galatsi,galatsi
Greece,greece,GR,Attica Region,attica-region,Gerakas,gerakas
Greece,greece,GR,Attica Region,attica-region,Glyfada,glyfada
Greece,greece,GR,Attica Region,attica-region,Grammatiko,grammatiko
Greece,greece,GR,Attica Region,attica-region,Ilion,ilion
Greece,greece,GR,Attica Region,attica-region,Ilioupoli,ilioupoli
