s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Guyana,GY,Barima-Waini,barima-waini,Mabaruma,mabaruma
Guyana,GY,Cuyuni-Mazaruni,cuyuni-mazaruni,Bartica,bartica
Guyana,GY,Demerara-Mahaica,demerara-mahaica,Georgetown,georgetown
Guyana,GY,Demerara-Mahaica,demerara-mahaica,Mahaica Village,mahaica-village
Guyana,GY,East Berbice-Corentyne,east-berbice-corentyne,New Amsterdam,new-amsterdam
Guyana,GY,East Berbice-Corentyne,east-berbice-corentyne,Skeldon,skeldon
Guyana,GY,Essequibo Islands-West Demerara,essequibo-islands-west-demerara,Parika,parika
Guyana,GY,Essequibo Islands-West Demerara,essequibo-islands-west-demerara,Vreed-en-Hoop,vreed-en-hoop
Guyana,GY,Mahaica-Berbice,mahaica-berbice,Mahaicony Village,mahaicony-village
Guyana,GY,Mahaica-Berbice,mahaica-berbice,Rosignol,rosignol
Guyana,GY,Pomeroon-Supenaam,pomeroon-supenaam,Anna Regina,anna-regina
Guyana,GY,Potaro-Siparuni,potaro-siparuni,Mahdia,mahdia
Guyana,GY,Upper Demerara-Berbice,upper-demerara-berbice,Linden,linden
Guyana,GY,Upper Takutu-Upper Essequibo,upper-takutu-upper-essequibo,Lethem,lethem
