s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Honduras,honduras,HN,Atlantida Department,atlantida-department,Arizona,arizona
Honduras,honduras,HN,Atlantida Department,atlantida-department,Atenas de San Cristobal,atenas-de-san-cristobal
Honduras,honduras,HN,Atlantida Department,atlantida-department,Corozal,corozal
Honduras,honduras,HN,Atlantida Department,atlantida-department,El Pino,el-pino
Honduras,honduras,HN,Atlantida Department,atlantida-department,El Porvenir,el-porvenir
Honduras,honduras,HN,Atlantida Department,atlantida-department,El Triunfo de la Cruz,el-triunfo-de-la-cruz
Honduras,honduras,HN,Atlantida Department,atlantida-department,Esparta,esparta
Honduras,honduras,HN,Atlantida Department,atlantida-department,Jutiapa,jutiapa
Honduras,honduras,HN,Atlantida Department,atlantida-department,La Ceiba,la-ceiba
Honduras,honduras,HN,Atlantida Department,atlantida-department,La Masica,la-masica
Honduras,honduras,HN,Atlantida Department,atlantida-department,La Union,la-union
Honduras,honduras,HN,Atlantida Department,atlantida-department,Mezapa,mezapa
Honduras,honduras,HN,Atlantida Department,atlantida-department,Nueva Armenia,nueva-armenia
Honduras,honduras,HN,Atlantida Department,atlantida-department,Sambo Creek,sambo-creek
Honduras,honduras,HN,Atlantida Department,atlantida-department,San Antonio,san-antonio
Honduras,honduras,HN,Atlantida Department,atlantida-department,San Francisco,san-francisco
Honduras,honduras,HN,Atlantida Department,atlantida-department,San Juan Pueblo,san-juan-pueblo
Honduras,honduras,HN,Atlantida Department,atlantida-department,Santa Ana,santa-ana
Honduras,honduras,HN,Atlantida Department,atlantida-department,Tela,tela
Honduras,honduras,HN,Atlantida Department,atlantida-department,Tornabe,tornabe
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Coxen Hole,coxen-hole
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,French Harbor,french-harbor
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Guanaja,guanaja
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Jose Santos Guardiola,jose-santos-guardiola
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Roatan,roatan
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Sandy Bay,sandy-bay
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Savannah Bight,savannah-bight
Honduras,honduras,HN,Bay Islands Department,bay-islands-department,Utila,utila
Honduras,honduras,HN,Choluteca Department,choluteca-department,Apacilagua,apacilagua
Honduras,honduras,HN,Choluteca Department,choluteca-department,Choluteca,choluteca
Honduras,honduras,HN,Choluteca Department,choluteca-department,Ciudad Choluteca,ciudad-choluteca
Honduras,honduras,HN,Choluteca Department,choluteca-department,Concepcion de Maria,concepcion-de-maria
Honduras,honduras,HN,Choluteca Department,choluteca-department,Corpus,corpus
Honduras,honduras,HN,Choluteca Department,choluteca-department,Duyure,duyure
Honduras,honduras,HN,Choluteca Department,choluteca-department,El Corpus,el-corpus
Honduras,honduras,HN,Choluteca Department,choluteca-department,El Obraje,el-obraje
Honduras,honduras,HN,Choluteca Department,choluteca-department,El Puente,el-puente
Honduras,honduras,HN,Choluteca Department,choluteca-department,El Triunfo,el-triunfo
Honduras,honduras,HN,Choluteca Department,choluteca-department,Los Llanitos,los-llanitos
Honduras,honduras,HN,Choluteca Department,choluteca-department,Marcovia,marcovia
Honduras,honduras,HN,Choluteca Department,choluteca-department,Monjaras,monjaras
Honduras,honduras,HN,Choluteca Department,choluteca-department,Morolica,morolica
Honduras,honduras,HN,Choluteca Department,choluteca-department,Namasigue,namasigue
Honduras,honduras,HN,Choluteca Department,choluteca-department,Orocuina,orocuina
Honduras,honduras,HN,Choluteca Department,choluteca-department,Pespire,pespire
Honduras,honduras,HN,Choluteca Department,choluteca-department,San Antonio de Flores,san-antonio-de-flores
Honduras,honduras,HN,Choluteca Department,choluteca-department,San Isidro,san-isidro
Honduras,honduras,HN,Choluteca Department,choluteca-department,San Jeronimo,san-jeronimo
Honduras,honduras,HN,Choluteca Department,choluteca-department,San Jose,san-jose
Honduras,honduras,HN,Choluteca Department,choluteca-department,San Jose de Las Conchas,san-jose-de-las-conchas
Honduras,honduras,HN,Choluteca Department,choluteca-department,San Marcos de Colon,san-marcos-de-colon
Honduras,honduras,HN,Choluteca Department,choluteca-department,Santa Ana de Yusguare,santa-ana-de-yusguare
Honduras,honduras,HN,Choluteca Department,choluteca-department,Santa Cruz,santa-cruz
Honduras,honduras,HN,Colon Department,colon-department,Balfate,balfate
Honduras,honduras,HN,Colon Department,colon-department,Bonito Oriental,bonito-oriental
Honduras,honduras,HN,Colon Department,colon-department,Corocito,corocito
Honduras,honduras,HN,Colon Department,colon-department,Cusuna,cusuna
Honduras,honduras,HN,Colon Department,colon-department,Elixir,elixir
Honduras,honduras,HN,Colon Department,colon-department,Francia,francia
Honduras,honduras,HN,Colon Department,colon-department,Iriona,iriona
Honduras,honduras,HN,Colon Department,colon-department,Jerico,jerico
Honduras,honduras,HN,Colon Department,colon-department,La Brea,la-brea
Honduras,honduras,HN,Colon Department,colon-department,La Esperanza,la-esperanza
Honduras,honduras,HN,Colon Department,colon-department,Limon,limon
Honduras,honduras,HN,Colon Department,colon-department,Municipio de Saba,municipio-de-saba
Honduras,honduras,HN,Colon Department,colon-department,Prieta,prieta
Honduras,honduras,HN,Colon Department,colon-department,Puerto Castilla,puerto-castilla
Honduras,honduras,HN,Colon Department,colon-department,Punta Piedra,punta-piedra
Honduras,honduras,HN,Colon Department,colon-department,Quebrada de Arena,quebrada-de-arena
Honduras,honduras,HN,Colon Department,colon-department,Rio Esteban,rio-esteban
Honduras,honduras,HN,Colon Department,colon-department,Saba,saba
Honduras,honduras,HN,Colon Department,colon-department,Salama,salama
Honduras,honduras,HN,Colon Department,colon-department,Santa Fe,santa-fe
Honduras,honduras,HN,Colon Department,colon-department,Santa Rosa de Aguan,santa-rosa-de-aguan
Honduras,honduras,HN,Colon Department,colon-department,Sonaguera,sonaguera
Honduras,honduras,HN,Colon Department,colon-department,Taujica,taujica
Honduras,honduras,HN,Colon Department,colon-department,Tocoa,tocoa
Honduras,honduras,HN,Colon Department,colon-department,Trujillo,trujillo
Honduras,honduras,HN,Colon Department,colon-department,Zamora,zamora
Honduras,honduras,HN,Comayagua Department,comayagua-department,Aguas del Padre,aguas-del-padre
Honduras,honduras,HN,Comayagua Department,comayagua-department,Ajuterique,ajuterique
Honduras,honduras,HN,Comayagua Department,comayagua-department,Cerro Blanco,cerro-blanco
Honduras,honduras,HN,Comayagua Department,comayagua-department,Comayagua,comayagua
Honduras,honduras,HN,Comayagua Department,comayagua-department,Concepcion de Guasistagua,concepcion-de-guasistagua
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Agua Dulcita,el-agua-dulcita
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Porvenir,el-porvenir
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Rancho,el-rancho
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Rincon,el-rincon
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Rosario,el-rosario
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Sauce,el-sauce
Honduras,honduras,HN,Comayagua Department,comayagua-department,El Socorro,el-socorro
Honduras,honduras,HN,Comayagua Department,comayagua-department,Esquias,esquias
Honduras,honduras,HN,Comayagua Department,comayagua-department,Flores,flores
Honduras,honduras,HN,Comayagua Department,comayagua-department,Humuya,humuya
Honduras,honduras,HN,Comayagua Department,comayagua-department,Jamalteca,jamalteca
Honduras,honduras,HN,Comayagua Department,comayagua-department,La Libertad,la-libertad
Honduras,honduras,HN,Comayagua Department,comayagua-department,La Trinidad,la-trinidad
Honduras,honduras,HN,Comayagua Department,comayagua-department,Lamani,lamani
Honduras,honduras,HN,Comayagua Department,comayagua-department,Las Lajas,las-lajas
Honduras,honduras,HN,Comayagua Department,comayagua-department,Lejamani,lejamani
Honduras,honduras,HN,Comayagua Department,comayagua-department,Meambar,meambar
Honduras,honduras,HN,Comayagua Department,comayagua-department,Minas de Oro,minas-de-oro
Honduras,honduras,HN,Comayagua Department,comayagua-department,Ojos de Agua,ojos-de-agua
Honduras,honduras,HN,Comayagua Department,comayagua-department,Potrerillos,potrerillos
Honduras,honduras,HN,Comayagua Department,comayagua-department,Rio Bonito,rio-bonito
Honduras,honduras,HN,Comayagua Department,comayagua-department,San Antonio de la Cuesta,san-antonio-de-la-cuesta
Honduras,honduras,HN,Comayagua Department,comayagua-department,San Jeronimo,san-jeronimo
