s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Bjelovar,bjelovar
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Brezovac,brezovac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Cazma,cazma
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Daruvar,daruvar
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Dezanovac,dezanovac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,ulovac,ulovac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Garesnica,garesnica
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Grad Bjelovar,grad-bjelovar
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Grad Cazma,grad-cazma
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Grad Daruvar,grad-daruvar
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Grad Garesnica,grad-garesnica
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Grad Grubisno Polje,grad-grubisno-polje
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Grubisno Polje,grubisno-polje
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Gudovac,gudovac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Hercegovac,hercegovac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Ivanska,ivanska
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Kapela,kapela
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Koncanica,koncanica
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Predavac,predavac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Rovisce,rovisce
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Sandrovac,sandrovac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Severin,severin
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Sirac,sirac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Velika Pisanica,velika-pisanica
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Veliki Grevac,veliki-grevac
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Zdralovi,zdralovi
Croatia,croatia,HR,Bjelovar-Bilogora County,bjelovar-bilogora-county,Zrinski Topolovac,zrinski-topolovac
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Batrina,batrina
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Brodski Varos,brodski-varos
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Bukovlje,bukovlje
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Cernik,cernik
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Davor,davor
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Donji Andrijevci,donji-andrijevci
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Garcin,garcin
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Gornji Bogicevci,gornji-bogicevci
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Grad Nova Gradiska,grad-nova-gradiska
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Grad Slavonski Brod,grad-slavonski-brod
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Gundinci,gundinci
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Korenica,korenica
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Krusevica,krusevica
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Luzani,luzani
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Nova Gradiska,nova-gradiska
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Okucani,okucani
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Oprisavci,oprisavci
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Oriovac,oriovac
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Podvinje,podvinje
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Resetari,resetari
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Ruscica,ruscica
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Sibinj,sibinj
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Sikirevci,sikirevci
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Slavonski Brod,slavonski-brod
Croatia,croatia,HR,Brod-Posavina County,brod-posavina-county,Slobodnica,slobodnica
