s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Haiti,HT,Artibonite,artibonite,Anse Rouge,anse-rouge
Haiti,HT,Artibonite,artibonite,Arrondissement de Saint-Marc,arrondissement-de-saint-marc
Haiti,HT,Artibonite,artibonite,Desarmes,desarmes
Haiti,HT,Artibonite,artibonite,Dessalines,dessalines
Haiti,HT,Artibonite,artibonite,Ennery,ennery
Haiti,HT,Artibonite,artibonite,Gonaives,gonaives
Haiti,HT,Artibonite,artibonite,Grande Saline,grande-saline
Haiti,HT,Artibonite,artibonite,Gros Morne,gros-morne
Haiti,HT,Artibonite,artibonite,Marmelade,marmelade
Haiti,HT,Artibonite,artibonite,Saint-Marc,saint-marc
Haiti,HT,Artibonite,artibonite,Verrettes,verrettes
Haiti,HT,Centre,centre,Arrondissement de Cerca La Source,arrondissement-de-cerca-la-source
Haiti,HT,Centre,centre,Cerca la Source,cerca-la-source
Haiti,HT,Centre,centre,Hinche,hinche
Haiti,HT,Centre,centre,Lascahobas,lascahobas
Haiti,HT,Centre,centre,Mayisad,mayisad
Haiti,HT,Centre,centre,Mirebalais,mirebalais
Haiti,HT,Centre,centre,Thomassique,thomassique
Haiti,HT,Centre,centre,Thomonde,thomonde
Haiti,HT,Grand'Anse,grandanse,Anse-a-Veau,anse-a-veau
Haiti,HT,Grand'Anse,grandanse,Chambellan,chambellan
Haiti,HT,Grand'Anse,grandanse,Corail,corail
Haiti,HT,Grand'Anse,grandanse,Dame-Marie,dame-marie
Haiti,HT,Grand'Anse,grandanse,Jeremi,jeremi
Haiti,HT,Grand'Anse,grandanse,Jeremie,jeremie
Haiti,HT,Grand'Anse,grandanse,Les Abricots,les-abricots
Haiti,HT,Grand'Anse,grandanse,Les Irois,les-irois
Haiti,HT,Grand'Anse,grandanse,Moron,moron
Haiti,HT,Grand'Anse,grandanse,Petite Riviere de Nippes,petite-riviere-de-nippes
Haiti,HT,Nippes,nippes,Ansavo,ansavo
