s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Agasegyhaza,agasegyhaza
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Akaszto,akaszto
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Apostag,apostag
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bacsalmas,bacsalmas
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bacsalmasi Jaras,bacsalmasi-jaras
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bacsbokod,bacsbokod
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Baja,baja
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bajai Jaras,bajai-jaras
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Balloszog,balloszog
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Batya,batya
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bugac,bugac
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Csaszartoltes,csaszartoltes
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Csavoly,csavoly
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Csengod,csengod
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Davod,davod
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Dunapataj,dunapataj
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Dunavecse,dunavecse
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Dusnok,dusnok
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Ersekcsanad,ersekcsanad
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Felsoszentivan,felsoszentivan
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Fulopjakab,fulopjakab
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Fulopszallas,fulopszallas
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Gara,gara
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Hajos,hajos
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Harta,harta
Hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Helvecia,helvecia
