s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Indonesia,indonesia,ID,Aceh,aceh,Banda Aceh,banda-aceh
Indonesia,indonesia,ID,Aceh,aceh,Bireun,bireun
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Barat,kabupaten-aceh-barat
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Barat Daya,kabupaten-aceh-barat-daya
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Besar,kabupaten-aceh-besar
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Jaya,kabupaten-aceh-jaya
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Selatan,kabupaten-aceh-selatan
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Singkil,kabupaten-aceh-singkil
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Tamiang,kabupaten-aceh-tamiang
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Tengah,kabupaten-aceh-tengah
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Tenggara,kabupaten-aceh-tenggara
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Timur,kabupaten-aceh-timur
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Aceh Utara,kabupaten-aceh-utara
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Bener Meriah,kabupaten-bener-meriah
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Bireuen,kabupaten-bireuen
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Gayo Lues,kabupaten-gayo-lues
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Nagan Raya,kabupaten-nagan-raya
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Pidie,kabupaten-pidie
Indonesia,indonesia,ID,Aceh,aceh,Kabupaten Simeulue,kabupaten-simeulue
Indonesia,indonesia,ID,Aceh,aceh,Kota Banda Aceh,kota-banda-aceh
Indonesia,indonesia,ID,Aceh,aceh,Kota Langsa,kota-langsa
Indonesia,indonesia,ID,Aceh,aceh,Kota Lhokseumawe,kota-lhokseumawe
Indonesia,indonesia,ID,Aceh,aceh,Kota Sabang,kota-sabang
Indonesia,indonesia,ID,Aceh,aceh,Kota Subulussalam,kota-subulussalam
Indonesia,indonesia,ID,Aceh,aceh,Langsa,langsa
Indonesia,indonesia,ID,Aceh,aceh,Lhokseumawe,lhokseumawe
Indonesia,indonesia,ID,Aceh,aceh,Meulaboh,meulaboh
Indonesia,indonesia,ID,Aceh,aceh,Reuleuet,reuleuet
Indonesia,indonesia,ID,Aceh,aceh,Sabang,sabang
Indonesia,indonesia,ID,Aceh,aceh,Sigli,sigli
Indonesia,indonesia,ID,Aceh,aceh,Sinabang,sinabang
Indonesia,indonesia,ID,Aceh,aceh,Singkil,singkil
Indonesia,indonesia,ID,Bali,bali,Amlapura,amlapura
Indonesia,indonesia,ID,Bali,bali,Amlapura city,amlapura-city
Indonesia,indonesia,ID,Bali,bali,Banjar,banjar
Indonesia,indonesia,ID,Bali,bali,Banjar Wangsian,banjar-wangsian
Indonesia,indonesia,ID,Bali,bali,Bedugul,bedugul
Indonesia,indonesia,ID,Bali,bali,Denpasar,denpasar
Indonesia,indonesia,ID,Bali,bali,Jimbaran,jimbaran
Indonesia,indonesia,ID,Bali,bali,Kabupaten Badung,kabupaten-badung
Indonesia,indonesia,ID,Bali,bali,Kabupaten Bangli,kabupaten-bangli
Indonesia,indonesia,ID,Bali,bali,Kabupaten Buleleng,kabupaten-buleleng
Indonesia,indonesia,ID,Bali,bali,Kabupaten Gianyar,kabupaten-gianyar
Indonesia,indonesia,ID,Bali,bali,Kabupaten Jembrana,kabupaten-jembrana
Indonesia,indonesia,ID,Bali,bali,Kabupaten Karang Asem,kabupaten-karang-asem
Indonesia,indonesia,ID,Bali,bali,Kabupaten Klungkung,kabupaten-klungkung
Indonesia,indonesia,ID,Bali,bali,Kabupaten Tabanan,kabupaten-tabanan
Indonesia,indonesia,ID,Bali,bali,Klungkung,klungkung
Indonesia,indonesia,ID,Bali,bali,Kota Denpasar,kota-denpasar
Indonesia,indonesia,ID,Bali,bali,Kuta,kuta
Indonesia,indonesia,ID,Bali,bali,Legian,legian
Indonesia,indonesia,ID,Bali,bali,Lovina,lovina
Indonesia,indonesia,ID,Bali,bali,Munduk,munduk
Indonesia,indonesia,ID,Bali,bali,Negara,negara
Indonesia,indonesia,ID,Bali,bali,Nusa Dua,nusa-dua
Indonesia,indonesia,ID,Bali,bali,Seririt,seririt
Indonesia,indonesia,ID,Bali,bali,Singaraja,singaraja
Indonesia,indonesia,ID,Bali,bali,Tabanan,tabanan
Indonesia,indonesia,ID,Bali,bali,Ubud,ubud
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kabupaten Bangka,kabupaten-bangka
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kabupaten Bangka Barat,kabupaten-bangka-barat
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kabupaten Bangka Selatan,kabupaten-bangka-selatan
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kabupaten Bangka Tengah,kabupaten-bangka-tengah
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kabupaten Belitung,kabupaten-belitung
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kabupaten Belitung Timur,kabupaten-belitung-timur
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Kota Pangkal Pinang,kota-pangkal-pinang
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Manggar,manggar
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Muntok,muntok
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Pangkalpinang,pangkalpinang
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Sungailiat,sungailiat
Indonesia,indonesia,ID,Bangka Belitung Islands,bangka-belitung-islands,Tanjung Pandan,tanjung-pandan
Indonesia,indonesia,ID,Banten,banten,Curug,curug
Indonesia,indonesia,ID,Banten,banten,Kabupaten Lebak,kabupaten-lebak
Indonesia,indonesia,ID,Banten,banten,Kabupaten Pandeglang,kabupaten-pandeglang
Indonesia,indonesia,ID,Banten,banten,Kabupaten Serang,kabupaten-serang
Indonesia,indonesia,ID,Banten,banten,Kabupaten Tangerang,kabupaten-tangerang
Indonesia,indonesia,ID,Banten,banten,Kota Cilegon,kota-cilegon
