s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ireland,IE,Connacht,connacht,Athenry,athenry
Ireland,IE,Connacht,connacht,Ballaghaderreen,ballaghaderreen
Ireland,IE,Connacht,connacht,Ballina,ballina
Ireland,IE,Connacht,connacht,Ballinasloe,ballinasloe
Ireland,IE,Connacht,connacht,Ballinrobe,ballinrobe
Ireland,IE,Connacht,connacht,Ballisodare,ballisodare
Ireland,IE,Connacht,connacht,Ballyhaunis,ballyhaunis
Ireland,IE,Connacht,connacht,Ballymote,ballymote
Ireland,IE,Connacht,connacht,Bearna,bearna
Ireland,IE,Connacht,connacht,Belmullet,belmullet
Ireland,IE,Connacht,connacht,Boyle,boyle
Ireland,IE,Connacht,connacht,Carrick-on-Shannon,carrick-on-shannon
Ireland,IE,Connacht,connacht,Castlebar,castlebar
Ireland,IE,Connacht,connacht,Castlerea,castlerea
Ireland,IE,Connacht,connacht,Claregalway,claregalway
Ireland,IE,Connacht,connacht,Claremorris,claremorris
Ireland,IE,Connacht,connacht,Clifden,clifden
Ireland,IE,Connacht,connacht,Collooney,collooney
Ireland,IE,Connacht,connacht,County Galway,county-galway
Ireland,IE,Connacht,connacht,County Leitrim,county-leitrim
Ireland,IE,Connacht,connacht,Crossmolina,crossmolina
Ireland,IE,Connacht,connacht,Foxford,foxford
Ireland,IE,Connacht,connacht,Gaillimh,gaillimh
Ireland,IE,Connacht,connacht,Galway City,galway-city
Ireland,IE,Connacht,connacht,Gort,gort
Ireland,IE,Connacht,connacht,Inishcrone,inishcrone
Ireland,IE,Connacht,connacht,Kiltamagh,kiltamagh
Ireland,IE,Connacht,connacht,Kinlough,kinlough
Ireland,IE,Connacht,connacht,Loughrea,loughrea
Ireland,IE,Connacht,connacht,Manorhamilton,manorhamilton
Ireland,IE,Connacht,connacht,Mayo County,mayo-county
Ireland,IE,Connacht,connacht,Moycullen,moycullen
Ireland,IE,Connacht,connacht,Oranmore,oranmore
Ireland,IE,Connacht,connacht,Oughterard,oughterard
Ireland,IE,Connacht,connacht,Portumna,portumna
Ireland,IE,Connacht,connacht,Roscommon,roscommon
Ireland,IE,Connacht,connacht,Sligo,sligo
Ireland,IE,Connacht,connacht,Strandhill,strandhill
Ireland,IE,Connacht,connacht,Swinford,swinford
Ireland,IE,Connacht,connacht,Tobercurry,tobercurry
Ireland,IE,Connacht,connacht,Tuam,tuam
Ireland,IE,Connacht,connacht,Westport,westport
Ireland,IE,County Carlow,county-carlow,County Carlow,county-carlow
Ireland,IE,County Cavan,county-cavan,County Cavan,county-cavan
Ireland,IE,County Clare,county-clare,County Clare,county-clare
Ireland,IE,County Cork,county-cork,County Cork,county-cork
Ireland,IE,County Donegal,county-donegal,County Donegal,county-donegal
Ireland,IE,County Dublin,county-dublin,County Dublin,county-dublin
Ireland,IE,County Galway,county-galway,County Galway,county-galway
Ireland,IE,County Kerry,county-kerry,County Kerry,county-kerry
Ireland,IE,County Kildare,county-kildare,County Kildare,county-kildare
Ireland,IE,County Kilkenny,county-kilkenny,County Kilkenny,county-kilkenny
Ireland,IE,County Laois,county-laois,County Laois,county-laois
Ireland,IE,County Limerick,county-limerick,County Limerick,county-limerick
Ireland,IE,County Longford,county-longford,County Longford,county-longford
Ireland,IE,County Louth,county-louth,County Louth,county-louth
Ireland,IE,County Mayo,county-mayo,County Mayo,county-mayo
Ireland,IE,County Meath,county-meath,County Meath,county-meath
Ireland,IE,County Monaghan,county-monaghan,County Monaghan,county-monaghan
Ireland,IE,County Offaly,county-offaly,County Offaly,county-offaly
Ireland,IE,County Roscommon,county-roscommon,County Roscommon,county-roscommon
Ireland,IE,County Sligo,county-sligo,County Sligo,county-sligo
Ireland,IE,County Tipperary,county-tipperary,County Tipperary,county-tipperary
Ireland,IE,County Waterford,county-waterford,County Waterford,county-waterford
Ireland,IE,County Westmeath,county-westmeath,County Westmeath,county-westmeath
Ireland,IE,County Wexford,county-wexford,County Wexford,county-wexford
Ireland,IE,County Wicklow,county-wicklow,County Wicklow,county-wicklow
Ireland,IE,Leinster,leinster,Abbeyleix,abbeyleix
Ireland,IE,Leinster,leinster,An Iarmhi,an-iarmhi
Ireland,IE,Leinster,leinster,An Longfort,an-longfort
Ireland,IE,Leinster,leinster,An Mhi,an-mhi
Ireland,IE,Leinster,leinster,An Muileann gCearr,an-muileann-gcearr
Ireland,IE,Leinster,leinster,An Ros,an-ros
Ireland,IE,Leinster,leinster,Ardee,ardee
Ireland,IE,Leinster,leinster,Arklow,arklow
Ireland,IE,Leinster,leinster,Artane,artane
Ireland,IE,Leinster,leinster,Ashbourne,ashbourne
Ireland,IE,Leinster,leinster,Ashford,ashford
Ireland,IE,Leinster,leinster,Athboy,athboy
Ireland,IE,Leinster,leinster,Athgarvan,athgarvan
Ireland,IE,Leinster,leinster,Athlone,athlone
Ireland,IE,Leinster,leinster,Athy,athy
Ireland,IE,Leinster,leinster,Aughrim,aughrim
Ireland,IE,Leinster,leinster,Bagenalstown,bagenalstown
Ireland,IE,Leinster,leinster,Balally,balally
Ireland,IE,Leinster,leinster,Balbriggan,balbriggan
Ireland,IE,Leinster,leinster,Baldoyle,baldoyle
Ireland,IE,Leinster,leinster,Ballinroad,ballinroad
Ireland,IE,Leinster,leinster,Ballinteer,ballinteer
Ireland,IE,Leinster,leinster,Ballivor,ballivor
Ireland,IE,Leinster,leinster,Ballyboden,ballyboden
Ireland,IE,Leinster,leinster,Ballyfermot,ballyfermot
Ireland,IE,Leinster,leinster,Ballygerry,ballygerry
Ireland,IE,Leinster,leinster,Ballylinan,ballylinan
Ireland,IE,Leinster,leinster,Ballymahon,ballymahon
Ireland,IE,Leinster,leinster,Ballymun,ballymun
Ireland,IE,Leinster,leinster,Ballyragget,ballyragget
Ireland,IE,Leinster,leinster,Balrothery,balrothery
Ireland,IE,Leinster,leinster,Baltinglass,baltinglass
Ireland,IE,Leinster,leinster,Banagher,banagher
Ireland,IE,Leinster,leinster,Bayside,bayside
Ireland,IE,Leinster,leinster,Beaumont,beaumont
Ireland,IE,Leinster,leinster,Birr,birr
Ireland,IE,Leinster,leinster,Blackrock,blackrock
Ireland,IE,Leinster,leinster,Blanchardstown,blanchardstown
Ireland,IE,Leinster,leinster,Blessington,blessington
Ireland,IE,Leinster,leinster,Bonnybrook,bonnybrook
Ireland,IE,Leinster,leinster,Booterstown,booterstown
Ireland,IE,Leinster,leinster,Bray,bray
Ireland,IE,Leinster,leinster,Bunclody,bunclody
Ireland,IE,Leinster,leinster,Cabinteely,cabinteely
Ireland,IE,Leinster,leinster,Cabra,cabra
Ireland,IE,Leinster,leinster,Callan,callan
Ireland,IE,Leinster,leinster,Carlingford,carlingford
Ireland,IE,Leinster,leinster,Carlow,carlow
Ireland,IE,Leinster,leinster,Carnew,carnew
Ireland,IE,Leinster,leinster,Castlebellingham,castlebellingham
Ireland,IE,Leinster,leinster,Castlebridge,castlebridge
Ireland,IE,Leinster,leinster,Castlecomer,castlecomer
Ireland,IE,Leinster,leinster,Castledermot,castledermot
Ireland,IE,Leinster,leinster,Castleknock,castleknock
Ireland,IE,Leinster,leinster,Castlepollard,castlepollard
Ireland,IE,Leinster,leinster,Castletown,castletown
Ireland,IE,Leinster,leinster,Celbridge,celbridge
Ireland,IE,Leinster,leinster,Chapelizod,chapelizod
Ireland,IE,Leinster,leinster,Charlesland,charlesland
Ireland,IE,Leinster,leinster,Cherry Orchard,cherry-orchard
Ireland,IE,Leinster,leinster,Cherryville,cherryville
Ireland,IE,Leinster,leinster,Clane,clane
Ireland,IE,Leinster,leinster,Clara,clara
Ireland,IE,Leinster,leinster,Clogherhead,clogherhead
Ireland,IE,Leinster,leinster,Clondalkin,clondalkin
Ireland,IE,Leinster,leinster,Clonskeagh,clonskeagh
Ireland,IE,Leinster,leinster,Confey,confey
Ireland,IE,Leinster,leinster,Coolock,coolock
Ireland,IE,Leinster,leinster,County Carlow,county-carlow
Ireland,IE,Leinster,leinster,Courtown,courtown
Ireland,IE,Leinster,leinster,Crumlin,crumlin
Ireland,IE,Leinster,leinster,Daingean,daingean
Ireland,IE,Leinster,leinster,Dalkey,dalkey
Ireland,IE,Leinster,leinster,Darndale,darndale
Ireland,IE,Leinster,leinster,Derrinturn,derrinturn
Ireland,IE,Leinster,leinster,Dollymount,dollymount
Ireland,IE,Leinster,leinster,Donabate,donabate
Ireland,IE,Leinster,leinster,Donaghmede,donaghmede
Ireland,IE,Leinster,leinster,Donnybrook,donnybrook
Ireland,IE,Leinster,leinster,Donnycarney,donnycarney
Ireland,IE,Leinster,leinster,Drogheda,drogheda
Ireland,IE,Leinster,leinster,Droichead Nua,droichead-nua
Ireland,IE,Leinster,leinster,Dromiskin,dromiskin
Ireland,IE,Leinster,leinster,Drumcondra,drumcondra
Ireland,IE,Leinster,leinster,Dublin,dublin
Ireland,IE,Leinster,leinster,Dublin City,dublin-city
Ireland,IE,Leinster,leinster,Duleek,duleek
Ireland,IE,Leinster,leinster,Dun Laoghaire,dun-laoghaire
Ireland,IE,Leinster,leinster,Dun Laoghaire-Rathdown,dun-laoghaire-rathdown
Ireland,IE,Leinster,leinster,Dunboyne,dunboyne
Ireland,IE,Leinster,leinster,Dundalk,dundalk
Ireland,IE,Leinster,leinster,Dundrum,dundrum
Ireland,IE,Leinster,leinster,Dunleer,dunleer
Ireland,IE,Leinster,leinster,Dunshaughlin,dunshaughlin
Ireland,IE,Leinster,leinster,Eadestown,eadestown
Ireland,IE,Leinster,leinster,Edenderry,edenderry
Ireland,IE,Leinster,leinster,Edgeworthstown,edgeworthstown
Ireland,IE,Leinster,leinster,Enfield,enfield
Ireland,IE,Leinster,leinster,Enniscorthy,enniscorthy
Ireland,IE,Leinster,leinster,Enniskerry,enniskerry
Ireland,IE,Leinster,leinster,Fairview,fairview
Ireland,IE,Leinster,leinster,Ferbane,ferbane
Ireland,IE,Leinster,leinster,Ferns,ferns
Ireland,IE,Leinster,leinster,Fingal County,fingal-county
Ireland,IE,Leinster,leinster,Finglas,finglas
Ireland,IE,Leinster,leinster,Firhouse,firhouse
Ireland,IE,Leinster,leinster,Foxrock,foxrock
Ireland,IE,Leinster,leinster,Glasnevin,glasnevin
Ireland,IE,Leinster,leinster,Gorey,gorey
Ireland,IE,Leinster,leinster,Graiguenamanagh,graiguenamanagh
Ireland,IE,Leinster,leinster,Granard,granard
Ireland,IE,Leinster,leinster,Greenhills,greenhills
Ireland,IE,Leinster,leinster,Greystones,greystones
Ireland,IE,Leinster,leinster,Hartstown,hartstown
Ireland,IE,Leinster,leinster,Howth,howth
Ireland,IE,Leinster,leinster,Jobstown,jobstown
Ireland,IE,Leinster,leinster,Johnstown,johnstown
Ireland,IE,Leinster,leinster,Kells,kells
Ireland,IE,Leinster,leinster,Kentstown,kentstown
Ireland,IE,Leinster,leinster,Kilbeggan,kilbeggan
Ireland,IE,Leinster,leinster,Kilcock,kilcock
Ireland,IE,Leinster,leinster,Kilcoole,kilcoole
Ireland,IE,Leinster,leinster,Kilcullen,kilcullen
Ireland,IE,Leinster,leinster,Kildare,kildare
Ireland,IE,Leinster,leinster,Kilkenny,kilkenny
Ireland,IE,Leinster,leinster,Kill,kill
Ireland,IE,Leinster,leinster,Killester,killester
Ireland,IE,Leinster,leinster,Kilmacanoge,kilmacanoge
Ireland,IE,Leinster,leinster,Kilpedder,kilpedder
Ireland,IE,Leinster,leinster,Kilquade,kilquade
Ireland,IE,Leinster,leinster,Kinnegad,kinnegad
Ireland,IE,Leinster,leinster,Kinsealy-Drinan,kinsealy-drinan
Ireland,IE,Leinster,leinster,Knocklyon,knocklyon
Ireland,IE,Leinster,leinster,Lanesborough,lanesborough
Ireland,IE,Leinster,leinster,Laois,laois
Ireland,IE,Leinster,leinster,Laytown,laytown
Ireland,IE,Leinster,leinster,Leixlip,leixlip
Ireland,IE,Leinster,leinster,Little Bray,little-bray
Ireland,IE,Leinster,leinster,Loch Garman,loch-garman
Ireland,IE,Leinster,leinster,Longford,longford
Ireland,IE,Leinster,leinster,Longwood,longwood
Ireland,IE,Leinster,leinster,Loughlinstown,loughlinstown
Ireland,IE,Leinster,leinster,Lu,lu
Ireland,IE,Leinster,leinster,Lucan,lucan
Ireland,IE,Leinster,leinster,Lusk,lusk
Ireland,IE,Leinster,leinster,Malahide,malahide
Ireland,IE,Leinster,leinster,Marino,marino
Ireland,IE,Leinster,leinster,Maynooth,maynooth
Ireland,IE,Leinster,leinster,Milltown,milltown
Ireland,IE,Leinster,leinster,Moate,moate
Ireland,IE,Leinster,leinster,Monasterevin,monasterevin
Ireland,IE,Leinster,leinster,Monkstown,monkstown
Ireland,IE,Leinster,leinster,Mooncoin,mooncoin
Ireland,IE,Leinster,leinster,Moone,moone
Ireland,IE,Leinster,leinster,Mount Merrion,mount-merrion
Ireland,IE,Leinster,leinster,Mountmellick,mountmellick
Ireland,IE,Leinster,leinster,Mountrath,mountrath
Ireland,IE,Leinster,leinster,Naas,naas
Ireland,IE,Leinster,leinster,Navan,navan
Ireland,IE,Leinster,leinster,New Ross,new-ross
Ireland,IE,Leinster,leinster,Newcastle,newcastle
Ireland,IE,Leinster,leinster,Newtown Trim,newtown-trim
Ireland,IE,Leinster,leinster,Newtownmountkennedy,newtownmountkennedy
Ireland,IE,Leinster,leinster,Old Kilcullen,old-kilcullen
Ireland,IE,Leinster,leinster,Oldbawn,oldbawn
Ireland,IE,Leinster,leinster,Oldcastle,oldcastle
Ireland,IE,Leinster,leinster,Palmerstown,palmerstown
Ireland,IE,Leinster,leinster,Piltown,piltown
Ireland,IE,Leinster,leinster,Portarlington,portarlington
Ireland,IE,Leinster,leinster,Portlaoise,portlaoise
Ireland,IE,Leinster,leinster,Portmarnock,portmarnock
Ireland,IE,Leinster,leinster,Portraine,portraine
Ireland,IE,Leinster,leinster,Prosperous,prosperous
