s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Israel,IL,Central District,central-district,Bet Dagan,bet-dagan
Israel,IL,Central District,central-district,Bet Yizhaq,bet-yizhaq
Israel,IL,Central District,central-district,Bnei Ayish,bnei-ayish
Israel,IL,Central District,central-district,Elyakhin,elyakhin
Israel,IL,Central District,central-district,Et Taiyiba,et-taiyiba
Israel,IL,Central District,central-district,Even Yehuda,even-yehuda
Israel,IL,Central District,central-district,Gan Yavne,gan-yavne
Israel,IL,Central District,central-district,Ganei Tikva,ganei-tikva
Israel,IL,Central District,central-district,Gedera,gedera
Israel,IL,Central District,central-district,Hod HaSharon,hod-hasharon
Israel,IL,Central District,central-district,Jaljulya,jaljulya
Israel,IL,Central District,central-district,Kafr Qasim,kafr-qasim
Israel,IL,Central District,central-district,Kefar Habad,kefar-habad
Israel,IL,Central District,central-district,Kefar Yona,kefar-yona
Israel,IL,Central District,central-district,Kfar Saba,kfar-saba
Israel,IL,Central District,central-district,Lapid,lapid
Israel,IL,Central District,central-district,Lod,lod
Israel,IL,Central District,central-district,Mazkeret Batya,mazkeret-batya
Israel,IL,Central District,central-district,Modiin Makkabbim Reut,modiin-makkabbim-reut
Israel,IL,Central District,central-district,Nehalim,nehalim
Israel,IL,Central District,central-district,Ness Ziona,ness-ziona
Israel,IL,Central District,central-district,Netanya,netanya
Israel,IL,Central District,central-district,Nirit,nirit
Israel,IL,Central District,central-district,Nof Ayalon,nof-ayalon
Israel,IL,Central District,central-district,Nordiyya,nordiyya
Israel,IL,Central District,central-district,Pardesiyya,pardesiyya
Israel,IL,Central District,central-district,Petah Tiqwa,petah-tiqwa
Israel,IL,Central District,central-district,Qalansuwa,qalansuwa
Israel,IL,Central District,central-district,Ra'anana,raanana
Israel,IL,Central District,central-district,Ramla,ramla
Israel,IL,Central District,central-district,Rehovot,rehovot
Israel,IL,Central District,central-district,Rishon LeZiyyon,rishon-leziyyon
Israel,IL,Central District,central-district,Rosh HaAyin,rosh-haayin
Israel,IL,Central District,central-district,Savyon,savyon
Israel,IL,Central District,central-district,Shoham,shoham
Israel,IL,Central District,central-district,Tel Mond,tel-mond
Israel,IL,Central District,central-district,Tirah,tirah
Israel,IL,Central District,central-district,Yavne,yavne
Israel,IL,Central District,central-district,Yehud,yehud
Israel,IL,Central District,central-district,Zur Moshe,zur-moshe
Israel,IL,Haifa District,haifa-district,Atlit,atlit
Israel,IL,Haifa District,haifa-district,Caesarea,caesarea
Israel,IL,Haifa District,haifa-district,Daliyat al Karmel,daliyat-al-karmel
Israel,IL,Haifa District,haifa-district,El Fureidis,el-fureidis
Israel,IL,Haifa District,haifa-district,Hadera,hadera
Israel,IL,Haifa District,haifa-district,Haifa,haifa
Israel,IL,Haifa District,haifa-district,Ibtin,ibtin
Israel,IL,Haifa District,haifa-district,Nesher,nesher
Israel,IL,Haifa District,haifa-district,Qiryat Ata,qiryat-ata
Israel,IL,Haifa District,haifa-district,Qiryat Bialik,qiryat-bialik
Israel,IL,Haifa District,haifa-district,Qiryat Mozqin,qiryat-mozqin
Israel,IL,Haifa District,haifa-district,Qiryat Yam,qiryat-yam
Israel,IL,Haifa District,haifa-district,Rekhasim,rekhasim
Israel,IL,Haifa District,haifa-district,Tirat Karmel,tirat-karmel
Israel,IL,Haifa District,haifa-district,Umm el Fahm,umm-el-fahm
Israel,IL,Jerusalem District,jerusalem-district,Abu Ghaush,abu-ghaush
Israel,IL,Jerusalem District,jerusalem-district,Bet Shemesh,bet-shemesh
Israel,IL,Jerusalem District,jerusalem-district,Har Adar,har-adar
Israel,IL,Jerusalem District,jerusalem-district,Jerusalem,jerusalem
