s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
India,IN,Andaman and Nicobar Islands,andaman-and-nicobar-islands,Bamboo Flat,bamboo-flat
India,IN,Andaman and Nicobar Islands,andaman-and-nicobar-islands,Nicobar,nicobar
India,IN,Andaman and Nicobar Islands,andaman-and-nicobar-islands,Port Blair,port-blair
India,IN,Andaman and Nicobar Islands,andaman-and-nicobar-islands,South Andaman,south-andaman
India,IN,Andhra Pradesh,andhra-pradesh,Addanki,addanki
India,IN,Andhra Pradesh,andhra-pradesh,Adoni,adoni
India,IN,Andhra Pradesh,andhra-pradesh,Akasahebpet,akasahebpet
India,IN,Andhra Pradesh,andhra-pradesh,Akividu,akividu
India,IN,Andhra Pradesh,andhra-pradesh,Akkarampalle,akkarampalle
India,IN,Andhra Pradesh,andhra-pradesh,Amalapuram,amalapuram
India,IN,Andhra Pradesh,andhra-pradesh,Amudalavalasa,amudalavalasa
India,IN,Andhra Pradesh,andhra-pradesh,Anakapalle,anakapalle
India,IN,Andhra Pradesh,andhra-pradesh,Anantapur,anantapur
India,IN,Andhra Pradesh,andhra-pradesh,Atmakur,atmakur
India,IN,Andhra Pradesh,andhra-pradesh,Attili,attili
India,IN,Andhra Pradesh,andhra-pradesh,Avanigadda,avanigadda
India,IN,Andhra Pradesh,andhra-pradesh,Badvel,badvel
India,IN,Andhra Pradesh,andhra-pradesh,Banganapalle,banganapalle
India,IN,Andhra Pradesh,andhra-pradesh,Bapatla,bapatla
India,IN,Andhra Pradesh,andhra-pradesh,Betamcherla,betamcherla
India,IN,Andhra Pradesh,andhra-pradesh,Bhattiprolu,bhattiprolu
India,IN,Andhra Pradesh,andhra-pradesh,Bhimavaram,bhimavaram
India,IN,Andhra Pradesh,andhra-pradesh,Bhimunipatnam,bhimunipatnam
India,IN,Andhra Pradesh,andhra-pradesh,Bobbili,bobbili
India,IN,Andhra Pradesh,andhra-pradesh,Challapalle,challapalle
India,IN,Andhra Pradesh,andhra-pradesh,Chemmumiahpet,chemmumiahpet
India,IN,Andhra Pradesh,andhra-pradesh,Chilakalurupet,chilakalurupet
India,IN,Andhra Pradesh,andhra-pradesh,Chinnachowk,chinnachowk
India,IN,Andhra Pradesh,andhra-pradesh,Chipurupalle,chipurupalle
India,IN,Andhra Pradesh,andhra-pradesh,Chirala,chirala
India,IN,Andhra Pradesh,andhra-pradesh,Chittoor,chittoor
India,IN,Andhra Pradesh,andhra-pradesh,Chodavaram,chodavaram
India,IN,Andhra Pradesh,andhra-pradesh,Cuddapah,cuddapah
India,IN,Andhra Pradesh,andhra-pradesh,Cumbum,cumbum
India,IN,Andhra Pradesh,andhra-pradesh,Darsi,darsi
India,IN,Andhra Pradesh,andhra-pradesh,Dharmavaram,dharmavaram
