s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Anah,anah
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Anat al Qadimah,anat-al-qadimah
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Al Fallujah,al-fallujah
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Ar Rutbah,ar-rutbah
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Hadithah,hadithah
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Hit,hit
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Hit District,hit-district
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Ramadi,ramadi
Iraq,iraq,IQ,Al Anbar Governorate,al-anbar-governorate,Rawah,rawah
Iraq,iraq,IQ,Al Muthanna Governorate,al-muthanna-governorate,Ar Rumaythah,ar-rumaythah
Iraq,iraq,IQ,Al Muthanna Governorate,al-muthanna-governorate,As Samawah,as-samawah
Iraq,iraq,IQ,Al-Qadisiyyah Governorate,al-qadisiyyah-governorate,Afak,afak
Iraq,iraq,IQ,Al-Qadisiyyah Governorate,al-qadisiyyah-governorate,Ad Diwaniyah,ad-diwaniyah
Iraq,iraq,IQ,Al-Qadisiyyah Governorate,al-qadisiyyah-governorate,Ash Shamiyah,ash-shamiyah
Iraq,iraq,IQ,Al-Qadisiyyah Governorate,al-qadisiyyah-governorate,Nahiyat ash Shinafiyah,nahiyat-ash-shinafiyah
Iraq,iraq,IQ,Al-Qadisiyyah Governorate,al-qadisiyyah-governorate,Nahiyat Ghammas,nahiyat-ghammas
Iraq,iraq,IQ,Babylon Governorate,babylon-governorate,Al Hillah,al-hillah
Iraq,iraq,IQ,Babylon Governorate,babylon-governorate,Al Musayyib,al-musayyib
Iraq,iraq,IQ,Babylon Governorate,babylon-governorate,Imam Qasim,imam-qasim
Iraq,iraq,IQ,Babylon Governorate,babylon-governorate,Nahiyat Saddat al Hindiyah,nahiyat-saddat-al-hindiyah
Iraq,iraq,IQ,Baghdad Governorate,baghdad-governorate,Abu Ghraib District,abu-ghraib-district
