s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Iran,IR,Alborz Province,alborz-province,Fardis,fardis
Iran,IR,Alborz Province,alborz-province,Karaj,karaj
Iran,IR,Alborz Province,alborz-province,Nazarabad,nazarabad
Iran,IR,Alborz Province,alborz-province,Shahrestan-e Eshtehard,shahrestan-e-eshtehard
Iran,IR,Alborz Province,alborz-province,Shahrestan-e Nazarabad,shahrestan-e-nazarabad
Iran,IR,Alborz Province,alborz-province,Shahrestan-e Savojbolagh,shahrestan-e-savojbolagh
Iran,IR,Alborz Province,alborz-province,Shahrestan-e Taleqan,shahrestan-e-taleqan
Iran,IR,Ardabil Province,ardabil-province,Ardabil,ardabil
Iran,IR,Ardabil Province,ardabil-province,Bileh Savar,bileh-savar
Iran,IR,Ardabil Province,ardabil-province,Khalkhal,khalkhal
Iran,IR,Ardabil Province,ardabil-province,Omidcheh,omidcheh
Iran,IR,Ardabil Province,ardabil-province,Parsabad,parsabad
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Ardabil,shahrestan-e-ardabil
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Bileh Savar,shahrestan-e-bileh-savar
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Germi,shahrestan-e-germi
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Khalkhal,shahrestan-e-khalkhal
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Kowsar,shahrestan-e-kowsar
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Meshgin Shahr,shahrestan-e-meshgin-shahr
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Namin,shahrestan-e-namin
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Nir,shahrestan-e-nir
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Parsabad,shahrestan-e-parsabad
Iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Sareyn,shahrestan-e-sareyn
Iran,IR,Bushehr Province,bushehr-province,Ahram,ahram
Iran,IR,Bushehr Province,bushehr-province,Bandar-e Genaveh,bandar-e-genaveh
Iran,IR,Bushehr Province,bushehr-province,Borazjan,borazjan
Iran,IR,Bushehr Province,bushehr-province,Bushehr,bushehr
Iran,IR,Bushehr Province,bushehr-province,Deylam,deylam
Iran,IR,Bushehr Province,bushehr-province,Khark,khark
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Asaluyeh,shahrestan-e-asaluyeh
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Bushehr,shahrestan-e-bushehr
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Dashtestan,shahrestan-e-dashtestan
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Dashti,shahrestan-e-dashti
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Genaveh,shahrestan-e-genaveh
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Kangan,shahrestan-e-kangan
Iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Tangestan,shahrestan-e-tangestan
Iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Ben,ben
Iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Borujen,borujen
Iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Chelgard,chelgard
Iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Farrokh Shahr,farrokh-shahr
Iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Farsan,farsan
