s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Iceland,IS,Capital Region,capital-region,Alftanes,alftanes
Iceland,IS,Capital Region,capital-region,Garabr,garabr
Iceland,IS,Capital Region,capital-region,Hafnarfjorur,hafnarfjorur
Iceland,IS,Capital Region,capital-region,Kjosarhreppur,kjosarhreppur
Iceland,IS,Capital Region,capital-region,Kopavogur,kopavogur
Iceland,IS,Capital Region,capital-region,Mosfellsbaer,mosfellsbaer
Iceland,IS,Capital Region,capital-region,Mosfellsbr,mosfellsbr
Iceland,IS,Capital Region,capital-region,Reykjavik,reykjavik
Iceland,IS,Capital Region,capital-region,Seltjarnarnes,seltjarnarnes
Iceland,IS,Eastern Region,eastern-region,Borgarfjararhreppur,borgarfjararhreppur
Iceland,IS,Eastern Region,eastern-region,Breidalshreppur,breidalshreppur
Iceland,IS,Eastern Region,eastern-region,Egilsstair,egilsstair
Iceland,IS,Eastern Region,eastern-region,Eskifjorur,eskifjorur
Iceland,IS,Eastern Region,eastern-region,Fjarabygg,fjarabygg
Iceland,IS,Eastern Region,eastern-region,Fljotsdalshera,fljotsdalshera
Iceland,IS,Eastern Region,eastern-region,Fljotsdalshreppur,fljotsdalshreppur
Iceland,IS,Eastern Region,eastern-region,Hofn,hofn
Iceland,IS,Eastern Region,eastern-region,Neskaupstaur,neskaupstaur
Iceland,IS,Eastern Region,eastern-region,Reyarfjorur,reyarfjorur
Iceland,IS,Northeastern Region,northeastern-region,Akureyri,akureyri
Iceland,IS,Northeastern Region,northeastern-region,Dalvik,dalvik
Iceland,IS,Northeastern Region,northeastern-region,Dalvikurbygg,dalvikurbygg
Iceland,IS,Northeastern Region,northeastern-region,Eyjafjararsveit,eyjafjararsveit
Iceland,IS,Northeastern Region,northeastern-region,Fjallabygg,fjallabygg
Iceland,IS,Northeastern Region,northeastern-region,Grytubakkahreppur,grytubakkahreppur
Iceland,IS,Northeastern Region,northeastern-region,Horgarsveit,horgarsveit
Iceland,IS,Northeastern Region,northeastern-region,Husavik,husavik
Iceland,IS,Northeastern Region,northeastern-region,Langanesbygg,langanesbygg
Iceland,IS,Northeastern Region,northeastern-region,Laugar,laugar
Iceland,IS,Northeastern Region,northeastern-region,Siglufjorur,siglufjorur
Iceland,IS,Northeastern Region,northeastern-region,Skutustaahreppur,skutustaahreppur
Iceland,IS,Northeastern Region,northeastern-region,Svalbarsstrandarhreppur,svalbarsstrandarhreppur
Iceland,IS,Northeastern Region,northeastern-region,Tjorneshreppur,tjorneshreppur
Iceland,IS,Northeastern Region,northeastern-region,ingeyjarsveit,ingeyjarsveit
Iceland,IS,Northwestern Region,northwestern-region,Akrahreppur,akrahreppur
Iceland,IS,Northwestern Region,northwestern-region,Hunaing Vestra,hunaing-vestra
Iceland,IS,Northwestern Region,northwestern-region,Sauarkrokur,sauarkrokur
Iceland,IS,Northwestern Region,northwestern-region,Skagabygg,skagabygg
Iceland,IS,Northwestern Region,northwestern-region,Sveitarfelagi Skagafjorur,sveitarfelagi-skagafjorur
Iceland,IS,Southern Peninsula Region,southern-peninsula-region,Garur,garur
Iceland,IS,Southern Peninsula Region,southern-peninsula-region,Grindavik,grindavik
Iceland,IS,Southern Peninsula Region,southern-peninsula-region,Keflavik,keflavik
Iceland,IS,Southern Peninsula Region,southern-peninsula-region,Reykjanesbr,reykjanesbr
Iceland,IS,Southern Peninsula Region,southern-peninsula-region,Sandgeri,sandgeri
Iceland,IS,Southern Peninsula Region,southern-peninsula-region,Vogar,vogar
Iceland,IS,Southern Region,southern-region,Asahreppur,asahreppur
Iceland,IS,Southern Region,southern-region,Blaskogabygg,blaskogabygg
Iceland,IS,Southern Region,southern-region,Floahreppur,floahreppur
Iceland,IS,Southern Region,southern-region,Grimsnes- og Grafningshreppur,grimsnes-og-grafningshreppur
Iceland,IS,Southern Region,southern-region,Hrunamannahreppur,hrunamannahreppur
Iceland,IS,Southern Region,southern-region,Hverageri,hverageri
Iceland,IS,Southern Region,southern-region,Myrdalshreppur,myrdalshreppur
Iceland,IS,Southern Region,southern-region,Selfoss,selfoss
Iceland,IS,Southern Region,southern-region,Skaftarhreppur,skaftarhreppur
Iceland,IS,Southern Region,southern-region,Skeia- og Gnupverjahreppur,skeia-og-gnupverjahreppur
Iceland,IS,Southern Region,southern-region,Vestmannaeyjabr,vestmannaeyjabr
Iceland,IS,Southern Region,southern-region,Vestmannaeyjar,vestmannaeyjar
Iceland,IS,Southern Region,southern-region,orlakshofn,orlakshofn
Iceland,IS,Western Region,western-region,Akranes,akranes
Iceland,IS,Western Region,western-region,Borgarbygg,borgarbygg
Iceland,IS,Western Region,western-region,Borgarnes,borgarnes
Iceland,IS,Western Region,western-region,Dalabygg,dalabygg
Iceland,IS,Western Region,western-region,Eyja- og Miklaholtshreppur,eyja-og-miklaholtshreppur
Iceland,IS,Western Region,western-region,Helgafellssveit,helgafellssveit
Iceland,IS,Western Region,western-region,Hvalfjararsveit,hvalfjararsveit
Iceland,IS,Western Region,western-region,Olafsvik,olafsvik
Iceland,IS,Western Region,western-region,Skorradalshreppur,skorradalshreppur
Iceland,IS,Western Region,western-region,Snfellsbr,snfellsbr
Iceland,IS,Western Region,western-region,Stykkisholmur,stykkisholmur
Iceland,IS,Westfjords,westfjords,Isafjararbr,isafjararbr
Iceland,IS,Westfjords,westfjords,Isafjorur,isafjorur
Iceland,IS,Westfjords,westfjords,Reykholahreppur,reykholahreppur
Iceland,IS,Westfjords,westfjords,Strandabygg,strandabygg
Iceland,IS,Westfjords,westfjords,Talknafjararhreppur,talknafjararhreppur
