s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Jordan,JO,Ajloun Governorate,ajloun-governorate,Ajlun,ajlun
Jordan,JO,Ajloun Governorate,ajloun-governorate,Anjarah,anjarah
Jordan,JO,Ajloun Governorate,ajloun-governorate,Ayn Jannah,ayn-jannah
Jordan,JO,Ajloun Governorate,ajloun-governorate,Halawah,halawah
Jordan,JO,Ajloun Governorate,ajloun-governorate,Sakhrah,sakhrah
Jordan,JO,Amman Governorate,amman-governorate,Al Jizah,al-jizah
Jordan,JO,Amman Governorate,amman-governorate,Al Jubayhah,al-jubayhah
Jordan,JO,Amman Governorate,amman-governorate,Amman,amman
Jordan,JO,Amman Governorate,amman-governorate,Hayy al Bunayyat,hayy-al-bunayyat
Jordan,JO,Amman Governorate,amman-governorate,Hayy al Quwaysimah,hayy-al-quwaysimah
Jordan,JO,Amman Governorate,amman-governorate,Jawa,jawa
Jordan,JO,Amman Governorate,amman-governorate,Sahab,sahab
Jordan,JO,Amman Governorate,amman-governorate,Umm as Summaq,umm-as-summaq
Jordan,JO,Amman Governorate,amman-governorate,Wadi as Sir,wadi-as-sir
Jordan,JO,Aqaba Governorate,aqaba-governorate,Aqaba,aqaba
Jordan,JO,Aqaba Governorate,aqaba-governorate,Tala Bay,tala-bay
Jordan,JO,Balqa Governorate,balqa-governorate,Al Karamah,al-karamah
Jordan,JO,Balqa Governorate,balqa-governorate,As Salt,as-salt
Jordan,JO,Balqa Governorate,balqa-governorate,Yarqa,yarqa
Jordan,JO,Irbid Governorate,irbid-governorate,Ar Ramtha,ar-ramtha
Jordan,JO,Irbid Governorate,irbid-governorate,Ash Shajarah,ash-shajarah
Jordan,JO,Irbid Governorate,irbid-governorate,At Tayyibah,at-tayyibah
Jordan,JO,Irbid Governorate,irbid-governorate,At Turrah,at-turrah
Jordan,JO,Irbid Governorate,irbid-governorate,Aydun,aydun
Jordan,JO,Irbid Governorate,irbid-governorate,Bayt Idis,bayt-idis
Jordan,JO,Irbid Governorate,irbid-governorate,Bayt Yafa,bayt-yafa
Jordan,JO,Irbid Governorate,irbid-governorate,Dayr Yusuf,dayr-yusuf
Jordan,JO,Irbid Governorate,irbid-governorate,Hakama,hakama
Jordan,JO,Irbid Governorate,irbid-governorate,Hatim,hatim
Jordan,JO,Irbid Governorate,irbid-governorate,Irbid,irbid
Jordan,JO,Irbid Governorate,irbid-governorate,Judita,judita
Jordan,JO,Irbid Governorate,irbid-governorate,Kafr Abil,kafr-abil
Jordan,JO,Irbid Governorate,irbid-governorate,Kafr Asad,kafr-asad
Jordan,JO,Irbid Governorate,irbid-governorate,Kafr Sawm,kafr-sawm
Jordan,JO,Irbid Governorate,irbid-governorate,Kharja,kharja
Jordan,JO,Irbid Governorate,irbid-governorate,Kitim,kitim
Jordan,JO,Irbid Governorate,irbid-governorate,Kurayyimah,kurayyimah
Jordan,JO,Irbid Governorate,irbid-governorate,Malka,malka
Jordan,JO,Irbid Governorate,irbid-governorate,Qumaym,qumaym
Jordan,JO,Irbid Governorate,irbid-governorate,Saham al Kaffarat,saham-al-kaffarat
Jordan,JO,Irbid Governorate,irbid-governorate,Sal,sal
Jordan,JO,Irbid Governorate,irbid-governorate,Samma,samma
Jordan,JO,Irbid Governorate,irbid-governorate,Tibnah,tibnah
Jordan,JO,Irbid Governorate,irbid-governorate,Umm Qays,umm-qays
Jordan,JO,Irbid Governorate,irbid-governorate,Waqqas,waqqas
Jordan,JO,Irbid Governorate,irbid-governorate,Zahar,zahar
Jordan,JO,Jerash Governorate,jerash-governorate,Al Kittah,al-kittah
Jordan,JO,Jerash Governorate,jerash-governorate,Balila,balila
Jordan,JO,Jerash Governorate,jerash-governorate,Burma,burma
Jordan,JO,Jerash Governorate,jerash-governorate,Jarash,jarash
Jordan,JO,Jerash Governorate,jerash-governorate,Qafqafa,qafqafa
Jordan,JO,Jerash Governorate,jerash-governorate,Raymun,raymun
Jordan,JO,Jerash Governorate,jerash-governorate,Sakib,sakib
Jordan,JO,Jerash Governorate,jerash-governorate,Suf,suf
Jordan,JO,Karak Governorate,karak-governorate,Ayy,ayy
Jordan,JO,Karak Governorate,karak-governorate,Izra,izra
Jordan,JO,Karak Governorate,karak-governorate,Adir,adir
Jordan,JO,Karak Governorate,karak-governorate,Al Khinzirah,al-khinzirah
Jordan,JO,Karak Governorate,karak-governorate,Al Mazar al Janubi,al-mazar-al-janubi
Jordan,JO,Karak Governorate,karak-governorate,Al Qasr,al-qasr
Jordan,JO,Karak Governorate,karak-governorate,Ar Rabbah,ar-rabbah
Jordan,JO,Karak Governorate,karak-governorate,Karak City,karak-city
Jordan,JO,Karak Governorate,karak-governorate,Safi,safi
Jordan,JO,Ma'an Governorate,maan-governorate,Al Jafr,al-jafr
Jordan,JO,Ma'an Governorate,maan-governorate,Al Quwayrah,al-quwayrah
Jordan,JO,Ma'an Governorate,maan-governorate,Ash Shawbak,ash-shawbak
Jordan,JO,Ma'an Governorate,maan-governorate,At Tayyibah,at-tayyibah
Jordan,JO,Ma'an Governorate,maan-governorate,Ma'an,maan
Jordan,JO,Ma'an Governorate,maan-governorate,Petra,petra
Jordan,JO,Ma'an Governorate,maan-governorate,Qir Moav,qir-moav
Jordan,JO,Madaba Governorate,madaba-governorate,Madaba,madaba
Jordan,JO,Mafraq Governorate,mafraq-governorate,Al Hamra,al-hamra
Jordan,JO,Mafraq Governorate,mafraq-governorate,Mafraq,mafraq
Jordan,JO,Mafraq Governorate,mafraq-governorate,Rehab,rehab
Jordan,JO,Mafraq Governorate,mafraq-governorate,Rukban,rukban
Jordan,JO,Mafraq Governorate,mafraq-governorate,Sabha,sabha
Jordan,JO,Mafraq Governorate,mafraq-governorate,Umm al Qittayn,umm-al-qittayn
Jordan,JO,Tafilah Governorate,tafilah-governorate,At Tafilah,at-tafilah
Jordan,JO,Tafilah Governorate,tafilah-governorate,Busayra,busayra
Jordan,JO,Zarqa Governorate,zarqa-governorate,Al Azraq ash Shamali,al-azraq-ash-shamali
Jordan,JO,Zarqa Governorate,zarqa-governorate,Russeifa,russeifa
Jordan,JO,Zarqa Governorate,zarqa-governorate,Zarqa,zarqa
