s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Japan,JP,Aichi Prefecture,aichi-prefecture,Aisai-shi,aisai-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Ama-gun,ama-gun
Japan,JP,Aichi Prefecture,aichi-prefecture,Anjo-shi,anjo-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Chiryu,chiryu
Japan,JP,Aichi Prefecture,aichi-prefecture,Chiryu-shi,chiryu-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Chita,chita
Japan,JP,Aichi Prefecture,aichi-prefecture,Chita-shi,chita-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Gamagori,gamagori
Japan,JP,Aichi Prefecture,aichi-prefecture,Gamagori-shi,gamagori-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Handa,handa
Japan,JP,Aichi Prefecture,aichi-prefecture,Handa-shi,handa-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Hekinan,hekinan
Japan,JP,Aichi Prefecture,aichi-prefecture,Hekinan-shi,hekinan-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Ichinomiya,ichinomiya
Japan,JP,Aichi Prefecture,aichi-prefecture,Ichinomiya-shi,ichinomiya-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Inazawa,inazawa
Japan,JP,Aichi Prefecture,aichi-prefecture,Inazawa-shi,inazawa-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Inuyama,inuyama
Japan,JP,Aichi Prefecture,aichi-prefecture,Inuyama-shi,inuyama-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Ishiki,ishiki
Japan,JP,Aichi Prefecture,aichi-prefecture,Iwakura,iwakura
Japan,JP,Aichi Prefecture,aichi-prefecture,Iwakura-shi,iwakura-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Kanie,kanie
Japan,JP,Aichi Prefecture,aichi-prefecture,Kariya,kariya
Japan,JP,Aichi Prefecture,aichi-prefecture,Kariya-shi,kariya-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Kasugai,kasugai
Japan,JP,Aichi Prefecture,aichi-prefecture,Kasugai-shi,kasugai-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Kitanagoya,kitanagoya
Japan,JP,Aichi Prefecture,aichi-prefecture,Kitanagoya-shi,kitanagoya-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Kiyosu-shi,kiyosu-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Komaki,komaki
Japan,JP,Aichi Prefecture,aichi-prefecture,Komaki-shi,komaki-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Konan,konan
Japan,JP,Aichi Prefecture,aichi-prefecture,Konan-shi,konan-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Kozakai-cho,kozakai-cho
Japan,JP,Aichi Prefecture,aichi-prefecture,Kuroda,kuroda
Japan,JP,Aichi Prefecture,aichi-prefecture,Miyoshi-shi,miyoshi-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Nagakute-shi,nagakute-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Nagoya,nagoya
Japan,JP,Aichi Prefecture,aichi-prefecture,Nishio,nishio
Japan,JP,Aichi Prefecture,aichi-prefecture,Nishio-shi,nishio-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Nisshin-shi,nisshin-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Obu,obu
Japan,JP,Aichi Prefecture,aichi-prefecture,Obu-shi,obu-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Okazaki-shi,okazaki-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Owariasahi-shi,owariasahi-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Seto,seto
Japan,JP,Aichi Prefecture,aichi-prefecture,Seto-shi,seto-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Shinshiro,shinshiro
Japan,JP,Aichi Prefecture,aichi-prefecture,Shinshiro-shi,shinshiro-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Sobue,sobue
Japan,JP,Aichi Prefecture,aichi-prefecture,Tahara,tahara
Japan,JP,Aichi Prefecture,aichi-prefecture,Tahara-shi,tahara-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Takahama,takahama
Japan,JP,Aichi Prefecture,aichi-prefecture,Takahama-shi,takahama-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Taketoyo,taketoyo
Japan,JP,Aichi Prefecture,aichi-prefecture,Tokai-shi,tokai-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Tokoname,tokoname
Japan,JP,Aichi Prefecture,aichi-prefecture,Tokoname-shi,tokoname-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyoake,toyoake
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyoake-shi,toyoake-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyohama,toyohama
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyohashi,toyohashi
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyohashi-shi,toyohashi-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyokawa,toyokawa
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyokawa-shi,toyokawa-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Toyota-shi,toyota-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Tsushima,tsushima
Japan,JP,Aichi Prefecture,aichi-prefecture,Tsushima-shi,tsushima-shi
Japan,JP,Aichi Prefecture,aichi-prefecture,Yatomi-shi,yatomi-shi
Japan,JP,Akita Prefecture,akita-prefecture,Akita,akita
Japan,JP,Akita Prefecture,akita-prefecture,Akita Shi,akita-shi
Japan,JP,Akita Prefecture,akita-prefecture,Daisen,daisen
Japan,JP,Akita Prefecture,akita-prefecture,Daisen-shi,daisen-shi
Japan,JP,Akita Prefecture,akita-prefecture,Hanawa,hanawa
Japan,JP,Akita Prefecture,akita-prefecture,Kakunodatemachi,kakunodatemachi
Japan,JP,Akita Prefecture,akita-prefecture,Katagami,katagami
Japan,JP,Akita Prefecture,akita-prefecture,Katagami-shi,katagami-shi
Japan,JP,Akita Prefecture,akita-prefecture,Kazuno Shi,kazuno-shi
Japan,JP,Akita Prefecture,akita-prefecture,Kitaakita-shi,kitaakita-shi
Japan,JP,Akita Prefecture,akita-prefecture,Nikaho-shi,nikaho-shi
Japan,JP,Akita Prefecture,akita-prefecture,Noshiro,noshiro
Japan,JP,Akita Prefecture,akita-prefecture,Noshiro Shi,noshiro-shi
Japan,JP,Akita Prefecture,akita-prefecture,Odate,odate
Japan,JP,Akita Prefecture,akita-prefecture,Odate-shi,odate-shi
Japan,JP,Akita Prefecture,akita-prefecture,Oga,oga
Japan,JP,Akita Prefecture,akita-prefecture,Oga-shi,oga-shi
Japan,JP,Akita Prefecture,akita-prefecture,Omagari,omagari
Japan,JP,Akita Prefecture,akita-prefecture,Semboku-shi,semboku-shi
Japan,JP,Akita Prefecture,akita-prefecture,Takanosu,takanosu
Japan,JP,Akita Prefecture,akita-prefecture,Tenno,tenno
Japan,JP,Akita Prefecture,akita-prefecture,Yokote,yokote
Japan,JP,Akita Prefecture,akita-prefecture,Yokote-shi,yokote-shi
Japan,JP,Akita Prefecture,akita-prefecture,Yurihonjo,yurihonjo
Japan,JP,Akita Prefecture,akita-prefecture,Yurihonjo-shi,yurihonjo-shi
Japan,JP,Akita Prefecture,akita-prefecture,Yuzawa,yuzawa
Japan,JP,Akita Prefecture,akita-prefecture,Yuzawa-shi,yuzawa-shi
Japan,JP,Aomori Prefecture,aomori-prefecture,Aomori,aomori
Japan,JP,Aomori Prefecture,aomori-prefecture,Aomori Shi,aomori-shi
