s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kenya,KE,Baringo County,baringo-county,Baringo,baringo
Kenya,KE,Baringo County,baringo-county,Eldama Ravine,eldama-ravine
Kenya,KE,Baringo County,baringo-county,Kabarnet,kabarnet
Kenya,KE,Bomet County,bomet-county,Sotik,sotik
Kenya,KE,Bomet County,bomet-county,Sotik Post,sotik-post
Kenya,KE,Bungoma County,bungoma-county,Bungoma,bungoma
Kenya,KE,Bungoma County,bungoma-county,Malikisi,malikisi
Kenya,KE,Bungoma County,bungoma-county,Webuye,webuye
Kenya,KE,Busia County,busia-county,Busia,busia
Kenya,KE,Busia County,busia-county,Luanda,luanda
Kenya,KE,Busia County,busia-county,Lugulu,lugulu
Kenya,KE,Busia County,busia-county,Malaba,malaba
Kenya,KE,Busia County,busia-county,Nambare,nambare
Kenya,KE,Busia County,busia-county,Port Victoria,port-victoria
Kenya,KE,Central Province,central-province,Central Province,central-province
Kenya,KE,Coast Province,coast-province,Coast Province,coast-province
Kenya,KE,Eastern Province,eastern-province,Eastern Province,eastern-province
Kenya,KE,Elgeyo-Marakwet County,elgeyo-marakwet-county,Elgeyo-Marakwet County,elgeyo-marakwet-county
Kenya,KE,Embu County,embu-county,Embu,embu
Kenya,KE,Garissa County,garissa-county,Garissa,garissa
Kenya,KE,Homa Bay County,homa-bay-county,Homa Bay,homa-bay
Kenya,KE,Homa Bay County,homa-bay-county,Oyugis,oyugis
Kenya,KE,Homa Bay County,homa-bay-county,Rachuonyo District,rachuonyo-district
Kenya,KE,Isiolo County,isiolo-county,Isiolo,isiolo
Kenya,KE,Kajiado County,kajiado-county,Kajiado,kajiado
Kenya,KE,Kajiado County,kajiado-county,Magadi,magadi
Kenya,KE,Kajiado County,kajiado-county,Ngong,ngong
Kenya,KE,Kakamega County,kakamega-county,Butere,butere
Kenya,KE,Kakamega County,kakamega-county,Kakamega,kakamega
Kenya,KE,Kakamega County,kakamega-county,Mumias,mumias
Kenya,KE,Kericho County,kericho-county,Kericho,kericho
