s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kyrgyzstan,KG,Batken Region,batken-region,Aydarken,aydarken
Kyrgyzstan,KG,Batken Region,batken-region,Batken,batken
Kyrgyzstan,KG,Batken Region,batken-region,Iradan,iradan
Kyrgyzstan,KG,Batken Region,batken-region,Isfana,isfana
Kyrgyzstan,KG,Batken Region,batken-region,Karavan,karavan
Kyrgyzstan,KG,Batken Region,batken-region,Kyzyl-Kyya,kyzyl-kyya
Kyrgyzstan,KG,Batken Region,batken-region,Suluktu,suluktu
Kyrgyzstan,KG,Bishkek,bishkek,Bishkek,bishkek
Kyrgyzstan,KG,Chuy Region,chuy-region,Alamudunskiy Rayon,alamudunskiy-rayon
Kyrgyzstan,KG,Chuy Region,chuy-region,Belovodskoye,belovodskoye
Kyrgyzstan,KG,Chuy Region,chuy-region,Chuyskiy Rayon,chuyskiy-rayon
Kyrgyzstan,KG,Chuy Region,chuy-region,Ivanovka,ivanovka
Kyrgyzstan,KG,Chuy Region,chuy-region,Kaindy,kaindy
Kyrgyzstan,KG,Chuy Region,chuy-region,Kant,kant
Kyrgyzstan,KG,Chuy Region,chuy-region,Kara-Balta,kara-balta
Kyrgyzstan,KG,Chuy Region,chuy-region,Kemin,kemin
Kyrgyzstan,KG,Chuy Region,chuy-region,Lebedinovka,lebedinovka
Kyrgyzstan,KG,Chuy Region,chuy-region,Sokulukskiy Rayon,sokulukskiy-rayon
Kyrgyzstan,KG,Chuy Region,chuy-region,Sosnovka,sosnovka
Kyrgyzstan,KG,Chuy Region,chuy-region,Tokmok,tokmok
Kyrgyzstan,KG,Chuy Region,chuy-region,Ysyk-Ata,ysyk-ata
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Ak-Suu,ak-suu
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Balykchy,balykchy
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Cholpon-Ata,cholpon-ata
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Kadzhi-Say,kadzhi-say
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Karakol,karakol
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Kyzyl-Suu,kyzyl-suu
Kyrgyzstan,KG,Issyk-Kul Region,issyk-kul-region,Tyup,tyup
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Ala-Buka,ala-buka
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Bazar-Korgon,bazar-korgon
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Jalal-Abad,jalal-abad
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Kazarman,kazarman
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Kerben,kerben
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Kochkor-Ata,kochkor-ata
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Suzak,suzak
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Tash-Kumyr,tash-kumyr
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Toktogul,toktogul
Kyrgyzstan,KG,Jalal-Abad Region,jalal-abad-region,Toktogul District,toktogul-district
Kyrgyzstan,KG,Naryn Region,naryn-region,At-Bashi,at-bashi
Kyrgyzstan,KG,Naryn Region,naryn-region,Jumgal,jumgal
Kyrgyzstan,KG,Naryn Region,naryn-region,Naryn,naryn
Kyrgyzstan,KG,Osh,osh,Osh,osh
Kyrgyzstan,KG,Osh Region,osh-region,Chong-Alay District,chong-alay-district
Kyrgyzstan,KG,Osh Region,osh-region,Daroot-Korgon,daroot-korgon
Kyrgyzstan,KG,Osh Region,osh-region,Kara Kulja,kara-kulja
Kyrgyzstan,KG,Osh Region,osh-region,Kara Suu,kara-suu
Kyrgyzstan,KG,Osh Region,osh-region,Kyzyl-Eshme,kyzyl-eshme
Kyrgyzstan,KG,Osh Region,osh-region,Nookat,nookat
Kyrgyzstan,KG,Osh Region,osh-region,Osh,osh
Kyrgyzstan,KG,Osh Region,osh-region,Uzgen,uzgen
Kyrgyzstan,KG,Osh Region,osh-region,Uzgen District,uzgen-district
Kyrgyzstan,KG,Talas Region,talas-region,Kara-Buurinskiy Rayon,kara-buurinskiy-rayon
Kyrgyzstan,KG,Talas Region,talas-region,Talas,talas
Kyrgyzstan,KG,Talas Region,talas-region,Talasskiy Rayon,talasskiy-rayon
