s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Cambodia,cambodia,KH,Banteay Meanchey Province,banteay-meanchey-province,Mongkol Borei,mongkol-borei
Cambodia,cambodia,KH,Banteay Meanchey Province,banteay-meanchey-province,Paoy Paet,paoy-paet
Cambodia,cambodia,KH,Banteay Meanchey Province,banteay-meanchey-province,Sisophon,sisophon
Cambodia,cambodia,KH,Banteay Meanchey Province,banteay-meanchey-province,Srok Malai,srok-malai
Cambodia,cambodia,KH,Banteay Meanchey Province,banteay-meanchey-province,Srok Svay Chek,srok-svay-chek
Cambodia,cambodia,KH,Battambang Province,battambang-province,Battambang,battambang
Cambodia,cambodia,KH,Battambang Province,battambang-province,Srok Ak Phnum,srok-ak-phnum
Cambodia,cambodia,KH,Battambang Province,battambang-province,Srok Banan,srok-banan
Cambodia,cambodia,KH,Battambang Province,battambang-province,Srok Bavil,srok-bavil
Cambodia,cambodia,KH,Battambang Province,battambang-province,Srok Rotanak Mondol,srok-rotanak-mondol
Cambodia,cambodia,KH,Kampong Cham Province,kampong-cham-province,Cheung Prey,cheung-prey
Cambodia,cambodia,KH,Kampong Cham Province,kampong-cham-province,Kampong Cham,kampong-cham
Cambodia,cambodia,KH,Kampong Cham Province,kampong-cham-province,Srok Batheay,srok-batheay
Cambodia,cambodia,KH,Kampong Chhnang Province,kampong-chhnang-province,Baribour,baribour
Cambodia,cambodia,KH,Kampong Chhnang Province,kampong-chhnang-province,Kampong Chhnang,kampong-chhnang
Cambodia,cambodia,KH,Kampong Chhnang Province,kampong-chhnang-province,Rolea B'ier,rolea-bier
Cambodia,cambodia,KH,Kampong Chhnang Province,kampong-chhnang-province,Srok Chol Kiri,srok-chol-kiri
Cambodia,cambodia,KH,Kampong Chhnang Province,kampong-chhnang-province,Srok Sameakki Mean Chey,srok-sameakki-mean-chey
Cambodia,cambodia,KH,Kampong Speu Province,kampong-speu-province,Kampong Speu,kampong-speu
