s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Abaiang,abaiang
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Abemama,abemama
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Ambo Village,ambo-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Aranuka,aranuka
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Arorae,arorae
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Bairiki Village,bairiki-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Banaba,banaba
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Banraeaba Village,banraeaba-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Beru,beru
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Betio Village,betio-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Bikenibeu Village,bikenibeu-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Bonriki Village,bonriki-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Buota Village,buota-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Butaritari,butaritari
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Eita Village,eita-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Kuria,kuria
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Maiana,maiana
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Makin,makin
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Makin Village,makin-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Marakei,marakei
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Nawerewere Village,nawerewere-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Nikunau,nikunau
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Nonouti,nonouti
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Onotoa,onotoa
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Rawannawi Village,rawannawi-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Tabiteuea,tabiteuea
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Tamana,tamana
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Tarawa,tarawa
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Teaoraereke Village,teaoraereke-village
Kiribati,kiribati,KI,Gilbert Islands,gilbert-islands,Temaiku Village,temaiku-village
Kiribati,kiribati,KI,Line Islands,line-islands,Banana Village,banana-village
Kiribati,kiribati,KI,Line Islands,line-islands,Kiritimati,kiritimati
Kiribati,kiribati,KI,Line Islands,line-islands,London Village,london-village
Kiribati,kiribati,KI,Line Islands,line-islands,Napari Village,napari-village
Kiribati,kiribati,KI,Line Islands,line-islands,Tabuaeran,tabuaeran
Kiribati,kiribati,KI,Line Islands,line-islands,Tabwakea Village,tabwakea-village
Kiribati,kiribati,KI,Line Islands,line-islands,Teraina,teraina
Kiribati,kiribati,KI,Phoenix Islands,phoenix-islands,Kanton,kanton
