s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Comoros,comoros,KM,Anjouan,anjouan,Adda-Doueni,adda-doueni
Comoros,comoros,KM,Anjouan,anjouan,Antsahe,antsahe
Comoros,comoros,KM,Anjouan,anjouan,Assimpao,assimpao
Comoros,comoros,KM,Anjouan,anjouan,Bambao,bambao
Comoros,comoros,KM,Anjouan,anjouan,Bandajou,bandajou
Comoros,comoros,KM,Anjouan,anjouan,Barakani,barakani
Comoros,comoros,KM,Anjouan,anjouan,Bimbini,bimbini
Comoros,comoros,KM,Anjouan,anjouan,Boungoueni,boungoueni
Comoros,comoros,KM,Anjouan,anjouan,Chandra,chandra
Comoros,comoros,KM,Anjouan,anjouan,Chironkamba,chironkamba
Comoros,comoros,KM,Anjouan,anjouan,Chitrouni,chitrouni
Comoros,comoros,KM,Anjouan,anjouan,Daji,daji
Comoros,comoros,KM,Anjouan,anjouan,Domoni,domoni
Comoros,comoros,KM,Anjouan,anjouan,Dziani,dziani
Comoros,comoros,KM,Anjouan,anjouan,Hajoho,hajoho
Comoros,comoros,KM,Anjouan,anjouan,Harembo,harembo
Comoros,comoros,KM,Anjouan,anjouan,Kangani,kangani
Comoros,comoros,KM,Anjouan,anjouan,Kavani,kavani
Comoros,comoros,KM,Anjouan,anjouan,Koki,koki
Comoros,comoros,KM,Anjouan,anjouan,Koni-Djodjo,koni-djodjo
Comoros,comoros,KM,Anjouan,anjouan,Koni-Ngani,koni-ngani
Comoros,comoros,KM,Anjouan,anjouan,Kyo,kyo
Comoros,comoros,KM,Anjouan,anjouan,Limbi,limbi
Comoros,comoros,KM,Anjouan,anjouan,Lingoni,lingoni
Comoros,comoros,KM,Anjouan,anjouan,Magnassini-Nindri,magnassini-nindri
Comoros,comoros,KM,Anjouan,anjouan,Marahare,marahare
Comoros,comoros,KM,Anjouan,anjouan,Mirontsi,mirontsi
Comoros,comoros,KM,Anjouan,anjouan,Mjamaoue,mjamaoue
Comoros,comoros,KM,Anjouan,anjouan,Mjimandra,mjimandra
Comoros,comoros,KM,Anjouan,anjouan,Moutsamoudou,moutsamoudou
Comoros,comoros,KM,Anjouan,anjouan,Moya,moya
Comoros,comoros,KM,Anjouan,anjouan,Mramani,mramani
Comoros,comoros,KM,Anjouan,anjouan,Mremani,mremani
Comoros,comoros,KM,Anjouan,anjouan,Ongoni,ongoni
Comoros,comoros,KM,Anjouan,anjouan,Ouani,ouani
Comoros,comoros,KM,Anjouan,anjouan,Ouzini,ouzini
Comoros,comoros,KM,Anjouan,anjouan,Paje,paje
Comoros,comoros,KM,Anjouan,anjouan,Patsi,patsi
Comoros,comoros,KM,Anjouan,anjouan,Sima,sima
Comoros,comoros,KM,Anjouan,anjouan,Tsimbeo,tsimbeo
Comoros,comoros,KM,Anjouan,anjouan,Vouani,vouani
Comoros,comoros,KM,Grande Comore,grande-comore,Bahani,bahani
Comoros,comoros,KM,Grande Comore,grande-comore,Bambadjani,bambadjani
Comoros,comoros,KM,Grande Comore,grande-comore,Bouni,bouni
Comoros,comoros,KM,Grande Comore,grande-comore,Chezani,chezani
Comoros,comoros,KM,Grande Comore,grande-comore,Chindini,chindini
Comoros,comoros,KM,Grande Comore,grande-comore,Chouani,chouani
Comoros,comoros,KM,Grande Comore,grande-comore,Dembeni,dembeni
Comoros,comoros,KM,Grande Comore,grande-comore,Douniani,douniani
Comoros,comoros,KM,Grande Comore,grande-comore,Dzahadjou,dzahadjou
Comoros,comoros,KM,Grande Comore,grande-comore,Foumbouni,foumbouni
Comoros,comoros,KM,Grande Comore,grande-comore,Hantsindzi,hantsindzi
Comoros,comoros,KM,Grande Comore,grande-comore,Heroumbili,heroumbili
Comoros,comoros,KM,Grande Comore,grande-comore,Itsandra,itsandra
Comoros,comoros,KM,Grande Comore,grande-comore,Itsandzeni,itsandzeni
Comoros,comoros,KM,Grande Comore,grande-comore,Ivouani,ivouani
Comoros,comoros,KM,Grande Comore,grande-comore,Koua,koua
Comoros,comoros,KM,Grande Comore,grande-comore,Madjeoueni,madjeoueni
Comoros,comoros,KM,Grande Comore,grande-comore,Mandza,mandza
Comoros,comoros,KM,Grande Comore,grande-comore,Mavingouni,mavingouni
Comoros,comoros,KM,Grande Comore,grande-comore,Mbeni,mbeni
Comoros,comoros,KM,Grande Comore,grande-comore,Mitsamiouli,mitsamiouli
Comoros,comoros,KM,Grande Comore,grande-comore,Mitsoudje,mitsoudje
Comoros,comoros,KM,Grande Comore,grande-comore,Mnoungou,mnoungou
Comoros,comoros,KM,Grande Comore,grande-comore,Mohoro,mohoro
Comoros,comoros,KM,Grande Comore,grande-comore,Moroni,moroni
Comoros,comoros,KM,Grande Comore,grande-comore,Mtsamdou,mtsamdou
Comoros,comoros,KM,Grande Comore,grande-comore,Mvouni,mvouni
Comoros,comoros,KM,Grande Comore,grande-comore,Nioumamilima,nioumamilima
Comoros,comoros,KM,Grande Comore,grande-comore,Ntsaoueni,ntsaoueni
Comoros,comoros,KM,Grande Comore,grande-comore,Ntsoudjini,ntsoudjini
Comoros,comoros,KM,Grande Comore,grande-comore,Ouellah,ouellah
Comoros,comoros,KM,Grande Comore,grande-comore,Ouhozi,ouhozi
Comoros,comoros,KM,Grande Comore,grande-comore,Ouroveni,ouroveni
Comoros,comoros,KM,Grande Comore,grande-comore,Oussivo,oussivo
Comoros,comoros,KM,Grande Comore,grande-comore,Salimani,salimani
Comoros,comoros,KM,Grande Comore,grande-comore,Selea,selea
Comoros,comoros,KM,Grande Comore,grande-comore,Singani,singani
Comoros,comoros,KM,Grande Comore,grande-comore,Tsidje,tsidje
Comoros,comoros,KM,Grande Comore,grande-comore,Vanadjou,vanadjou
Comoros,comoros,KM,Grande Comore,grande-comore,Vanambouani,vanambouani
Comoros,comoros,KM,Moheli,moheli,Djoyezi,djoyezi
Comoros,comoros,KM,Moheli,moheli,Fomboni,fomboni
Comoros,comoros,KM,Moheli,moheli,Hoani,hoani
Comoros,comoros,KM,Moheli,moheli,Mtakoudja,mtakoudja
Comoros,comoros,KM,Moheli,moheli,Nioumachoua,nioumachoua
Comoros,comoros,KM,Moheli,moheli,Ouanani,ouanani
Comoros,comoros,KM,Moheli,moheli,Ziroudani,ziroudani
