s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Korea South,korea-south,KR,Busan,busan,Buk-gu,buk-gu
Korea South,korea-south,KR,Busan,busan,Busan,busan
Korea South,korea-south,KR,Busan,busan,Dongnae-gu,dongnae-gu
Korea South,korea-south,KR,Busan,busan,Gangseo-gu,gangseo-gu
Korea South,korea-south,KR,Busan,busan,Geumjeong-gu,geumjeong-gu
Korea South,korea-south,KR,Busan,busan,Gijang,gijang
Korea South,korea-south,KR,Busan,busan,Gijang-gun,gijang-gun
Korea South,korea-south,KR,Busan,busan,Haeundae-gu,haeundae-gu
Korea South,korea-south,KR,Busan,busan,Jung-gu,jung-gu
Korea South,korea-south,KR,Busan,busan,Nam-gu,nam-gu
Korea South,korea-south,KR,Busan,busan,Saha-gu,saha-gu
Korea South,korea-south,KR,Busan,busan,Sasang-gu,sasang-gu
Korea South,korea-south,KR,Busan,busan,Seo-gu,seo-gu
Korea South,korea-south,KR,Busan,busan,Suyeong-gu,suyeong-gu
Korea South,korea-south,KR,Busan,busan,Yeongdo-gu,yeongdo-gu
Korea South,korea-south,KR,Daegu,daegu,Daegu,daegu
Korea South,korea-south,KR,Daegu,daegu,Dalseo-gu,dalseo-gu
Korea South,korea-south,KR,Daegu,daegu,Dalseong-gun,dalseong-gun
Korea South,korea-south,KR,Daegu,daegu,Dong-gu,dong-gu
Korea South,korea-south,KR,Daegu,daegu,Hwawon,hwawon
Korea South,korea-south,KR,Daegu,daegu,Jung-gu,jung-gu
Korea South,korea-south,KR,Daegu,daegu,Seo-gu,seo-gu
Korea South,korea-south,KR,Daegu,daegu,Suseong-gu,suseong-gu
Korea South,korea-south,KR,Daejeon,daejeon,Daejeon,daejeon
Korea South,korea-south,KR,Daejeon,daejeon,Seo-gu,seo-gu
Korea South,korea-south,KR,Daejeon,daejeon,Sintansin,sintansin
Korea South,korea-south,KR,Daejeon,daejeon,Songgangdong,songgangdong
Korea South,korea-south,KR,Daejeon,daejeon,Yuseong-gu,yuseong-gu
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Cheorwon-gun,cheorwon-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Chuncheon,chuncheon
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Chuncheon-si,chuncheon-si
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Donghae-si,donghae-si
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Gangneung,gangneung
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Gangneung-si,gangneung-si
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Goseong-gun,goseong-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Hoengseong-gun,hoengseong-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Hongchon,hongchon
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Hongcheon-gun,hongcheon-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Hwacheon,hwacheon
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Hwacheon-gun,hwacheon-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Inje-gun,inje-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Jeongseon-gun,jeongseon-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Kosong,kosong
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Neietsu,neietsu
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Pyeongchang,pyeongchang
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Pyeongchang-gun,pyeongchang-gun
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Samcheok-si,samcheok-si
Korea South,korea-south,KR,Gangwon Province,gangwon-province,Santyoku,santyoku
