s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Akkol,akkol
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Akkol,akkol
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Aksu,aksu
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Astrakhan,astrakhan
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Atbasar,atbasar
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Balkashino,balkashino
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Bestobe,bestobe
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Derzhavinsk,derzhavinsk
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Egindikol,egindikol
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Esil,esil
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Kokshetau,kokshetau
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Krasnogorskiy,krasnogorskiy
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Makinsk,makinsk
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Shantobe,shantobe
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Shchuchinsk,shchuchinsk
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Shortandy,shortandy
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Stepnogorsk,stepnogorsk
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Stepnyak,stepnyak
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Yermentau,yermentau
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Zavodskoy,zavodskoy
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Zhaqsy,zhaqsy
Kazakhstan,kazakhstan,KZ,Akmola Region,akmola-region,Zholymbet,zholymbet
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Aktobe,aktobe
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Batamshinskiy,batamshinskiy
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Bayganin,bayganin
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Embi,embi
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Kandyagash,kandyagash
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Khromtau,khromtau
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Martuk,martuk
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Shalqar,shalqar
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Shubarkuduk,shubarkuduk
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Shubarshi,shubarshi
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Temir,temir
Kazakhstan,kazakhstan,KZ,Aktobe Region,aktobe-region,Yrghyz,yrghyz
Kazakhstan,kazakhstan,KZ,Almaty,almaty,Almaty,almaty
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Bakanas,bakanas
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Balpyk Bi,balpyk-bi
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Burunday,burunday
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Chemolgan,chemolgan
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Druzhba,druzhba
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Esik,esik
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Kapshagay,kapshagay
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Kegen,kegen
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Lepsy,lepsy
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Matay,matay
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Otegen Batyra,otegen-batyra
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Pervomayka,pervomayka
Kazakhstan,kazakhstan,KZ,Almaty Region,almaty-region,Sarkand,sarkand
