s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Liechtenstein,LI,Balzers,balzers,Balzers,balzers
Liechtenstein,LI,Eschen,eschen,Eschen,eschen
Liechtenstein,LI,Gamprin,gamprin,Gamprin,gamprin
Liechtenstein,LI,Mauren,mauren,Mauren,mauren
Liechtenstein,LI,Planken,planken,Planken,planken
Liechtenstein,LI,Ruggell,ruggell,Ruggell,ruggell
Liechtenstein,LI,Schaan,schaan,Schaan,schaan
Liechtenstein,LI,Schellenberg,schellenberg,Schellenberg,schellenberg
Liechtenstein,LI,Triesen,triesen,Triesen,triesen
Liechtenstein,LI,Triesenberg,triesenberg,Triesenberg,triesenberg
Liechtenstein,LI,Vaduz,vaduz,Vaduz,vaduz
