s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Sri Lanka,LK,Ampara District,ampara-district,Ampara District,ampara-district
Sri Lanka,LK,Anuradhapura District,anuradhapura-district,Anuradhapura District,anuradhapura-district
Sri Lanka,LK,Badulla District,badulla-district,Badulla District,badulla-district
Sri Lanka,LK,Batticaloa District,batticaloa-district,Batticaloa District,batticaloa-district
Sri Lanka,LK,Central Province,central-province,Dambulla,dambulla
Sri Lanka,LK,Central Province,central-province,Gampola,gampola
Sri Lanka,LK,Central Province,central-province,Hatton,hatton
Sri Lanka,LK,Central Province,central-province,Kadugannawa,kadugannawa
Sri Lanka,LK,Central Province,central-province,Kandy,kandy
Sri Lanka,LK,Central Province,central-province,Kandy District,kandy-district
Sri Lanka,LK,Central Province,central-province,Matale,matale
Sri Lanka,LK,Central Province,central-province,Matale District,matale-district
Sri Lanka,LK,Central Province,central-province,Nuwara Eliya,nuwara-eliya
Sri Lanka,LK,Central Province,central-province,Nuwara Eliya District,nuwara-eliya-district
Sri Lanka,LK,Central Province,central-province,Sigiriya,sigiriya
Sri Lanka,LK,Central Province,central-province,Talawakele,talawakele
Sri Lanka,LK,Colombo District,colombo-district,Colombo District,colombo-district
Sri Lanka,LK,Eastern Province,eastern-province,Ampara,ampara
Sri Lanka,LK,Eastern Province,eastern-province,Ampara District,ampara-district
Sri Lanka,LK,Eastern Province,eastern-province,Batticaloa,batticaloa
Sri Lanka,LK,Eastern Province,eastern-province,Batticaloa District,batticaloa-district
Sri Lanka,LK,Eastern Province,eastern-province,Eravur Town,eravur-town
Sri Lanka,LK,Eastern Province,eastern-province,Kalmunai,kalmunai
Sri Lanka,LK,Eastern Province,eastern-province,Trincomalee,trincomalee
Sri Lanka,LK,Eastern Province,eastern-province,Trincomalee District,trincomalee-district
Sri Lanka,LK,Eastern Province,eastern-province,Vakarai,vakarai
Sri Lanka,LK,Galle District,galle-district,Galle District,galle-district
Sri Lanka,LK,Gampaha District,gampaha-district,Gampaha District,gampaha-district
Sri Lanka,LK,Hambantota District,hambantota-district,Hambantota District,hambantota-district
Sri Lanka,LK,Jaffna District,jaffna-district,Jaffna District,jaffna-district
Sri Lanka,LK,Kalutara District,kalutara-district,Kalutara District,kalutara-district
Sri Lanka,LK,Kandy District,kandy-district,Kandy District,kandy-district
Sri Lanka,LK,Kegalle District,kegalle-district,Kegalle District,kegalle-district
Sri Lanka,LK,Kilinochchi District,kilinochchi-district,Kilinochchi District,kilinochchi-district
Sri Lanka,LK,Mannar District,mannar-district,Mannar District,mannar-district
Sri Lanka,LK,Matale District,matale-district,Matale District,matale-district
Sri Lanka,LK,Matara District,matara-district,Matara District,matara-district
Sri Lanka,LK,Monaragala District,monaragala-district,Monaragala District,monaragala-district
Sri Lanka,LK,Mullaitivu District,mullaitivu-district,Mullaitivu District,mullaitivu-district
Sri Lanka,LK,North Central Province,north-central-province,Anuradhapura,anuradhapura
Sri Lanka,LK,North Central Province,north-central-province,Anuradhapura District,anuradhapura-district
