s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Liberia,liberia,LR,Bomi County,bomi-county,Tubmanburg,tubmanburg
Liberia,liberia,LR,Bong County,bong-county,Gbarnga,gbarnga
Liberia,liberia,LR,Gbarpolu County,gbarpolu-county,Bopolu,bopolu
Liberia,liberia,LR,Grand Bassa County,grand-bassa-county,Buchanan,buchanan
Liberia,liberia,LR,Grand Cape Mount County,grand-cape-mount-county,Robertsport,robertsport
Liberia,liberia,LR,Grand Gedeh County,grand-gedeh-county,Zwedru,zwedru
Liberia,liberia,LR,Grand Kru County,grand-kru-county,Barclayville,barclayville
Liberia,liberia,LR,Lofa County,lofa-county,Voinjama,voinjama
Liberia,liberia,LR,Margibi County,margibi-county,Kakata,kakata
Liberia,liberia,LR,Maryland County,maryland-county,Harper,harper
Liberia,liberia,LR,Montserrado County,montserrado-county,Bensonville,bensonville
Liberia,liberia,LR,Montserrado County,montserrado-county,Monrovia,monrovia
Liberia,liberia,LR,Nimba,nimba,Ganta,ganta
Liberia,liberia,LR,Nimba,nimba,New Yekepa,new-yekepa
Liberia,liberia,LR,Nimba,nimba,Sanniquellie,sanniquellie
Liberia,liberia,LR,River Cess County,river-cess-county,Cestos City,cestos-city
Liberia,liberia,LR,River Gee County,river-gee-county,Fish Town,fish-town
Liberia,liberia,LR,Sinoe County,sinoe-county,Greenville,greenville
