s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Lithuania,lithuania,LT,Akmene District Municipality,akmene-district-municipality,Akmene District Municipality,akmene-district-municipality
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Alytaus rajonas,alytaus-rajonas
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Alytus,alytus
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Daugai,daugai
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Druskininkai,druskininkai
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Lazdijai,lazdijai
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Simnas,simnas
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Varena,varena
Lithuania,lithuania,LT,Alytus City Municipality,alytus-city-municipality,Veisiejai,veisiejai
Lithuania,lithuania,LT,Alytus County,alytus-county,Alytus County,alytus-county
Lithuania,lithuania,LT,Alytus District Municipality,alytus-district-municipality,Alytus District Municipality,alytus-district-municipality
Lithuania,lithuania,LT,Birstonas Municipality,birstonas-municipality,Birstonas Municipality,birstonas-municipality
Lithuania,lithuania,LT,Birzai District Municipality,birzai-district-municipality,Birzai District Municipality,birzai-district-municipality
Lithuania,lithuania,LT,Druskininkai municipality,druskininkai-municipality,Druskininkai municipality,druskininkai-municipality
Lithuania,lithuania,LT,Elektrenai municipality,elektrenai-municipality,Elektrenai municipality,elektrenai-municipality
Lithuania,lithuania,LT,Ignalina District Municipality,ignalina-district-municipality,Ignalina District Municipality,ignalina-district-municipality
Lithuania,lithuania,LT,Jonava District Municipality,jonava-district-municipality,Jonava District Municipality,jonava-district-municipality
Lithuania,lithuania,LT,Joniskis District Municipality,joniskis-district-municipality,Joniskis District Municipality,joniskis-district-municipality
Lithuania,lithuania,LT,Jurbarkas District Municipality,jurbarkas-district-municipality,Jurbarkas District Municipality,jurbarkas-district-municipality
Lithuania,lithuania,LT,Kaisiadorys District Municipality,kaisiadorys-district-municipality,Kaisiadorys District Municipality,kaisiadorys-district-municipality
Lithuania,lithuania,LT,Kalvarija municipality,kalvarija-municipality,Kalvarija municipality,kalvarija-municipality
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Akademija (Kaunas),akademija-kaunas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Aleksotas,aleksotas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Ariogala,ariogala
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Birstonas,birstonas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Dainava (Kaunas),dainava-kaunas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Eiguliai,eiguliai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Ezerelis,ezerelis
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Garliava,garliava
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Jieznas,jieznas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Jonava,jonava
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Kaisiadorys,kaisiadorys
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Karmelava,karmelava
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Kaunas,kaunas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Kauno rajonas,kauno-rajonas
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Kedainiai,kedainiai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Kulautuva,kulautuva
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Mastaiciai,mastaiciai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Prienai,prienai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Ramuciai,ramuciai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Raseiniai,raseiniai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Sargenai,sargenai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Silainiai,silainiai
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Vilkija,vilkija
Lithuania,lithuania,LT,Kaunas City Municipality,kaunas-city-municipality,Ziezmariai,ziezmariai
Lithuania,lithuania,LT,Kaunas County,kaunas-county,Kaunas County,kaunas-county
Lithuania,lithuania,LT,Kaunas District Municipality,kaunas-district-municipality,Kaunas District Municipality,kaunas-district-municipality
Lithuania,lithuania,LT,Kazlu Ruda municipality,kazlu-ruda-municipality,Kazlu Ruda municipality,kazlu-ruda-municipality
