s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Bascharage,bascharage
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Bridel,bridel
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Capellen,capellen
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Clemency,clemency
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Dippach,dippach
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Eischen,eischen
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Garnich,garnich
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Hautcharage,hautcharage
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Hobscheid,hobscheid
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Kaerjeng,kaerjeng
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Kehlen,kehlen
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Koerich,koerich
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Kopstal,kopstal
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Mamer,mamer
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Schouweiler,schouweiler
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Septfontaines,septfontaines
Luxembourg,LU,Canton of Capellen,canton-of-capellen,Steinfort,steinfort
Luxembourg,LU,Canton of Clervaux,canton-of-clervaux,Clervaux,clervaux
Luxembourg,LU,Canton of Clervaux,canton-of-clervaux,Hosingen,hosingen
Luxembourg,LU,Canton of Clervaux,canton-of-clervaux,Parc Hosingen,parc-hosingen
Luxembourg,LU,Canton of Clervaux,canton-of-clervaux,Troisvierges,troisvierges
Luxembourg,LU,Canton of Clervaux,canton-of-clervaux,Weiswampach,weiswampach
Luxembourg,LU,Canton of Clervaux,canton-of-clervaux,Wincrange,wincrange
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Bettendorf,bettendorf
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Bourscheid,bourscheid
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Commune de la Vallee de lErnz,commune-de-la-vallee-de-lernz
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Diekirch,diekirch
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Erpeldange,erpeldange
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Ettelbruck,ettelbruck
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Feulen,feulen
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Medernach,medernach
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Mertzig,mertzig
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Niederfeulen,niederfeulen
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Reisdorf,reisdorf
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Schieren,schieren
Luxembourg,LU,Canton of Diekirch,canton-of-diekirch,Warken,warken
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Beaufort,beaufort
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Bech,bech
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Berdorf,berdorf
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Consdorf,consdorf
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Echternach,echternach
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Mompach,mompach
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Rosport,rosport
Luxembourg,LU,Canton of Echternach,canton-of-echternach,Waldbillig,waldbillig
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Aspelt,aspelt
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Belvaux,belvaux
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Bergem,bergem
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Bettembourg,bettembourg
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Crauthem,crauthem
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Differdange,differdange
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Dudelange,dudelange
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Esch-sur-Alzette,esch-sur-alzette
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Frisange,frisange
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Kayl,kayl
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Lamadelaine,lamadelaine
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Leudelange,leudelange
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Mondercange,mondercange
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Niedercorn,niedercorn
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Obercorn,obercorn
Luxembourg,LU,Canton of Esch-sur-Alzette,canton-of-esch-sur-alzette,Petange,petange
