s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Latvia,LV,Aglona Municipality,aglona-municipality,Aglona,aglona
Latvia,LV,Aizkraukle Municipality,aizkraukle-municipality,Aizkraukle,aizkraukle
Latvia,LV,Aizpute Municipality,aizpute-municipality,Aizpute,aizpute
Latvia,LV,Akniste Municipality,akniste-municipality,Akniste,akniste
Latvia,LV,Aloja Municipality,aloja-municipality,Aloja,aloja
Latvia,LV,Aloja Municipality,aloja-municipality,Staicele,staicele
Latvia,LV,Alsunga Municipality,alsunga-municipality,Alsunga,alsunga
Latvia,LV,Aluksne Municipality,aluksne-municipality,Aluksne,aluksne
Latvia,LV,Amata Municipality,amata-municipality,Amata Municipality,amata-municipality
Latvia,LV,Ape Municipality,ape-municipality,Ape,ape
Latvia,LV,Auce Municipality,auce-municipality,Auce,auce
Latvia,LV,Babite Municipality,babite-municipality,Pinki,pinki
Latvia,LV,Baldone Municipality,baldone-municipality,Baldone,baldone
Latvia,LV,Baltinava Municipality,baltinava-municipality,Baltinava,baltinava
Latvia,LV,Balvi Municipality,balvi-municipality,Balvi,balvi
Latvia,LV,Bauska Municipality,bauska-municipality,Bauska,bauska
Latvia,LV,Beverina Municipality,beverina-municipality,Murmuiza,murmuiza
Latvia,LV,Broceni Municipality,broceni-municipality,Broceni,broceni
Latvia,LV,Burtnieki Municipality,burtnieki-municipality,Burtnieki Municipality,burtnieki-municipality
Latvia,LV,Carnikava Municipality,carnikava-municipality,Carnikava,carnikava
Latvia,LV,Cesis Municipality,cesis-municipality,Cesis,cesis
Latvia,LV,Cesvaine Municipality,cesvaine-municipality,Cesvaine,cesvaine
Latvia,LV,Cibla Municipality,cibla-municipality,Cibla,cibla
Latvia,LV,Dagda Municipality,dagda-municipality,Dagda,dagda
Latvia,LV,Daugavpils,daugavpils,Daugavpils,daugavpils
Latvia,LV,Daugavpils Municipality,daugavpils-municipality,Daugavpils,daugavpils
Latvia,LV,Dobele Municipality,dobele-municipality,Dobele,dobele
Latvia,LV,Dundaga Municipality,dundaga-municipality,Dundaga,dundaga
Latvia,LV,Durbe Municipality,durbe-municipality,Liegi,liegi
Latvia,LV,Engure Municipality,engure-municipality,Smarde,smarde
Latvia,LV,Ergli Municipality,ergli-municipality,Ergli,ergli
Latvia,LV,Garkalne Municipality,garkalne-municipality,Garkalne,garkalne
Latvia,LV,Grobina Municipality,grobina-municipality,Grobina,grobina
Latvia,LV,Gulbene Municipality,gulbene-municipality,Gulbene,gulbene
Latvia,LV,Iecava Municipality,iecava-municipality,Iecava,iecava
Latvia,LV,Ikskile Municipality,ikskile-municipality,Ikskile,ikskile
Latvia,LV,Ilukste Municipality,ilukste-municipality,Ilukste,ilukste
Latvia,LV,Incukalns Municipality,incukalns-municipality,Incukalns,incukalns
Latvia,LV,Incukalns Municipality,incukalns-municipality,Vangazi,vangazi
Latvia,LV,Jaunjelgava Municipality,jaunjelgava-municipality,Jaunjelgava,jaunjelgava
Latvia,LV,Jaunpiebalga Municipality,jaunpiebalga-municipality,Jaunpiebalga Municipality,jaunpiebalga-municipality
Latvia,LV,Jaunpils Municipality,jaunpils-municipality,Jaunpils,jaunpils
Latvia,LV,Jekabpils,jekabpils,Jekabpils,jekabpils
Latvia,LV,Jekabpils Municipality,jekabpils-municipality,Jekabpils,jekabpils
Latvia,LV,Jekabpils Municipality,jekabpils-municipality,Krustpils,krustpils
Latvia,LV,Jelgava,jelgava,Jelgava,jelgava
Latvia,LV,Jelgava Municipality,jelgava-municipality,Tireli,tireli
Latvia,LV,Jurmala,jurmala,Jurmala,jurmala
Latvia,LV,Kandava Municipality,kandava-municipality,Kandava,kandava
Latvia,LV,Karsava Municipality,karsava-municipality,Karsava,karsava
Latvia,LV,Kegums Municipality,kegums-municipality,Kegums,kegums
Latvia,LV,Kekava Municipality,kekava-municipality,Balozi,balozi
Latvia,LV,Kekava Municipality,kekava-municipality,Kekava,kekava
Latvia,LV,Koceni Municipality,koceni-municipality,Koceni,koceni
Latvia,LV,Koknese Municipality,koknese-municipality,Koknese,koknese
Latvia,LV,Kraslava Municipality,kraslava-municipality,Kraslava,kraslava
Latvia,LV,Krimulda Municipality,krimulda-municipality,Krimulda Municipality,krimulda-municipality
Latvia,LV,Krustpils Municipality,krustpils-municipality,Krustpils Municipality,krustpils-municipality
Latvia,LV,Kuldiga Municipality,kuldiga-municipality,Kuldiga,kuldiga
Latvia,LV,Lielvarde Municipality,lielvarde-municipality,Lielvarde,lielvarde
Latvia,LV,Liepaja,liepaja,Karosta,karosta
Latvia,LV,Liepaja,liepaja,Liepaja,liepaja
Latvia,LV,Ligatne Municipality,ligatne-municipality,Ligatne,ligatne
Latvia,LV,Limbazi Municipality,limbazi-municipality,Limbazi,limbazi
Latvia,LV,Livani Municipality,livani-municipality,Livani,livani
Latvia,LV,Lubana Municipality,lubana-municipality,Lubana,lubana
Latvia,LV,Ludza Municipality,ludza-municipality,Ludza,ludza
Latvia,LV,Madona Municipality,madona-municipality,Madona,madona
Latvia,LV,Malpils Municipality,malpils-municipality,Malpils,malpils
Latvia,LV,Marupe Municipality,marupe-municipality,Marupe,marupe
Latvia,LV,Mazsalaca Municipality,mazsalaca-municipality,Mazsalaca,mazsalaca
Latvia,LV,Mersrags Municipality,mersrags-municipality,Mersrags Municipality,mersrags-municipality
Latvia,LV,Naukseni Municipality,naukseni-municipality,Naukseni,naukseni
Latvia,LV,Nereta Municipality,nereta-municipality,Nereta,nereta
Latvia,LV,Nica Municipality,nica-municipality,Nica,nica
Latvia,LV,Ogre Municipality,ogre-municipality,Jumprava,jumprava
Latvia,LV,Ogre Municipality,ogre-municipality,Ogre,ogre
Latvia,LV,Olaine Municipality,olaine-municipality,Olaine,olaine
Latvia,LV,Ozolnieki Municipality,ozolnieki-municipality,Ozolnieki,ozolnieki
Latvia,LV,Pargauja Municipality,pargauja-municipality,Stalbe,stalbe
Latvia,LV,Pavilosta Municipality,pavilosta-municipality,Pavilosta,pavilosta
Latvia,LV,Plavinas Municipality,plavinas-municipality,Plavinas,plavinas
Latvia,LV,Preili Municipality,preili-municipality,Jaunaglona,jaunaglona
Latvia,LV,Preili Municipality,preili-municipality,Preili,preili
Latvia,LV,Priekule Municipality,priekule-municipality,Priekule,priekule
Latvia,LV,Priekuli Municipality,priekuli-municipality,Priekuli,priekuli
Latvia,LV,Rauna Municipality,rauna-municipality,Rauna,rauna
Latvia,LV,Rezekne,rezekne,Rezekne,rezekne
Latvia,LV,Rezekne Municipality,rezekne-municipality,Rezekne Municipality,rezekne-municipality
Latvia,LV,Riebini Municipality,riebini-municipality,Riebini,riebini
Latvia,LV,Riga,riga,Bolderaja,bolderaja
Latvia,LV,Riga,riga,Daugavgriva,daugavgriva
Latvia,LV,Riga,riga,Jaunciems,jaunciems
Latvia,LV,Riga,riga,Mezaparks,mezaparks
Latvia,LV,Riga,riga,Riga,riga
Latvia,LV,Roja Municipality,roja-municipality,Roja,roja
Latvia,LV,Ropazi Municipality,ropazi-municipality,Ropazi,ropazi
Latvia,LV,Rucava Municipality,rucava-municipality,Rucava,rucava
Latvia,LV,Rugaji Municipality,rugaji-municipality,Rugaji,rugaji
Latvia,LV,Rujiena Municipality,rujiena-municipality,Rujiena,rujiena
