s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Morocco,morocco,MA,Al Haouz Province,al-haouz-province,Al Haouz Province,al-haouz-province
Morocco,morocco,MA,Al Hoceima Province,al-hoceima-province,Al Hoceima Province,al-hoceima-province
Morocco,morocco,MA,Aousserd Province,aousserd-province,Aousserd Province,aousserd-province
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Agadir,agadir
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Agadir Melloul,agadir-melloul
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Agadir-Ida-ou-Tnan,agadir-ida-ou-tnan
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Aoulouz,aoulouz
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Aourir,aourir
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Arazane,arazane
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Argana,argana
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Bigoudine,bigoudine
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Chtouka-Ait-Baha,chtouka-ait-baha
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Inezgane,inezgane
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Inezgane-Ait Melloul,inezgane-ait-melloul
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Ouijjane,ouijjane
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Oulad Teima,oulad-teima
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Reggada,reggada
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Sidi Ifni,sidi-ifni
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tadrart,tadrart
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tafraout,tafraout
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Taghazout,taghazout
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Taliouine,taliouine
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tamri,tamri
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tanalt,tanalt
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Taroudannt,taroudannt
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Taroudant,taroudant
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tarsouat,tarsouat
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tata,tata
Morocco,morocco,MA,Assa-Zag Province,assa-zag-province,Tiznit,tiznit
Morocco,morocco,MA,Azilal Province,azilal-province,Azilal Province,azilal-province
Morocco,morocco,MA,Ben Slimane Province,ben-slimane-province,Ben Slimane Province,ben-slimane-province
Morocco,morocco,MA,Beni Mellal-Khenifra,beni-mellal-khenifra,Beni Mellal-Khenifra,beni-mellal-khenifra
Morocco,morocco,MA,Beni-Mellal Province,beni-mellal-province,Beni-Mellal Province,beni-mellal-province
Morocco,morocco,MA,Berkane Province,berkane-province,Berkane Province,berkane-province
Morocco,morocco,MA,Boujdour Province,boujdour-province,Boujdour Province,boujdour-province
Morocco,morocco,MA,Boulemane Province,boulemane-province,Boulemane Province,boulemane-province
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Azemmour,azemmour
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Benslimane,benslimane
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Berrechid,berrechid
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Berrechid Province,berrechid-province
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Boulaouane,boulaouane
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Bouskoura,bouskoura
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Bouznika,bouznika
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Casablanca,casablanca
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,El Jadid,el-jadid
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,El-Jadida,el-jadida
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Mediouna,mediouna
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Mohammedia,mohammedia
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Nouaceur,nouaceur
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Oualidia,oualidia
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Oulad Frej,oulad-frej
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Settat,settat
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Settat Province,settat-province
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Sidi Bennour,sidi-bennour
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Sidi Smaiil,sidi-smaiil
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Tit Mellil,tit-mellil
Morocco,morocco,MA,Casablanca-Settat,casablanca-settat,Zawyat an Nwacer,zawyat-an-nwacer
Morocco,morocco,MA,Chefchaouen Province,chefchaouen-province,Chefchaouen Province,chefchaouen-province
Morocco,morocco,MA,Chichaoua Province,chichaoua-province,Chichaoua Province,chichaoua-province
Morocco,morocco,MA,Dakhla-Oued Ed-Dahab,dakhla-oued-ed-dahab,Dakhla-Oued Ed-Dahab,dakhla-oued-ed-dahab
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Agdz,agdz
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Alnif,alnif
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Aoufous,aoufous
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Arfoud,arfoud
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Errachidia,errachidia
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Imilchil,imilchil
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Jebel Tiskaouine,jebel-tiskaouine
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Jorf,jorf
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Kelaat Mgouna,kelaat-mgouna
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Mhamid,mhamid
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Midelt,midelt
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Ouarzazat,ouarzazat
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Ouarzazate,ouarzazate
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Recani,recani
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Taznakht,taznakht
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Telouet,telouet
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Tinghir,tinghir
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Tinghir Province,tinghir-province
Morocco,morocco,MA,Draa-Tafilalet,draa-tafilalet,Zagora,zagora
Morocco,morocco,MA,El Hajeb Province,el-hajeb-province,El Hajeb Province,el-hajeb-province
Morocco,morocco,MA,El Jadida Province,el-jadida-province,El Jadida Province,el-jadida-province
Morocco,morocco,MA,Errachidia Province,errachidia-province,Errachidia Province,errachidia-province
Morocco,morocco,MA,Es Semara Province,es-semara-province,Es Semara Province,es-semara-province
Morocco,morocco,MA,Essaouira Province,essaouira-province,Essaouira Province,essaouira-province
Morocco,morocco,MA,Fahs Anjra Province,fahs-anjra-province,Fahs Anjra Province,fahs-anjra-province
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Ain Leuh,ain-leuh
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Aknoul,aknoul
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Almis Marmoucha,almis-marmoucha
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Azrou,azrou
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Bhalil,bhalil
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Bouarouss,bouarouss
Morocco,morocco,MA,Fes-Meknes,fes-meknes,Boulemane,boulemane
Morocco,morocco,MA,Fes-Meknes,fes-meknes,El Hajeb,el-hajeb
Morocco,morocco,MA,Fes-Meknes,fes-meknes,El-Hajeb,el-hajeb
