s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mali,ML,Bamako,bamako,Bamako,bamako
Mali,ML,Gao Region,gao-region,Ansongo,ansongo
Mali,ML,Gao Region,gao-region,Cercle de Bourem,cercle-de-bourem
Mali,ML,Gao Region,gao-region,Gao,gao
Mali,ML,Gao Region,gao-region,Gao Cercle,gao-cercle
Mali,ML,Gao Region,gao-region,Inekar,inekar
Mali,ML,Kayes Region,kayes-region,Bafoulabe,bafoulabe
Mali,ML,Kayes Region,kayes-region,Kayes,kayes
Mali,ML,Kayes Region,kayes-region,Kita,kita
Mali,ML,Kayes Region,kayes-region,Kokofata,kokofata
Mali,ML,Kayes Region,kayes-region,Sagalo,sagalo
Mali,ML,Kidal Region,kidal-region,Abeibara,abeibara
Mali,ML,Kidal Region,kidal-region,Cercle dAbeibara,cercle-dabeibara
Mali,ML,Kidal Region,kidal-region,Kidal,kidal
Mali,ML,Koulikoro Region,koulikoro-region,Banamba,banamba
Mali,ML,Koulikoro Region,koulikoro-region,Kangaba,kangaba
Mali,ML,Koulikoro Region,koulikoro-region,Kati,kati
Mali,ML,Koulikoro Region,koulikoro-region,Kolokani,kolokani
Mali,ML,Koulikoro Region,koulikoro-region,Koulikoro,koulikoro
Mali,ML,Menaka Region,menaka-region,Menaka Region,menaka-region
Mali,ML,Mopti Region,mopti-region,Bandiagara,bandiagara
Mali,ML,Mopti Region,mopti-region,Djenne,djenne
Mali,ML,Mopti Region,mopti-region,Douentza,douentza
Mali,ML,Mopti Region,mopti-region,Douentza Cercle,douentza-cercle
Mali,ML,Mopti Region,mopti-region,Mopti,mopti
Mali,ML,Mopti Region,mopti-region,Tenenkou,tenenkou
Mali,ML,Segou Region,segou-region,Baroueli,baroueli
Mali,ML,Segou Region,segou-region,Cercle de San,cercle-de-san
Mali,ML,Segou Region,segou-region,Ke-Macina,ke-macina
Mali,ML,Segou Region,segou-region,Kinmparana,kinmparana
Mali,ML,Segou Region,segou-region,Markala,markala
Mali,ML,Segou Region,segou-region,San,san
Mali,ML,Segou Region,segou-region,Segou,segou
Mali,ML,Segou Region,segou-region,Sokolo,sokolo
Mali,ML,Sikasso Region,sikasso-region,Bougouni,bougouni
Mali,ML,Sikasso Region,sikasso-region,Kolondieba,kolondieba
Mali,ML,Sikasso Region,sikasso-region,Koutiala,koutiala
Mali,ML,Sikasso Region,sikasso-region,Koutiala Cercle,koutiala-cercle
Mali,ML,Sikasso Region,sikasso-region,Ntossoni,ntossoni
Mali,ML,Sikasso Region,sikasso-region,Sikasso,sikasso
Mali,ML,Sikasso Region,sikasso-region,Yorosso,yorosso
Mali,ML,Taoudenit Region,taoudenit-region,Taoudenit Region,taoudenit-region
Mali,ML,Tombouctou Region,tombouctou-region,Araouane,araouane
Mali,ML,Tombouctou Region,tombouctou-region,Cercle de Goundam,cercle-de-goundam
Mali,ML,Tombouctou Region,tombouctou-region,Dire,dire
Mali,ML,Tombouctou Region,tombouctou-region,Dire,dire
Mali,ML,Tombouctou Region,tombouctou-region,Goundam,goundam
Mali,ML,Tombouctou Region,tombouctou-region,Gourma-Rharous Cercle,gourma-rharous-cercle
Mali,ML,Tombouctou Region,tombouctou-region,Niafunke,niafunke
Mali,ML,Tombouctou Region,tombouctou-region,Timbuktu,timbuktu
