s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Bogale,bogale
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Hinthada,hinthada
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Kyaiklat,kyaiklat
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Maubin,maubin
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Mawlamyinegyunn,mawlamyinegyunn
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Myanaung,myanaung
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Nyaungdon,nyaungdon
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Pathein,pathein
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Pyapon,pyapon
Myanmar,MM,Ayeyarwady Region,ayeyarwady-region,Wakema,wakema
Myanmar,MM,Bago,bago,Bago,bago
Myanmar,MM,Bago,bago,Letpandan,letpandan
Myanmar,MM,Bago,bago,Nyaunglebin,nyaunglebin
Myanmar,MM,Bago,bago,Paungde,paungde
Myanmar,MM,Bago,bago,Pyay,pyay
Myanmar,MM,Bago,bago,Pyu,pyu
Myanmar,MM,Bago,bago,Taungoo,taungoo
Myanmar,MM,Bago,bago,Thanatpin,thanatpin
Myanmar,MM,Bago,bago,Tharyarwady,tharyarwady
Myanmar,MM,Chin State,chin-state,Falam,falam
Myanmar,MM,Chin State,chin-state,Hakha,hakha
Myanmar,MM,Kachin State,kachin-state,Bhamo,bhamo
Myanmar,MM,Kachin State,kachin-state,Myitkyina,myitkyina
Myanmar,MM,Kayah State,kayah-state,Loikaw,loikaw
Myanmar,MM,Kayin State,kayin-state,Dellok,dellok
Myanmar,MM,Kayin State,kayin-state,Hpa-An,hpa-an
Myanmar,MM,Kayin State,kayin-state,Klonhtoug,klonhtoug
Myanmar,MM,Kayin State,kayin-state,Kyain Seikgyi Township,kyain-seikgyi-township
Myanmar,MM,Kayin State,kayin-state,Mikenaungea,mikenaungea
Myanmar,MM,Kayin State,kayin-state,Myawadi,myawadi
Myanmar,MM,Kayin State,kayin-state,Pulei,pulei
Myanmar,MM,Kayin State,kayin-state,Tagondaing,tagondaing
Myanmar,MM,Kayin State,kayin-state,Tamoowoug,tamoowoug
Myanmar,MM,Magway Region,magway-region,Chauk,chauk
Myanmar,MM,Magway Region,magway-region,Magway,magway
Myanmar,MM,Magway Region,magway-region,Minbu,minbu
Myanmar,MM,Magway Region,magway-region,Myaydo,myaydo
Myanmar,MM,Magway Region,magway-region,Pakokku,pakokku
Myanmar,MM,Magway Region,magway-region,Taungdwingyi,taungdwingyi
Myanmar,MM,Magway Region,magway-region,Thayetmyo,thayetmyo
Myanmar,MM,Magway Region,magway-region,Yenangyaung,yenangyaung
Myanmar,MM,Mandalay Region,mandalay-region,Kyaukse,kyaukse
Myanmar,MM,Mandalay Region,mandalay-region,Mandalay,mandalay
Myanmar,MM,Mandalay Region,mandalay-region,Meiktila,meiktila
Myanmar,MM,Mandalay Region,mandalay-region,Mogok,mogok
Myanmar,MM,Mandalay Region,mandalay-region,Myingyan,myingyan
Myanmar,MM,Mandalay Region,mandalay-region,Nyaungshwe,nyaungshwe
Myanmar,MM,Mandalay Region,mandalay-region,Pyin Oo Lwin,pyin-oo-lwin
Myanmar,MM,Mandalay Region,mandalay-region,Yamethin,yamethin
Myanmar,MM,Mon State,mon-state,Kyaikkami,kyaikkami
Myanmar,MM,Mon State,mon-state,Kyaikto,kyaikto
Myanmar,MM,Mon State,mon-state,Martaban,martaban
Myanmar,MM,Mon State,mon-state,Mawlamyine,mawlamyine
Myanmar,MM,Mon State,mon-state,Mudon,mudon
Myanmar,MM,Mon State,mon-state,Thaton,thaton
Myanmar,MM,Naypyidaw Union Territory,naypyidaw-union-territory,Nay Pyi Taw,nay-pyi-taw
Myanmar,MM,Naypyidaw Union Territory,naypyidaw-union-territory,Pyinmana,pyinmana
Myanmar,MM,Rakhine State,rakhine-state,Sittwe,sittwe
Myanmar,MM,Sagaing Region,sagaing-region,Mawlaik,mawlaik
Myanmar,MM,Sagaing Region,sagaing-region,Monywa,monywa
Myanmar,MM,Sagaing Region,sagaing-region,Sagaing,sagaing
Myanmar,MM,Sagaing Region,sagaing-region,Shwebo,shwebo
Myanmar,MM,Shan State,shan-state,Lashio,lashio
Myanmar,MM,Shan State,shan-state,Tachilek,tachilek
Myanmar,MM,Shan State,shan-state,Taunggyi,taunggyi
Myanmar,MM,Tanintharyi Region,tanintharyi-region,Dawei,dawei
Myanmar,MM,Tanintharyi Region,tanintharyi-region,Kawthoung,kawthoung
Myanmar,MM,Tanintharyi Region,tanintharyi-region,Myeik,myeik
Myanmar,MM,Yangon Region,yangon-region,Kanbe,kanbe
Myanmar,MM,Yangon Region,yangon-region,Kayan,kayan
Myanmar,MM,Yangon Region,yangon-region,Syriam,syriam
Myanmar,MM,Yangon Region,yangon-region,Thongwa,thongwa
Myanmar,MM,Yangon Region,yangon-region,Twante,twante
Myanmar,MM,Yangon Region,yangon-region,Yangon,yangon
