s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mauritius,mauritius,MU,Agalega,agalega,Vingt Cinq,vingt-cinq
Mauritius,mauritius,MU,Beau Bassin-Rose Hill,beau-bassin-rose-hill,Beau Bassin-Rose Hill,beau-bassin-rose-hill
Mauritius,mauritius,MU,Cargados Carajos,cargados-carajos,Cargados Carajos,cargados-carajos
Mauritius,mauritius,MU,Curepipe,curepipe,Curepipe,curepipe
Mauritius,mauritius,MU,Flacq District,flacq-district,Bel Air Riviere Seche,bel-air-riviere-seche
Mauritius,mauritius,MU,Flacq District,flacq-district,Bon Accueil,bon-accueil
Mauritius,mauritius,MU,Flacq District,flacq-district,Brisee Verdiere,brisee-verdiere
Mauritius,mauritius,MU,Flacq District,flacq-district,Camp de Masque,camp-de-masque
Mauritius,mauritius,MU,Flacq District,flacq-district,Camp Ithier,camp-ithier
Mauritius,mauritius,MU,Flacq District,flacq-district,Centre de Flacq,centre-de-flacq
Mauritius,mauritius,MU,Flacq District,flacq-district,Clemencia,clemencia
Mauritius,mauritius,MU,Flacq District,flacq-district,Ecroignard,ecroignard
Mauritius,mauritius,MU,Flacq District,flacq-district,Grande Riviere Sud Est,grande-riviere-sud-est
Mauritius,mauritius,MU,Flacq District,flacq-district,Lalmatie,lalmatie
Mauritius,mauritius,MU,Flacq District,flacq-district,Laventure,laventure
Mauritius,mauritius,MU,Flacq District,flacq-district,Mare La Chaux,mare-la-chaux
Mauritius,mauritius,MU,Flacq District,flacq-district,Olivia,olivia
Mauritius,mauritius,MU,Flacq District,flacq-district,Poste de Flacq,poste-de-flacq
Mauritius,mauritius,MU,Flacq District,flacq-district,Quatre Cocos,quatre-cocos
Mauritius,mauritius,MU,Flacq District,flacq-district,Quatre Soeurs,quatre-soeurs
Mauritius,mauritius,MU,Flacq District,flacq-district,Queen Victoria,queen-victoria
Mauritius,mauritius,MU,Flacq District,flacq-district,Saint Julien,saint-julien
Mauritius,mauritius,MU,Flacq District,flacq-district,Sebastopol,sebastopol
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Bambous Virieux,bambous-virieux
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Beau Vallon,beau-vallon
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Bois des Amourettes,bois-des-amourettes
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Cluny,cluny
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Grand Sable,grand-sable
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Mahebourg,mahebourg
Mauritius,mauritius,MU,Grand Port District,grand-port-district,New Grove,new-grove
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Nouvelle France,nouvelle-france
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Plaine Magnien,plaine-magnien
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Rose Belle,rose-belle
Mauritius,mauritius,MU,Grand Port District,grand-port-district,Saint Hubert,saint-hubert
Mauritius,mauritius,MU,Moka District,moka-district,Camp Thorel,camp-thorel
Mauritius,mauritius,MU,Moka District,moka-district,Dagotiere,dagotiere
Mauritius,mauritius,MU,Moka District,moka-district,Dubreuil,dubreuil
Mauritius,mauritius,MU,Moka District,moka-district,Melrose,melrose
Mauritius,mauritius,MU,Moka District,moka-district,Moka,moka
Mauritius,mauritius,MU,Moka District,moka-district,Pailles,pailles
Mauritius,mauritius,MU,Moka District,moka-district,Providence,providence
Mauritius,mauritius,MU,Moka District,moka-district,Quartier Militaire,quartier-militaire
Mauritius,mauritius,MU,Moka District,moka-district,Saint Pierre,saint-pierre
Mauritius,mauritius,MU,Moka District,moka-district,Verdun,verdun
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Arsenal,arsenal
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Calebasses,calebasses
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Congomah,congomah
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Creve Coeur,creve-coeur
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Fond du Sac,fond-du-sac
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Le Hochet,le-hochet
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Long Mountain,long-mountain
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Morcellement Saint Andre,morcellement-saint-andre
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Notre Dame,notre-dame
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Pamplemousses,pamplemousses
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Plaine des Papayes,plaine-des-papayes
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Pointe aux Piments,pointe-aux-piments
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Terre Rouge,terre-rouge
Mauritius,mauritius,MU,Pamplemousses District,pamplemousses-district,Triolet,triolet
Mauritius,mauritius,MU,Plaines Wilhems District,plaines-wilhems-district,Beau Bassin-Rose Hill,beau-bassin-rose-hill
Mauritius,mauritius,MU,Plaines Wilhems District,plaines-wilhems-district,Curepipe,curepipe
Mauritius,mauritius,MU,Plaines Wilhems District,plaines-wilhems-district,Ebene,ebene
Mauritius,mauritius,MU,Plaines Wilhems District,plaines-wilhems-district,Midlands,midlands
Mauritius,mauritius,MU,Plaines Wilhems District,plaines-wilhems-district,Quatre Bornes,quatre-bornes
Mauritius,mauritius,MU,Plaines Wilhems District,plaines-wilhems-district,Vacoas,vacoas
Mauritius,mauritius,MU,Port Louis,port-louis,Port Louis,port-louis
Mauritius,mauritius,MU,Port Louis District,port-louis-district,Port Louis,port-louis
Mauritius,mauritius,MU,Quatre Bornes,quatre-bornes,Quatre Bornes,quatre-bornes
Mauritius,mauritius,MU,Riviere du Rempart District,riviere-du-rempart-district,Amaury,amaury
Mauritius,mauritius,MU,Riviere du Rempart District,riviere-du-rempart-district,Cap Malheureux,cap-malheureux
Mauritius,mauritius,MU,Riviere du Rempart District,riviere-du-rempart-district,Cottage,cottage
Mauritius,mauritius,MU,Riviere du Rempart District,riviere-du-rempart-district,Esperance Trebuchet,esperance-trebuchet
Mauritius,mauritius,MU,Riviere du Rempart District,riviere-du-rempart-district,Goodlands,goodlands
