s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Maldives,maldives,MV,Addu Atoll,addu-atoll,Hithadhoo,hithadhoo
Maldives,maldives,MV,Addu Atoll,addu-atoll,Meedhoo,meedhoo
Maldives,maldives,MV,Alif Alif Atoll,alif-alif-atoll,Alif Alif Atoll,alif-alif-atoll
Maldives,maldives,MV,Alif Dhaal Atoll,alif-dhaal-atoll,Alif Dhaal Atoll,alif-dhaal-atoll
Maldives,maldives,MV,Central Province,central-province,Central Province,central-province
Maldives,maldives,MV,Dhaalu Atoll,dhaalu-atoll,Kudahuvadhoo,kudahuvadhoo
Maldives,maldives,MV,Faafu Atoll,faafu-atoll,Faafu Atoll,faafu-atoll
Maldives,maldives,MV,Gaafu Alif Atoll,gaafu-alif-atoll,Viligili,viligili
Maldives,maldives,MV,Gaafu Dhaalu Atoll,gaafu-dhaalu-atoll,Thinadhoo,thinadhoo
Maldives,maldives,MV,Gnaviyani Atoll,gnaviyani-atoll,Fuvahmulah,fuvahmulah
Maldives,maldives,MV,Haa Alif Atoll,haa-alif-atoll,Dhidhdhoo,dhidhdhoo
Maldives,maldives,MV,Haa Dhaalu Atoll,haa-dhaalu-atoll,Kulhudhuffushi,kulhudhuffushi
Maldives,maldives,MV,Kaafu Atoll,kaafu-atoll,Guraidhoo,guraidhoo
Maldives,maldives,MV,Kaafu Atoll,kaafu-atoll,Hulhumale,hulhumale
Maldives,maldives,MV,Kaafu Atoll,kaafu-atoll,Maafushi,maafushi
Maldives,maldives,MV,Kaafu Atoll,kaafu-atoll,Male,male
Maldives,maldives,MV,Laamu Atoll,laamu-atoll,Fonadhoo,fonadhoo
Maldives,maldives,MV,Lhaviyani Atoll,lhaviyani-atoll,Naifaru,naifaru
Maldives,maldives,MV,Male,male,Male,male
Maldives,maldives,MV,Meemu Atoll,meemu-atoll,Muli,muli
Maldives,maldives,MV,Noonu Atoll,noonu-atoll,Manadhoo,manadhoo
Maldives,maldives,MV,North Central Province,north-central-province,North Central Province,north-central-province
Maldives,maldives,MV,North Province,north-province,North Province,north-province
Maldives,maldives,MV,Raa Atoll,raa-atoll,Ugoofaaru,ugoofaaru
Maldives,maldives,MV,Shaviyani Atoll,shaviyani-atoll,Funadhoo,funadhoo
Maldives,maldives,MV,South Central Province,south-central-province,Mahibadhoo,mahibadhoo
Maldives,maldives,MV,South Province,south-province,South Province,south-province
Maldives,maldives,MV,Thaa Atoll,thaa-atoll,Veymandoo,veymandoo
Maldives,maldives,MV,Upper South Province,upper-south-province,Upper South Province,upper-south-province
Maldives,maldives,MV,Vaavu Atoll,vaavu-atoll,Felidhoo,felidhoo
