s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Malawi,malawi,MW,Balaka District,balaka-district,Balaka District,balaka-district
Malawi,malawi,MW,Blantyre District,blantyre-district,Blantyre District,blantyre-district
Malawi,malawi,MW,Central Region,central-region,Chipoka,chipoka
Malawi,malawi,MW,Central Region,central-region,Dedza,dedza
Malawi,malawi,MW,Central Region,central-region,Dedza District,dedza-district
Malawi,malawi,MW,Central Region,central-region,Dowa,dowa
Malawi,malawi,MW,Central Region,central-region,Dowa District,dowa-district
Malawi,malawi,MW,Central Region,central-region,Kasungu,kasungu
Malawi,malawi,MW,Central Region,central-region,Kasungu District,kasungu-district
Malawi,malawi,MW,Central Region,central-region,Lilongwe,lilongwe
Malawi,malawi,MW,Central Region,central-region,Lilongwe District,lilongwe-district
Malawi,malawi,MW,Central Region,central-region,Mchinji,mchinji
Malawi,malawi,MW,Central Region,central-region,Mchinji District,mchinji-district
Malawi,malawi,MW,Central Region,central-region,Mponela,mponela
Malawi,malawi,MW,Central Region,central-region,Nkhotakota,nkhotakota
Malawi,malawi,MW,Central Region,central-region,Nkhotakota District,nkhotakota-district
Malawi,malawi,MW,Central Region,central-region,Ntcheu,ntcheu
Malawi,malawi,MW,Central Region,central-region,Ntcheu District,ntcheu-district
Malawi,malawi,MW,Central Region,central-region,Ntchisi,ntchisi
Malawi,malawi,MW,Central Region,central-region,Ntchisi District,ntchisi-district
Malawi,malawi,MW,Central Region,central-region,Salima,salima
Malawi,malawi,MW,Central Region,central-region,Salima District,salima-district
Malawi,malawi,MW,Chikwawa District,chikwawa-district,Chikwawa District,chikwawa-district
Malawi,malawi,MW,Chiradzulu District,chiradzulu-district,Chiradzulu District,chiradzulu-district
Malawi,malawi,MW,Chitipa district,chitipa-district,Chitipa district,chitipa-district
Malawi,malawi,MW,Dedza District,dedza-district,Dedza District,dedza-district
Malawi,malawi,MW,Dowa District,dowa-district,Dowa District,dowa-district
Malawi,malawi,MW,Karonga District,karonga-district,Karonga District,karonga-district
Malawi,malawi,MW,Kasungu District,kasungu-district,Kasungu District,kasungu-district
Malawi,malawi,MW,Likoma District,likoma-district,Likoma District,likoma-district
Malawi,malawi,MW,Lilongwe District,lilongwe-district,Lilongwe District,lilongwe-district
Malawi,malawi,MW,Machinga District,machinga-district,Machinga District,machinga-district
Malawi,malawi,MW,Mangochi District,mangochi-district,Mangochi District,mangochi-district
Malawi,malawi,MW,Mchinji District,mchinji-district,Mchinji District,mchinji-district
Malawi,malawi,MW,Mulanje District,mulanje-district,Mulanje District,mulanje-district
Malawi,malawi,MW,Mwanza District,mwanza-district,Mwanza District,mwanza-district
Malawi,malawi,MW,Mzimba District,mzimba-district,Mzimba District,mzimba-district
Malawi,malawi,MW,Nkhata Bay District,nkhata-bay-district,Nkhata Bay District,nkhata-bay-district
Malawi,malawi,MW,Nkhotakota District,nkhotakota-district,Nkhotakota District,nkhotakota-district
Malawi,malawi,MW,Northern Region,northern-region,Chitipa,chitipa
Malawi,malawi,MW,Northern Region,northern-region,Chitipa District,chitipa-district
Malawi,malawi,MW,Northern Region,northern-region,Karonga,karonga
Malawi,malawi,MW,Northern Region,northern-region,Karonga District,karonga-district
Malawi,malawi,MW,Northern Region,northern-region,Likoma District,likoma-district
Malawi,malawi,MW,Northern Region,northern-region,Livingstonia,livingstonia
Malawi,malawi,MW,Northern Region,northern-region,Mzimba,mzimba
Malawi,malawi,MW,Northern Region,northern-region,Mzimba District,mzimba-district
Malawi,malawi,MW,Northern Region,northern-region,Mzuzu,mzuzu
Malawi,malawi,MW,Northern Region,northern-region,Nkhata Bay,nkhata-bay
Malawi,malawi,MW,Northern Region,northern-region,Nkhata Bay District,nkhata-bay-district
Malawi,malawi,MW,Northern Region,northern-region,Rumphi,rumphi
Malawi,malawi,MW,Northern Region,northern-region,Rumphi District,rumphi-district
Malawi,malawi,MW,Nsanje District,nsanje-district,Nsanje District,nsanje-district
Malawi,malawi,MW,Ntcheu District,ntcheu-district,Ntcheu District,ntcheu-district
Malawi,malawi,MW,Ntchisi District,ntchisi-district,Ntchisi District,ntchisi-district
Malawi,malawi,MW,Phalombe District,phalombe-district,Phalombe District,phalombe-district
Malawi,malawi,MW,Rumphi District,rumphi-district,Rumphi District,rumphi-district
Malawi,malawi,MW,Salima District,salima-district,Salima District,salima-district
Malawi,malawi,MW,Southern Region,southern-region,Balaka,balaka
Malawi,malawi,MW,Southern Region,southern-region,Balaka District,balaka-district
Malawi,malawi,MW,Southern Region,southern-region,Blantyre,blantyre
Malawi,malawi,MW,Southern Region,southern-region,Blantyre District,blantyre-district
Malawi,malawi,MW,Southern Region,southern-region,Chikwawa,chikwawa
Malawi,malawi,MW,Southern Region,southern-region,Chikwawa District,chikwawa-district
Malawi,malawi,MW,Southern Region,southern-region,Chiradzulu,chiradzulu
Malawi,malawi,MW,Southern Region,southern-region,Chiradzulu District,chiradzulu-district
Malawi,malawi,MW,Southern Region,southern-region,Liwonde,liwonde
Malawi,malawi,MW,Southern Region,southern-region,Luchenza,luchenza
Malawi,malawi,MW,Southern Region,southern-region,Machinga,machinga
Malawi,malawi,MW,Southern Region,southern-region,Machinga District,machinga-district
Malawi,malawi,MW,Southern Region,southern-region,Mangochi,mangochi
Malawi,malawi,MW,Southern Region,southern-region,Mangochi District,mangochi-district
Malawi,malawi,MW,Southern Region,southern-region,Monkey Bay,monkey-bay
Malawi,malawi,MW,Southern Region,southern-region,Mulanje,mulanje
Malawi,malawi,MW,Southern Region,southern-region,Mulanje District,mulanje-district
Malawi,malawi,MW,Southern Region,southern-region,Mwanza,mwanza
Malawi,malawi,MW,Southern Region,southern-region,Mwanza District,mwanza-district
Malawi,malawi,MW,Southern Region,southern-region,Neno District,neno-district
Malawi,malawi,MW,Southern Region,southern-region,Nsanje,nsanje
Malawi,malawi,MW,Southern Region,southern-region,Nsanje District,nsanje-district
Malawi,malawi,MW,Southern Region,southern-region,Phalombe,phalombe
Malawi,malawi,MW,Southern Region,southern-region,Phalombe District,phalombe-district
Malawi,malawi,MW,Southern Region,southern-region,Thyolo,thyolo
Malawi,malawi,MW,Southern Region,southern-region,Thyolo District,thyolo-district
Malawi,malawi,MW,Southern Region,southern-region,Zomba,zomba
Malawi,malawi,MW,Southern Region,southern-region,Zomba District,zomba-district
Malawi,malawi,MW,Thyolo District,thyolo-district,Thyolo District,thyolo-district
Malawi,malawi,MW,Zomba District,zomba-district,Zomba District,zomba-district
