s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mexico,mexico,MX,Aguascalientes,aguascalientes,Aguascalientes,aguascalientes
Mexico,mexico,MX,Aguascalientes,aguascalientes,Arboledas Paso Blanco [Fraccionamiento],arboledas-paso-blanco-fraccionamiento
Mexico,mexico,MX,Aguascalientes,aguascalientes,Arellano,arellano
Mexico,mexico,MX,Aguascalientes,aguascalientes,Asientos,asientos
Mexico,mexico,MX,Aguascalientes,aguascalientes,Bimbaletes Aguascalientes (El Alamo),bimbaletes-aguascalientes-el-alamo
Mexico,mexico,MX,Aguascalientes,aguascalientes,Calvillo,calvillo
Mexico,mexico,MX,Aguascalientes,aguascalientes,Carboneras,carboneras
Mexico,mexico,MX,Aguascalientes,aguascalientes,Cartagena [Fraccionamiento],cartagena-fraccionamiento
Mexico,mexico,MX,Aguascalientes,aguascalientes,Centro de Arriba,centro-de-arriba
Mexico,mexico,MX,Aguascalientes,aguascalientes,Cienega Grande,cienega-grande
Mexico,mexico,MX,Aguascalientes,aguascalientes,Corral de Barrancos,corral-de-barrancos
Mexico,mexico,MX,Aguascalientes,aguascalientes,Cosio,cosio
Mexico,mexico,MX,Aguascalientes,aguascalientes,Cotorina,cotorina
Mexico,mexico,MX,Aguascalientes,aguascalientes,Crucero Las Pilas,crucero-las-pilas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Cumbres III,cumbres-iii
Mexico,mexico,MX,Aguascalientes,aguascalientes,Ejido la Guayana (Rancho Seco),ejido-la-guayana-rancho-seco
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Bajio,el-bajio
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Chayote,el-chayote
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Cuervero (Cuerveros),el-cuervero-cuerveros
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Llano,el-llano
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Refugio de Penuelas,el-refugio-de-penuelas
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Refugio de Providencia (Providencia),el-refugio-de-providencia-providencia
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Salero,el-salero
Mexico,mexico,MX,Aguascalientes,aguascalientes,El Tule,el-tule
Mexico,mexico,MX,Aguascalientes,aguascalientes,Emiliano Zapata,emiliano-zapata
Mexico,mexico,MX,Aguascalientes,aguascalientes,Escaleras,escaleras
Mexico,mexico,MX,Aguascalientes,aguascalientes,Ex-Vinedos Guadalupe,ex-vinedos-guadalupe
Mexico,mexico,MX,Aguascalientes,aguascalientes,General Ignacio Zaragoza,general-ignacio-zaragoza
Mexico,mexico,MX,Aguascalientes,aguascalientes,Guadalupe de Atlas,guadalupe-de-atlas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Jaltiche de Arriba,jaltiche-de-arriba
Mexico,mexico,MX,Aguascalientes,aguascalientes,Jaltomate,jaltomate
Mexico,mexico,MX,Aguascalientes,aguascalientes,Jarillas,jarillas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Jesus Gomez Portugal,jesus-gomez-portugal
Mexico,mexico,MX,Aguascalientes,aguascalientes,Jesus Gomez Portugal (Margaritas),jesus-gomez-portugal-margaritas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Jesus Maria,jesus-maria
Mexico,mexico,MX,Aguascalientes,aguascalientes,La Concepcion,la-concepcion
Mexico,mexico,MX,Aguascalientes,aguascalientes,La Escondida,la-escondida
Mexico,mexico,MX,Aguascalientes,aguascalientes,La Labor,la-labor
Mexico,mexico,MX,Aguascalientes,aguascalientes,La Loma de los Negritos,la-loma-de-los-negritos
Mexico,mexico,MX,Aguascalientes,aguascalientes,La Panadera,la-panadera
Mexico,mexico,MX,Aguascalientes,aguascalientes,La Punta,la-punta
Mexico,mexico,MX,Aguascalientes,aguascalientes,Las Animas,las-animas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Las Norias de Ojocaliente,las-norias-de-ojocaliente
Mexico,mexico,MX,Aguascalientes,aguascalientes,Lazaro Cardenas,lazaro-cardenas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Los Arquitos,los-arquitos
Mexico,mexico,MX,Aguascalientes,aguascalientes,Los Canos,los-canos
Mexico,mexico,MX,Aguascalientes,aguascalientes,Los Conos,los-conos
Mexico,mexico,MX,Aguascalientes,aguascalientes,Macario J. Gomez [Colonia],macario-j-gomez-colonia
Mexico,mexico,MX,Aguascalientes,aguascalientes,Malpaso,malpaso
Mexico,mexico,MX,Aguascalientes,aguascalientes,Maravillas,maravillas
Mexico,mexico,MX,Aguascalientes,aguascalientes,Mesa Grande,mesa-grande
