s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Malaysia,malaysia,MY,Johor,johor,Bakri,bakri
Malaysia,malaysia,MY,Johor,johor,Batu Pahat,batu-pahat
Malaysia,malaysia,MY,Johor,johor,Buloh Kasap,buloh-kasap
Malaysia,malaysia,MY,Johor,johor,Chaah,chaah
Malaysia,malaysia,MY,Johor,johor,Daerah Batu Pahat,daerah-batu-pahat
Malaysia,malaysia,MY,Johor,johor,Daerah Johor Baharu,daerah-johor-baharu
Malaysia,malaysia,MY,Johor,johor,Daerah Keluang,daerah-keluang
Malaysia,malaysia,MY,Johor,johor,Daerah Kota Tinggi,daerah-kota-tinggi
Malaysia,malaysia,MY,Johor,johor,Daerah Mersing,daerah-mersing
Malaysia,malaysia,MY,Johor,johor,Daerah Muar,daerah-muar
Malaysia,malaysia,MY,Johor,johor,Daerah Pontian,daerah-pontian
Malaysia,malaysia,MY,Johor,johor,Daerah Segamat,daerah-segamat
Malaysia,malaysia,MY,Johor,johor,Johor Bahru,johor-bahru
Malaysia,malaysia,MY,Johor,johor,Kampung Pasir Gudang Baru,kampung-pasir-gudang-baru
Malaysia,malaysia,MY,Johor,johor,Kampung Simpang Renggam,kampung-simpang-renggam
Malaysia,malaysia,MY,Johor,johor,Kelapa Sawit,kelapa-sawit
Malaysia,malaysia,MY,Johor,johor,Kluang,kluang
Malaysia,malaysia,MY,Johor,johor,Kota Tinggi,kota-tinggi
Malaysia,malaysia,MY,Johor,johor,Kulai,kulai
Malaysia,malaysia,MY,Johor,johor,Labis,labis
Malaysia,malaysia,MY,Johor,johor,Mersing,mersing
Malaysia,malaysia,MY,Johor,johor,Muar,muar
Malaysia,malaysia,MY,Johor,johor,Parit Raja,parit-raja
Malaysia,malaysia,MY,Johor,johor,Pekan Nenas,pekan-nenas
Malaysia,malaysia,MY,Johor,johor,Pontian Kechil,pontian-kechil
Malaysia,malaysia,MY,Johor,johor,Segamat,segamat
Malaysia,malaysia,MY,Johor,johor,Skudai,skudai
Malaysia,malaysia,MY,Johor,johor,Taman Senai,taman-senai
Malaysia,malaysia,MY,Johor,johor,Tangkak,tangkak
Malaysia,malaysia,MY,Johor,johor,Ulu Tiram,ulu-tiram
Malaysia,malaysia,MY,Johor,johor,Yong Peng,yong-peng
Malaysia,malaysia,MY,Kedah,kedah,Alor Setar,alor-setar
Malaysia,malaysia,MY,Kedah,kedah,Ayer Hangat,ayer-hangat
Malaysia,malaysia,MY,Kedah,kedah,Bedong,bedong
Malaysia,malaysia,MY,Kedah,kedah,Gurun,gurun
Malaysia,malaysia,MY,Kedah,kedah,Jitra,jitra
Malaysia,malaysia,MY,Kedah,kedah,Kampung Kilim,kampung-kilim
Malaysia,malaysia,MY,Kedah,kedah,Kampung Kok,kampung-kok
Malaysia,malaysia,MY,Kedah,kedah,Kuah,kuah
Malaysia,malaysia,MY,Kedah,kedah,Kuala Kedah,kuala-kedah
Malaysia,malaysia,MY,Kedah,kedah,Kuala Teriang,kuala-teriang
Malaysia,malaysia,MY,Kedah,kedah,Kulim,kulim
Malaysia,malaysia,MY,Kedah,kedah,Langkawi,langkawi
Malaysia,malaysia,MY,Kedah,kedah,Padang Mat Sirat,padang-mat-sirat
Malaysia,malaysia,MY,Kedah,kedah,Sungai Petani,sungai-petani
Malaysia,malaysia,MY,Kelantan,kelantan,Gua Musang,gua-musang
Malaysia,malaysia,MY,Kelantan,kelantan,Kampong Kadok,kampong-kadok
Malaysia,malaysia,MY,Kelantan,kelantan,Kampong Pangkal Kalong,kampong-pangkal-kalong
Malaysia,malaysia,MY,Kelantan,kelantan,Kota Bharu,kota-bharu
Malaysia,malaysia,MY,Kelantan,kelantan,Pasir Mas,pasir-mas
Malaysia,malaysia,MY,Kelantan,kelantan,Peringat,peringat
Malaysia,malaysia,MY,Kelantan,kelantan,Tumpat,tumpat
Malaysia,malaysia,MY,Kuala Lumpur,kuala-lumpur,Kuala Lumpur,kuala-lumpur
Malaysia,malaysia,MY,Labuan,labuan,Labuan,labuan
Malaysia,malaysia,MY,Melaka,melaka,Alor Gajah,alor-gajah
Malaysia,malaysia,MY,Melaka,melaka,Batu Berendam,batu-berendam
Malaysia,malaysia,MY,Melaka,melaka,Bemban,bemban
Malaysia,malaysia,MY,Melaka,melaka,Bukit Rambai,bukit-rambai
Malaysia,malaysia,MY,Melaka,melaka,Kampong Masjid Tanah,kampong-masjid-tanah
Malaysia,malaysia,MY,Melaka,melaka,Kampung Ayer Keroh,kampung-ayer-keroh
Malaysia,malaysia,MY,Melaka,melaka,Kampung Ayer Molek,kampung-ayer-molek
Malaysia,malaysia,MY,Melaka,melaka,Kampung Bukit Baharu,kampung-bukit-baharu
Malaysia,malaysia,MY,Melaka,melaka,Klebang Besar,klebang-besar
Malaysia,malaysia,MY,Melaka,melaka,Kuala Sungai Baru,kuala-sungai-baru
Malaysia,malaysia,MY,Melaka,melaka,Malacca,malacca
Malaysia,malaysia,MY,Melaka,melaka,Pulau Sebang,pulau-sebang
Malaysia,malaysia,MY,Melaka,melaka,Sungai Udang,sungai-udang
Malaysia,malaysia,MY,Negeri Sembilan,negeri-sembilan,Bahau,bahau
Malaysia,malaysia,MY,Negeri Sembilan,negeri-sembilan,Kampung Baharu Nilai,kampung-baharu-nilai
Malaysia,malaysia,MY,Negeri Sembilan,negeri-sembilan,Kuala Pilah,kuala-pilah
Malaysia,malaysia,MY,Negeri Sembilan,negeri-sembilan,Port Dickson,port-dickson
Malaysia,malaysia,MY,Negeri Sembilan,negeri-sembilan,Seremban,seremban
Malaysia,malaysia,MY,Negeri Sembilan,negeri-sembilan,Tampin,tampin
Malaysia,malaysia,MY,Pahang,pahang,Bentong Town,bentong-town
Malaysia,malaysia,MY,Pahang,pahang,Jerantut,jerantut
Malaysia,malaysia,MY,Pahang,pahang,"Kampung Bukit Tinggi, Bentong",kampung-bukit-tinggi-bentong
Malaysia,malaysia,MY,Pahang,pahang,Kampung Tekek,kampung-tekek
Malaysia,malaysia,MY,Pahang,pahang,Kuala Lipis,kuala-lipis
Malaysia,malaysia,MY,Pahang,pahang,Kuantan,kuantan
Malaysia,malaysia,MY,Pahang,pahang,Mentekab,mentekab
Malaysia,malaysia,MY,Pahang,pahang,Pekan,pekan
Malaysia,malaysia,MY,Pahang,pahang,Raub,raub
Malaysia,malaysia,MY,Pahang,pahang,Tanah Rata,tanah-rata
Malaysia,malaysia,MY,Pahang,pahang,Temerluh,temerluh
Malaysia,malaysia,MY,Penang,penang,Batu Feringgi,batu-feringgi
Malaysia,malaysia,MY,Penang,penang,Bukit Mertajam,bukit-mertajam
Malaysia,malaysia,MY,Penang,penang,Butterworth,butterworth
Malaysia,malaysia,MY,Penang,penang,George Town,george-town
Malaysia,malaysia,MY,Penang,penang,Juru,juru
Malaysia,malaysia,MY,Penang,penang,Kampung Batu Feringgi,kampung-batu-feringgi
Malaysia,malaysia,MY,Penang,penang,Kampung Sungai Ara,kampung-sungai-ara
Malaysia,malaysia,MY,Penang,penang,Kepala Batas,kepala-batas
Malaysia,malaysia,MY,Penang,penang,Nibong Tebal,nibong-tebal
Malaysia,malaysia,MY,Penang,penang,Perai,perai
Malaysia,malaysia,MY,Penang,penang,Permatang Kuching,permatang-kuching
Malaysia,malaysia,MY,Penang,penang,Seberang Perai,seberang-perai
Malaysia,malaysia,MY,Penang,penang,Tanjung Tokong,tanjung-tokong
Malaysia,malaysia,MY,Penang,penang,Tasek Glugor,tasek-glugor
Malaysia,malaysia,MY,Penang,penang,Telaga Batu,telaga-batu
Malaysia,malaysia,MY,Perak,perak,Bagan Serai,bagan-serai
Malaysia,malaysia,MY,Perak,perak,Batu Gajah,batu-gajah
Malaysia,malaysia,MY,Perak,perak,Bidur,bidur
Malaysia,malaysia,MY,Perak,perak,Ipoh,ipoh
Malaysia,malaysia,MY,Perak,perak,Kampar,kampar
Malaysia,malaysia,MY,Perak,perak,Kampong Dungun,kampong-dungun
Malaysia,malaysia,MY,Perak,perak,Kuala Kangsar,kuala-kangsar
Malaysia,malaysia,MY,Perak,perak,Lumut,lumut
Malaysia,malaysia,MY,Perak,perak,Pantai Remis,pantai-remis
Malaysia,malaysia,MY,Perak,perak,Parit Buntar,parit-buntar
Malaysia,malaysia,MY,Perak,perak,Simpang Empat,simpang-empat
Malaysia,malaysia,MY,Perak,perak,Taiping,taiping
Malaysia,malaysia,MY,Perak,perak,Tapah Road,tapah-road
Malaysia,malaysia,MY,Perak,perak,Teluk Intan,teluk-intan
Malaysia,malaysia,MY,Perlis,perlis,Kangar,kangar
Malaysia,malaysia,MY,Perlis,perlis,Kuala Perlis,kuala-perlis
Malaysia,malaysia,MY,Perlis,perlis,Pantai Cenang,pantai-cenang
Malaysia,malaysia,MY,Putrajaya,putrajaya,Putrajaya,putrajaya
Malaysia,malaysia,MY,Sabah,sabah,Bandar Labuan,bandar-labuan
Malaysia,malaysia,MY,Sabah,sabah,Beaufort,beaufort
Malaysia,malaysia,MY,Sabah,sabah,Donggongon,donggongon
Malaysia,malaysia,MY,Sabah,sabah,Keningau,keningau
Malaysia,malaysia,MY,Sabah,sabah,Kinarut,kinarut
Malaysia,malaysia,MY,Sabah,sabah,Kota Belud,kota-belud
Malaysia,malaysia,MY,Sabah,sabah,Kota Kinabalu,kota-kinabalu
Malaysia,malaysia,MY,Sabah,sabah,Kudat,kudat
Malaysia,malaysia,MY,Sabah,sabah,Lahad Datu,lahad-datu
Malaysia,malaysia,MY,Sabah,sabah,Papar,papar
Malaysia,malaysia,MY,Sabah,sabah,Putatan,putatan
Malaysia,malaysia,MY,Sabah,sabah,Ranau,ranau
Malaysia,malaysia,MY,Sabah,sabah,Sandakan,sandakan
Malaysia,malaysia,MY,Sabah,sabah,Semporna,semporna
Malaysia,malaysia,MY,Sabah,sabah,Taman Rajawali,taman-rajawali
Malaysia,malaysia,MY,Sabah,sabah,Tawau,tawau
Malaysia,malaysia,MY,Sarawak,sarawak,Bintulu,bintulu
Malaysia,malaysia,MY,Sarawak,sarawak,Data Kakus,data-kakus
Malaysia,malaysia,MY,Sarawak,sarawak,Kapit,kapit
Malaysia,malaysia,MY,Sarawak,sarawak,Kuching,kuching
Malaysia,malaysia,MY,Sarawak,sarawak,Lawas,lawas
Malaysia,malaysia,MY,Sarawak,sarawak,Lidung Jelo,lidung-jelo
Malaysia,malaysia,MY,Sarawak,sarawak,Limbang,limbang
Malaysia,malaysia,MY,Sarawak,sarawak,Long Ampan Aing or Abanang,long-ampan-aing-or-abanang
Malaysia,malaysia,MY,Sarawak,sarawak,Marudi,marudi
Malaysia,malaysia,MY,Sarawak,sarawak,Miri,miri
Malaysia,malaysia,MY,Sarawak,sarawak,Mukah,mukah
Malaysia,malaysia,MY,Sarawak,sarawak,Sarikei,sarikei
Malaysia,malaysia,MY,Sarawak,sarawak,Sibu,sibu
Malaysia,malaysia,MY,Sarawak,sarawak,Simanggang,simanggang
Malaysia,malaysia,MY,Selangor,selangor,Ampang,ampang
Malaysia,malaysia,MY,Selangor,selangor,Bagan Pulau Ketam,bagan-pulau-ketam
Malaysia,malaysia,MY,Selangor,selangor,Banting,banting
Malaysia,malaysia,MY,Selangor,selangor,Batang Berjuntai,batang-berjuntai
Malaysia,malaysia,MY,Selangor,selangor,Batu Arang,batu-arang
Malaysia,malaysia,MY,Selangor,selangor,Jenjarum,jenjarum
Malaysia,malaysia,MY,Selangor,selangor,Kampong Baharu Balakong,kampong-baharu-balakong
Malaysia,malaysia,MY,Selangor,selangor,Kampung Baru Subang,kampung-baru-subang
Malaysia,malaysia,MY,Selangor,selangor,Kampung Tanjung Karang,kampung-tanjung-karang
Malaysia,malaysia,MY,Selangor,selangor,Klang,klang
Malaysia,malaysia,MY,Selangor,selangor,Kuala Selangor,kuala-selangor
Malaysia,malaysia,MY,Selangor,selangor,Kuang,kuang
Malaysia,malaysia,MY,Selangor,selangor,Ladang Seri Kundang,ladang-seri-kundang
Malaysia,malaysia,MY,Selangor,selangor,Pelabuhan Klang,pelabuhan-klang
Malaysia,malaysia,MY,Selangor,selangor,Petaling Jaya,petaling-jaya
Malaysia,malaysia,MY,Selangor,selangor,Putra Heights,putra-heights
Malaysia,malaysia,MY,Selangor,selangor,Rawang,rawang
Malaysia,malaysia,MY,Selangor,selangor,Semenyih,semenyih
Malaysia,malaysia,MY,Selangor,selangor,Serendah,serendah
Malaysia,malaysia,MY,Selangor,selangor,Shah Alam,shah-alam
Malaysia,malaysia,MY,Selangor,selangor,Subang Jaya,subang-jaya
Malaysia,malaysia,MY,Selangor,selangor,Sungai Besar,sungai-besar
Malaysia,malaysia,MY,Selangor,selangor,Sungai Pelek New Village,sungai-pelek-new-village
Malaysia,malaysia,MY,Selangor,selangor,Tanjung Sepat,tanjung-sepat
Malaysia,malaysia,MY,Terengganu,terengganu,Cukai,cukai
Malaysia,malaysia,MY,Terengganu,terengganu,Jertih,jertih
Malaysia,malaysia,MY,Terengganu,terengganu,Kampung Kuala Besut,kampung-kuala-besut
Malaysia,malaysia,MY,Terengganu,terengganu,Kertih,kertih
Malaysia,malaysia,MY,Terengganu,terengganu,Kuala Besut,kuala-besut
Malaysia,malaysia,MY,Terengganu,terengganu,Kuala Terengganu,kuala-terengganu
Malaysia,malaysia,MY,Terengganu,terengganu,Marang,marang
Malaysia,malaysia,MY,Terengganu,terengganu,Paka,paka
