s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Namibia,namibia,NA,Erongo Region,erongo-region,Arandis,arandis
Namibia,namibia,NA,Erongo Region,erongo-region,Hentiesbaai,hentiesbaai
Namibia,namibia,NA,Erongo Region,erongo-region,Karibib,karibib
Namibia,namibia,NA,Erongo Region,erongo-region,Omaruru,omaruru
Namibia,namibia,NA,Erongo Region,erongo-region,Otjimbingwe,otjimbingwe
Namibia,namibia,NA,Erongo Region,erongo-region,Swakopmund,swakopmund
Namibia,namibia,NA,Erongo Region,erongo-region,Swakopmund Constituency,swakopmund-constituency
Namibia,namibia,NA,Erongo Region,erongo-region,Usakos,usakos
Namibia,namibia,NA,Erongo Region,erongo-region,Walvis Bay,walvis-bay
Namibia,namibia,NA,Hardap Region,hardap-region,Aranos,aranos
Namibia,namibia,NA,Hardap Region,hardap-region,Hoachanas,hoachanas
Namibia,namibia,NA,Hardap Region,hardap-region,Maltahohe,maltahohe
Namibia,namibia,NA,Hardap Region,hardap-region,Mariental,mariental
Namibia,namibia,NA,Hardap Region,hardap-region,Rehoboth,rehoboth
Namibia,namibia,NA,Karas Region,karas-region,Bethanie,bethanie
Namibia,namibia,NA,Karas Region,karas-region,Karasburg,karasburg
Namibia,namibia,NA,Karas Region,karas-region,Keetmanshoop,keetmanshoop
Namibia,namibia,NA,Karas Region,karas-region,Luderitz,luderitz
Namibia,namibia,NA,Karas Region,karas-region,Oranjemund,oranjemund
Namibia,namibia,NA,Karas Region,karas-region,Tses,tses
Namibia,namibia,NA,Karas Region,karas-region,Warmbad,warmbad
Namibia,namibia,NA,Kavango East Region,kavango-east-region,Rundu,rundu
Namibia,namibia,NA,Kavango West Region,kavango-west-region,Kavango West Region,kavango-west-region
Namibia,namibia,NA,Khomas Region,khomas-region,Katutura,katutura
Namibia,namibia,NA,Khomas Region,khomas-region,Windhoek,windhoek
Namibia,namibia,NA,Kunene Region,kunene-region,Epupa Constituency,epupa-constituency
Namibia,namibia,NA,Kunene Region,kunene-region,Khorixas,khorixas
Namibia,namibia,NA,Kunene Region,kunene-region,Khorixas Constituency,khorixas-constituency
Namibia,namibia,NA,Kunene Region,kunene-region,Opuwo,opuwo
Namibia,namibia,NA,Kunene Region,kunene-region,Opuwo Constituency,opuwo-constituency
Namibia,namibia,NA,Kunene Region,kunene-region,Outjo,outjo
Namibia,namibia,NA,Kunene Region,kunene-region,Sesfontein Constituency,sesfontein-constituency
Namibia,namibia,NA,Ohangwena Region,ohangwena-region,Oshikango,oshikango
Namibia,namibia,NA,Omaheke Region,omaheke-region,Gobabis,gobabis
Namibia,namibia,NA,Omusati Region,omusati-region,Okahao,okahao
Namibia,namibia,NA,Omusati Region,omusati-region,Ongandjera,ongandjera
Namibia,namibia,NA,Omusati Region,omusati-region,Outapi,outapi
Namibia,namibia,NA,Oshana Region,oshana-region,Ondangwa,ondangwa
Namibia,namibia,NA,Oshana Region,oshana-region,Ongwediva,ongwediva
Namibia,namibia,NA,Oshana Region,oshana-region,Oshakati,oshakati
Namibia,namibia,NA,Oshikoto Region,oshikoto-region,Omuthiya,omuthiya
Namibia,namibia,NA,Oshikoto Region,oshikoto-region,Tsumeb,tsumeb
Namibia,namibia,NA,Otjozondjupa Region,otjozondjupa-region,Grootfontein,grootfontein
Namibia,namibia,NA,Otjozondjupa Region,otjozondjupa-region,Okahandja,okahandja
Namibia,namibia,NA,Otjozondjupa Region,otjozondjupa-region,Okakarara,okakarara
Namibia,namibia,NA,Otjozondjupa Region,otjozondjupa-region,Otavi,otavi
Namibia,namibia,NA,Otjozondjupa Region,otjozondjupa-region,Otjiwarongo,otjiwarongo
Namibia,namibia,NA,Zambezi Region,zambezi-region,Bagani,bagani
Namibia,namibia,NA,Zambezi Region,zambezi-region,Katima Mulilo,katima-mulilo
