s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Nicaragua,NI,Boaco Department,boaco-department,Boaco,boaco
Nicaragua,NI,Boaco Department,boaco-department,Camoapa,camoapa
Nicaragua,NI,Boaco Department,boaco-department,San Jose de los Remates,san-jose-de-los-remates
Nicaragua,NI,Boaco Department,boaco-department,San Lorenzo,san-lorenzo
Nicaragua,NI,Boaco Department,boaco-department,Santa Lucia,santa-lucia
Nicaragua,NI,Boaco Department,boaco-department,Teustepe,teustepe
Nicaragua,NI,Carazo Department,carazo-department,Diriamba,diriamba
Nicaragua,NI,Carazo Department,carazo-department,Dolores,dolores
Nicaragua,NI,Carazo Department,carazo-department,El Rosario,el-rosario
Nicaragua,NI,Carazo Department,carazo-department,Jinotepe,jinotepe
Nicaragua,NI,Carazo Department,carazo-department,La Conquista,la-conquista
Nicaragua,NI,Carazo Department,carazo-department,La Paz de Carazo,la-paz-de-carazo
Nicaragua,NI,Carazo Department,carazo-department,Municipio de San Marcos,municipio-de-san-marcos
Nicaragua,NI,Carazo Department,carazo-department,San Marcos,san-marcos
Nicaragua,NI,Carazo Department,carazo-department,Santa Teresa,santa-teresa
Nicaragua,NI,Chinandega Department,chinandega-department,Chichigalpa,chichigalpa
Nicaragua,NI,Chinandega Department,chinandega-department,Chinandega,chinandega
Nicaragua,NI,Chinandega Department,chinandega-department,Cinco Pinos,cinco-pinos
Nicaragua,NI,Chinandega Department,chinandega-department,Corinto,corinto
Nicaragua,NI,Chinandega Department,chinandega-department,El Realejo,el-realejo
Nicaragua,NI,Chinandega Department,chinandega-department,El Viejo,el-viejo
Nicaragua,NI,Chinandega Department,chinandega-department,Jiquilillo,jiquilillo
Nicaragua,NI,Chinandega Department,chinandega-department,Municipio de San Francisco del Norte,municipio-de-san-francisco-del-norte
Nicaragua,NI,Chinandega Department,chinandega-department,Posoltega,posoltega
Nicaragua,NI,Chinandega Department,chinandega-department,Puerto Morazan,puerto-morazan
Nicaragua,NI,Chinandega Department,chinandega-department,Santo Tomas del Norte,santo-tomas-del-norte
Nicaragua,NI,Chinandega Department,chinandega-department,Somotillo,somotillo
Nicaragua,NI,Chontales Department,chontales-department,Acoyapa,acoyapa
Nicaragua,NI,Chontales Department,chontales-department,Comalapa,comalapa
Nicaragua,NI,Chontales Department,chontales-department,Cuapa,cuapa
Nicaragua,NI,Chontales Department,chontales-department,El Ayote,el-ayote
Nicaragua,NI,Chontales Department,chontales-department,Juigalpa,juigalpa
Nicaragua,NI,Chontales Department,chontales-department,La Libertad,la-libertad
Nicaragua,NI,Chontales Department,chontales-department,Santo Domingo,santo-domingo
Nicaragua,NI,Chontales Department,chontales-department,Santo Tomas,santo-tomas
Nicaragua,NI,Chontales Department,chontales-department,Villa Sandino,villa-sandino
Nicaragua,NI,Esteli Department,esteli-department,Condega,condega
Nicaragua,NI,Esteli Department,esteli-department,Esteli,esteli
Nicaragua,NI,Esteli Department,esteli-department,La Trinidad,la-trinidad
Nicaragua,NI,Esteli Department,esteli-department,Pueblo Nuevo,pueblo-nuevo
Nicaragua,NI,Esteli Department,esteli-department,San Juan de Limay,san-juan-de-limay
Nicaragua,NI,Granada Department,granada-department,Diria,diria
Nicaragua,NI,Granada Department,granada-department,Diriomo,diriomo
Nicaragua,NI,Granada Department,granada-department,Granada,granada
Nicaragua,NI,Granada Department,granada-department,Nandaime,nandaime
Nicaragua,NI,Jinotega Department,jinotega-department,El Cua,el-cua
Nicaragua,NI,Jinotega Department,jinotega-department,Jinotega,jinotega
Nicaragua,NI,Jinotega Department,jinotega-department,La Concordia,la-concordia
