s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Netherlands,netherlands,NL,Bonaire,bonaire,Bonaire,bonaire
Netherlands,netherlands,NL,Drenthe,drenthe,Aalden,aalden
Netherlands,netherlands,NL,Drenthe,drenthe,Angelslo,angelslo
Netherlands,netherlands,NL,Drenthe,drenthe,Annen,annen
Netherlands,netherlands,NL,Drenthe,drenthe,Assen,assen
Netherlands,netherlands,NL,Drenthe,drenthe,Ballast,ballast
Netherlands,netherlands,NL,Drenthe,drenthe,Barger-Oosterveld,barger-oosterveld
Netherlands,netherlands,NL,Drenthe,drenthe,Bargeres,bargeres
Netherlands,netherlands,NL,Drenthe,drenthe,Beilen,beilen
Netherlands,netherlands,NL,Drenthe,drenthe,Borger,borger
Netherlands,netherlands,NL,Drenthe,drenthe,Coevorden,coevorden
Netherlands,netherlands,NL,Drenthe,drenthe,Dalen,dalen
Netherlands,netherlands,NL,Drenthe,drenthe,De Loo,de-loo
Netherlands,netherlands,NL,Drenthe,drenthe,De Wijk,de-wijk
Netherlands,netherlands,NL,Drenthe,drenthe,Diever,diever
Netherlands,netherlands,NL,Drenthe,drenthe,Dwingeloo,dwingeloo
Netherlands,netherlands,NL,Drenthe,drenthe,Eelde,eelde
Netherlands,netherlands,NL,Drenthe,drenthe,Eext,eext
Netherlands,netherlands,NL,Drenthe,drenthe,Emmen,emmen
Netherlands,netherlands,NL,Drenthe,drenthe,Emmer-Compascuum,emmer-compascuum
Netherlands,netherlands,NL,Drenthe,drenthe,Emmer-Erfscheidenveen,emmer-erfscheidenveen
Netherlands,netherlands,NL,Drenthe,drenthe,Emmerhout,emmerhout
Netherlands,netherlands,NL,Drenthe,drenthe,Emmermeer,emmermeer
Netherlands,netherlands,NL,Drenthe,drenthe,Emmerschans,emmerschans
Netherlands,netherlands,NL,Drenthe,drenthe,Exloo,exloo
Netherlands,netherlands,NL,Drenthe,drenthe,Gasselte,gasselte
Netherlands,netherlands,NL,Drenthe,drenthe,Gasselternijveen,gasselternijveen
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Aa en Hunze,gemeente-aa-en-hunze
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Assen,gemeente-assen
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Borger-Odoorn,gemeente-borger-odoorn
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Coevorden,gemeente-coevorden
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente De Wolden,gemeente-de-wolden
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Emmen,gemeente-emmen
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Hoogeveen,gemeente-hoogeveen
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Meppel,gemeente-meppel
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Midden-Drenthe,gemeente-midden-drenthe
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Noordenveld,gemeente-noordenveld
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Tynaarlo,gemeente-tynaarlo
Netherlands,netherlands,NL,Drenthe,drenthe,Gemeente Westerveld,gemeente-westerveld
Netherlands,netherlands,NL,Drenthe,drenthe,Gieten,gieten
Netherlands,netherlands,NL,Drenthe,drenthe,Havelte,havelte
Netherlands,netherlands,NL,Drenthe,drenthe,Hoogeveen,hoogeveen
Netherlands,netherlands,NL,Drenthe,drenthe,Klazienaveen,klazienaveen
Netherlands,netherlands,NL,Drenthe,drenthe,Koekange,koekange
