s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Nepal,NP,Bagmati Zone,bagmati-zone,Bagmati Zone,bagmati-zone
Nepal,NP,Bheri Zone,bheri-zone,Bheri Zone,bheri-zone
Nepal,NP,Central Region,central-region,Banepa,banepa
Nepal,NP,Central Region,central-region,Bharatpur,bharatpur
Nepal,NP,Central Region,central-region,Birganj,birganj
Nepal,NP,Central Region,central-region,Dhulikhel,dhulikhel
Nepal,NP,Central Region,central-region,Gaur,gaur
Nepal,NP,Central Region,central-region,Hari Bdr Tamang House,hari-bdr-tamang-house
Nepal,NP,Central Region,central-region,Hetauda,hetauda
Nepal,NP,Central Region,central-region,Jaleshwar,jaleshwar
Nepal,NP,Central Region,central-region,Janakpur,janakpur
Nepal,NP,Central Region,central-region,kankrabari Dovan,kankrabari-dovan
Nepal,NP,Central Region,central-region,Kathmandu,kathmandu
Nepal,NP,Central Region,central-region,Kirtipur,kirtipur
Nepal,NP,Central Region,central-region,Madhyapur Thimi,madhyapur-thimi
Nepal,NP,Central Region,central-region,Malangawa,malangawa
Nepal,NP,Central Region,central-region,Nagarkot,nagarkot
Nepal,NP,Central Region,central-region,Panauti,panauti
Nepal,NP,Central Region,central-region,Panauti,panauti
Nepal,NP,Central Region,central-region,Patan,patan
Nepal,NP,Central Region,central-region,Ramechhap,ramechhap
Nepal,NP,Dhaulagiri Zone,dhaulagiri-zone,Dhaulagiri Zone,dhaulagiri-zone
Nepal,NP,Eastern Development Region,eastern-development-region,Bhadrapur,bhadrapur
Nepal,NP,Eastern Development Region,eastern-development-region,Bhojpur,bhojpur
Nepal,NP,Eastern Development Region,eastern-development-region,Biratnagar,biratnagar
Nepal,NP,Eastern Development Region,eastern-development-region,Dhankuta,dhankuta
Nepal,NP,Eastern Development Region,eastern-development-region,Dharan,dharan
Nepal,NP,Eastern Development Region,eastern-development-region,Ilam,ilam
Nepal,NP,Eastern Development Region,eastern-development-region,Inaruwa,inaruwa
Nepal,NP,Eastern Development Region,eastern-development-region,Khanbari,khanbari
Nepal,NP,Eastern Development Region,eastern-development-region,Lahan,lahan
Nepal,NP,Eastern Development Region,eastern-development-region,Lobujya,lobujya
Nepal,NP,Eastern Development Region,eastern-development-region,Namche Bazar,namche-bazar
Nepal,NP,Eastern Development Region,eastern-development-region,Rajbiraj,rajbiraj
Nepal,NP,Eastern Development Region,eastern-development-region,Siraha,siraha
Nepal,NP,Eastern Development Region,eastern-development-region,Titahari,titahari
Nepal,NP,Eastern Development Region,eastern-development-region,Triyuga,triyuga
Nepal,NP,Far-Western Development Region,far-western-development-region,Dadeldhura,dadeldhura
Nepal,NP,Far-Western Development Region,far-western-development-region,Dhangadhi,dhangadhi
Nepal,NP,Far-Western Development Region,far-western-development-region,Dipayal,dipayal
Nepal,NP,Far-Western Development Region,far-western-development-region,Mahendranagar,mahendranagar
Nepal,NP,Far-Western Development Region,far-western-development-region,Tikapur,tikapur
Nepal,NP,Gandaki Zone,gandaki-zone,Gandaki Zone,gandaki-zone
Nepal,NP,Janakpur Zone,janakpur-zone,Janakpur Zone,janakpur-zone
Nepal,NP,Karnali Zone,karnali-zone,Karnali Zone,karnali-zone
Nepal,NP,Kosi Zone,kosi-zone,Kosi Zone,kosi-zone
Nepal,NP,Lumbini Zone,lumbini-zone,Lumbini Zone,lumbini-zone
Nepal,NP,Mahakali Zone,mahakali-zone,Mahakali Zone,mahakali-zone
Nepal,NP,Mechi Zone,mechi-zone,Mechi Zone,mechi-zone
Nepal,NP,Mid-Western Region,mid-western-region,Bhojpur,bhojpur
Nepal,NP,Mid-Western Region,mid-western-region,Birendranagar,birendranagar
Nepal,NP,Mid-Western Region,mid-western-region,Dailekh,dailekh
Nepal,NP,Mid-Western Region,mid-western-region,Gulariya,gulariya
Nepal,NP,Mid-Western Region,mid-western-region,Jumla,jumla
Nepal,NP,Mid-Western Region,mid-western-region,Nepalgunj,nepalgunj
Nepal,NP,Mid-Western Region,mid-western-region,Tulsipur,tulsipur
Nepal,NP,Narayani Zone,narayani-zone,Narayani Zone,narayani-zone
Nepal,NP,Rapti Zone,rapti-zone,Rapti Zone,rapti-zone
Nepal,NP,Sagarmatha Zone,sagarmatha-zone,Sagarmatha Zone,sagarmatha-zone
Nepal,NP,Seti Zone,seti-zone,Seti Zone,seti-zone
Nepal,NP,Western Region,western-region,Baglung,baglung
Nepal,NP,Western Region,western-region,Bhattarai Danda,bhattarai-danda
Nepal,NP,Western Region,western-region,Butwal,butwal
Nepal,NP,Western Region,western-region,Chitre,chitre
Nepal,NP,Western Region,western-region,Darchula,darchula
Nepal,NP,Western Region,western-region,Dihi,dihi
Nepal,NP,Western Region,western-region,Pokhara,pokhara
Nepal,NP,Western Region,western-region,Siddharthanagar,siddharthanagar
Nepal,NP,Western Region,western-region,Tansen,tansen
Nepal,NP,Western Region,western-region,Walin,walin
