s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Nauru,NR,Aiwo District,aiwo-district,Arijejen,arijejen
Nauru,NR,Anabar District,anabar-district,Anabar,anabar
Nauru,NR,Anetan District,anetan-district,Anetan District,anetan-district
Nauru,NR,Anibare District,anibare-district,Anibare District,anibare-district
Nauru,NR,Baiti District,baiti-district,Baiti,baiti
Nauru,NR,Boe District,boe-district,Boe District,boe-district
Nauru,NR,Buada District,buada-district,Buada District,buada-district
Nauru,NR,Denigomodu District,denigomodu-district,Denigomodu District,denigomodu-district
Nauru,NR,Ewa District,ewa-district,Ewa District,ewa-district
Nauru,NR,Ijuw District,ijuw-district,Ijuw,ijuw
Nauru,NR,Meneng District,meneng-district,Menen,menen
Nauru,NR,Nibok District,nibok-district,Nibok District,nibok-district
Nauru,NR,Uaboe District,uaboe-district,Uaboe,uaboe
Nauru,NR,Yaren District,yaren-district,Yaren,yaren
