s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
New Zealand,NZ,Auckland Region,auckland-region,Auckland,auckland
New Zealand,NZ,Auckland Region,auckland-region,Mangere,mangere
New Zealand,NZ,Auckland Region,auckland-region,Manukau City,manukau-city
New Zealand,NZ,Auckland Region,auckland-region,Muriwai Beach,muriwai-beach
New Zealand,NZ,Auckland Region,auckland-region,Murrays Bay,murrays-bay
New Zealand,NZ,Auckland Region,auckland-region,North Shore,north-shore
New Zealand,NZ,Auckland Region,auckland-region,Pakuranga,pakuranga
New Zealand,NZ,Auckland Region,auckland-region,Papakura,papakura
New Zealand,NZ,Auckland Region,auckland-region,Parakai,parakai
New Zealand,NZ,Auckland Region,auckland-region,Pukekohe East,pukekohe-east
New Zealand,NZ,Auckland Region,auckland-region,Red Hill,red-hill
New Zealand,NZ,Auckland Region,auckland-region,Rosebank,rosebank
New Zealand,NZ,Auckland Region,auckland-region,Rothesay Bay,rothesay-bay
New Zealand,NZ,Auckland Region,auckland-region,Takanini,takanini
New Zealand,NZ,Auckland Region,auckland-region,Tamaki,tamaki
New Zealand,NZ,Auckland Region,auckland-region,Titirangi,titirangi
New Zealand,NZ,Auckland Region,auckland-region,Waitakere,waitakere
New Zealand,NZ,Auckland Region,auckland-region,Waiuku,waiuku
New Zealand,NZ,Auckland Region,auckland-region,Warkworth,warkworth
New Zealand,NZ,Auckland Region,auckland-region,Wellsford,wellsford
New Zealand,NZ,Auckland Region,auckland-region,Wiri,wiri
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Edgecumbe,edgecumbe
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Katikati,katikati
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Kawerau,kawerau
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Maketu,maketu
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Murupara,murupara
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Opotiki,opotiki
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Rotorua,rotorua
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Tauranga,tauranga
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Waihi Beach,waihi-beach
New Zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Whakatane,whakatane
New Zealand,NZ,Canterbury Region,canterbury-region,Amberley,amberley
New Zealand,NZ,Canterbury Region,canterbury-region,Ashburton,ashburton
New Zealand,NZ,Canterbury Region,canterbury-region,Ashburton District,ashburton-district
New Zealand,NZ,Canterbury Region,canterbury-region,Burnham,burnham
New Zealand,NZ,Canterbury Region,canterbury-region,Christchurch,christchurch
New Zealand,NZ,Canterbury Region,canterbury-region,Christchurch City,christchurch-city
New Zealand,NZ,Canterbury Region,canterbury-region,Darfield,darfield
New Zealand,NZ,Canterbury Region,canterbury-region,Geraldine,geraldine
New Zealand,NZ,Canterbury Region,canterbury-region,Kaiapoi,kaiapoi
New Zealand,NZ,Canterbury Region,canterbury-region,Leeston,leeston
New Zealand,NZ,Canterbury Region,canterbury-region,Lincoln,lincoln
New Zealand,NZ,Canterbury Region,canterbury-region,Mackenzie District,mackenzie-district
New Zealand,NZ,Canterbury Region,canterbury-region,Methven,methven
New Zealand,NZ,Canterbury Region,canterbury-region,Oxford,oxford
New Zealand,NZ,Canterbury Region,canterbury-region,Pleasant Point,pleasant-point
New Zealand,NZ,Canterbury Region,canterbury-region,Prebbleton,prebbleton
New Zealand,NZ,Canterbury Region,canterbury-region,Rakaia,rakaia
New Zealand,NZ,Canterbury Region,canterbury-region,Rolleston,rolleston
New Zealand,NZ,Canterbury Region,canterbury-region,Selwyn District,selwyn-district
New Zealand,NZ,Canterbury Region,canterbury-region,Timaru,timaru
New Zealand,NZ,Canterbury Region,canterbury-region,Timaru District,timaru-district
New Zealand,NZ,Canterbury Region,canterbury-region,Tinwald,tinwald
New Zealand,NZ,Canterbury Region,canterbury-region,Waimakariri District,waimakariri-district
New Zealand,NZ,Canterbury Region,canterbury-region,Woodend,woodend
New Zealand,NZ,Chatham Islands,chatham-islands,Waitangi,waitangi
New Zealand,NZ,Gisborne District,gisborne-district,Gisborne,gisborne
New Zealand,NZ,Hawke's Bay Region,hawkes-bay-region,Hastings,hastings
New Zealand,NZ,Hawke's Bay Region,hawkes-bay-region,Napier,napier
New Zealand,NZ,Hawke's Bay Region,hawkes-bay-region,Taradale,taradale
New Zealand,NZ,Hawke's Bay Region,hawkes-bay-region,Wairoa,wairoa
New Zealand,NZ,Manawatu-Wanganui Region,manawatu-wanganui-region,Bulls,bulls
New Zealand,NZ,Manawatu-Wanganui Region,manawatu-wanganui-region,Foxton,foxton
New Zealand,NZ,Manawatu-Wanganui Region,manawatu-wanganui-region,Horowhenua District,horowhenua-district
New Zealand,NZ,Manawatu-Wanganui Region,manawatu-wanganui-region,Levin,levin
New Zealand,NZ,Manawatu-Wanganui Region,manawatu-wanganui-region,Manawatu District,manawatu-district
New Zealand,NZ,Manawatu-Wanganui Region,manawatu-wanganui-region,Palmerston North,palmerston-north
