s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Philippines,philippines,PH,Abra,abra,Abra,abra
Philippines,philippines,PH,Agusan del Norte,agusan-del-norte,Agusan del Norte,agusan-del-norte
Philippines,philippines,PH,Agusan del Sur,agusan-del-sur,Agusan del Sur,agusan-del-sur
Philippines,philippines,PH,Aklan,aklan,Aklan,aklan
Philippines,philippines,PH,Albay,albay,Aanislag,aanislag
Philippines,philippines,PH,Albay,albay,Abucay,abucay
Philippines,philippines,PH,Albay,albay,Abuyog,abuyog
Philippines,philippines,PH,Albay,albay,Agos,agos
Philippines,philippines,PH,Albay,albay,Aguada,aguada
Philippines,philippines,PH,Albay,albay,Agupit,agupit
Philippines,philippines,PH,Albay,albay,Alayao,alayao
Philippines,philippines,PH,Albay,albay,Antipolo,antipolo
Philippines,philippines,PH,Albay,albay,Anuling,anuling
Philippines,philippines,PH,Albay,albay,Apad,apad
Philippines,philippines,PH,Albay,albay,Apud,apud
Philippines,philippines,PH,Albay,albay,Armenia,armenia
Philippines,philippines,PH,Albay,albay,Aroroy,aroroy
Philippines,philippines,PH,Albay,albay,Ayugan,ayugan
Philippines,philippines,PH,Albay,albay,Baao,baao
Philippines,philippines,PH,Albay,albay,Bacacay,bacacay
Philippines,philippines,PH,Albay,albay,Bacolod,bacolod
Philippines,philippines,PH,Albay,albay,Bacon,bacon
Philippines,philippines,PH,Albay,albay,Badian,badian
Philippines,philippines,PH,Albay,albay,Bagacay,bagacay
Philippines,philippines,PH,Albay,albay,Bagahanlad,bagahanlad
Philippines,philippines,PH,Albay,albay,Bagamanoc,bagamanoc
Philippines,philippines,PH,Albay,albay,Bagumbayan,bagumbayan
Philippines,philippines,PH,Albay,albay,Bahay,bahay
Philippines,philippines,PH,Albay,albay,Balading,balading
Philippines,philippines,PH,Albay,albay,Balaogan,balaogan
Philippines,philippines,PH,Albay,albay,Balatan,balatan
Philippines,philippines,PH,Albay,albay,Baleno,baleno
Philippines,philippines,PH,Albay,albay,Balete,balete
Philippines,philippines,PH,Albay,albay,Baligang,baligang
Philippines,philippines,PH,Albay,albay,Balinad,balinad
Philippines,philippines,PH,Albay,albay,Baliuag Nuevo,baliuag-nuevo
Philippines,philippines,PH,Albay,albay,Balogo,balogo
Philippines,philippines,PH,Albay,albay,Balucawi,balucawi
Philippines,philippines,PH,Albay,albay,Balud,balud
Philippines,philippines,PH,Albay,albay,Banag,banag
Philippines,philippines,PH,Albay,albay,Bangad,bangad
Philippines,philippines,PH,Albay,albay,Bangkirohan,bangkirohan
Philippines,philippines,PH,Albay,albay,Banocboc,banocboc
Philippines,philippines,PH,Albay,albay,Bao,bao
Philippines,philippines,PH,Albay,albay,Baras,baras
Philippines,philippines,PH,Albay,albay,Barayong,barayong
Philippines,philippines,PH,Albay,albay,Barcelona,barcelona
Philippines,philippines,PH,Albay,albay,Bariw,bariw
Philippines,philippines,PH,Albay,albay,Barra,barra
Philippines,philippines,PH,Albay,albay,Bascaron,bascaron
Philippines,philippines,PH,Albay,albay,Basiad,basiad
Philippines,philippines,PH,Albay,albay,Basicao Coastal,basicao-coastal
Philippines,philippines,PH,Albay,albay,Basud,basud
Philippines,philippines,PH,Albay,albay,Batana,batana
Philippines,philippines,PH,Albay,albay,Bato,bato
Philippines,philippines,PH,Albay,albay,Batobalane,batobalane
Philippines,philippines,PH,Albay,albay,Batuan,batuan
Philippines,philippines,PH,Albay,albay,Baybay,baybay
Philippines,philippines,PH,Albay,albay,Beberon,beberon
Philippines,philippines,PH,Albay,albay,Bigaa,bigaa
Philippines,philippines,PH,Albay,albay,Binanwanaan,binanwanaan
Philippines,philippines,PH,Albay,albay,Binitayan,binitayan
Philippines,philippines,PH,Albay,albay,Binodegahan,binodegahan
Philippines,philippines,PH,Albay,albay,Bolo,bolo
Philippines,philippines,PH,Albay,albay,Bombon,bombon
Philippines,philippines,PH,Albay,albay,Bonga,bonga
Philippines,philippines,PH,Albay,albay,Boton,boton
Philippines,philippines,PH,Albay,albay,Buang,buang
Philippines,philippines,PH,Albay,albay,Buenavista,buenavista
Philippines,philippines,PH,Albay,albay,Buga,buga
Philippines,philippines,PH,Albay,albay,Buhatan,buhatan
Philippines,philippines,PH,Albay,albay,Buhi,buhi
Philippines,philippines,PH,Albay,albay,Bula,bula
Philippines,philippines,PH,Albay,albay,Bulan,bulan
Philippines,philippines,PH,Albay,albay,Bulo,bulo
