s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Portugal,portugal,PT,Aveiro District,aveiro-district,Aguada de Cima,aguada-de-cima
Portugal,portugal,PT,Aveiro District,aveiro-district,Agueda,agueda
Portugal,portugal,PT,Aveiro District,aveiro-district,Albergaria-a-Velha,albergaria-a-velha
Portugal,portugal,PT,Aveiro District,aveiro-district,Anadia,anadia
Portugal,portugal,PT,Aveiro District,aveiro-district,Aradas,aradas
Portugal,portugal,PT,Aveiro District,aveiro-district,Arcos,arcos
Portugal,portugal,PT,Aveiro District,aveiro-district,Argoncilhe,argoncilhe
Portugal,portugal,PT,Aveiro District,aveiro-district,Arouca,arouca
Portugal,portugal,PT,Aveiro District,aveiro-district,Arrifana,arrifana
Portugal,portugal,PT,Aveiro District,aveiro-district,Avanca,avanca
Portugal,portugal,PT,Aveiro District,aveiro-district,Aveiro,aveiro
Portugal,portugal,PT,Aveiro District,aveiro-district,Beduido,beduido
Portugal,portugal,PT,Aveiro District,aveiro-district,Branca,branca
Portugal,portugal,PT,Aveiro District,aveiro-district,Castelo de Paiva,castelo-de-paiva
Portugal,portugal,PT,Aveiro District,aveiro-district,Cortegaca,cortegaca
Portugal,portugal,PT,Aveiro District,aveiro-district,Cucujaes,cucujaes
Portugal,portugal,PT,Aveiro District,aveiro-district,Eixo,eixo
Portugal,portugal,PT,Aveiro District,aveiro-district,Esgueira,esgueira
Portugal,portugal,PT,Aveiro District,aveiro-district,Esmoriz,esmoriz
Portugal,portugal,PT,Aveiro District,aveiro-district,Espargo,espargo
Portugal,portugal,PT,Aveiro District,aveiro-district,Espinho,espinho
Portugal,portugal,PT,Aveiro District,aveiro-district,Estarreja,estarreja
Portugal,portugal,PT,Aveiro District,aveiro-district,Feira,feira
Portugal,portugal,PT,Aveiro District,aveiro-district,Fiaes,fiaes
Portugal,portugal,PT,Aveiro District,aveiro-district,Gafanha da Encarnacao,gafanha-da-encarnacao
Portugal,portugal,PT,Aveiro District,aveiro-district,Gafanha da Nazare,gafanha-da-nazare
Portugal,portugal,PT,Aveiro District,aveiro-district,Ilhavo,ilhavo
Portugal,portugal,PT,Aveiro District,aveiro-district,Lamas,lamas
Portugal,portugal,PT,Aveiro District,aveiro-district,Lobao,lobao
Portugal,portugal,PT,Aveiro District,aveiro-district,Lourosa,lourosa
Portugal,portugal,PT,Aveiro District,aveiro-district,Luso,luso
Portugal,portugal,PT,Aveiro District,aveiro-district,Macieira de Cambra,macieira-de-cambra
Portugal,portugal,PT,Aveiro District,aveiro-district,Mealhada,mealhada
Portugal,portugal,PT,Aveiro District,aveiro-district,Milheiros de Poiares,milheiros-de-poiares
Portugal,portugal,PT,Aveiro District,aveiro-district,Mosteiro,mosteiro
