s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Paraguay,PY,Alto Paraguay Department,alto-paraguay-department,Capitan Pablo Lagerenza,capitan-pablo-lagerenza
Paraguay,PY,Alto Paraguay Department,alto-paraguay-department,Fuerte Olimpo,fuerte-olimpo
Paraguay,PY,Alto Parana Department,alto-parana-department,Cedrales,cedrales
Paraguay,PY,Alto Parana Department,alto-parana-department,Ciudad del Este,ciudad-del-este
Paraguay,PY,Alto Parana Department,alto-parana-department,Colonia Minga Pora,colonia-minga-pora
Paraguay,PY,Alto Parana Department,alto-parana-department,Doctor Juan Leon Mallorquin,doctor-juan-leon-mallorquin
Paraguay,PY,Alto Parana Department,alto-parana-department,Itakyry,itakyry
Paraguay,PY,Alto Parana Department,alto-parana-department,Naranjal,naranjal
Paraguay,PY,Alto Parana Department,alto-parana-department,Presidente Franco,presidente-franco
Paraguay,PY,Alto Parana Department,alto-parana-department,San Alberto,san-alberto
Paraguay,PY,Alto Parana Department,alto-parana-department,Santa Rita,santa-rita
Paraguay,PY,Alto Parana Department,alto-parana-department,Yguazu,yguazu
Paraguay,PY,Amambay Department,amambay-department,Bella Vista,bella-vista
Paraguay,PY,Amambay Department,amambay-department,Capitan Bado,capitan-bado
Paraguay,PY,Amambay Department,amambay-department,Pedro Juan Caballero,pedro-juan-caballero
Paraguay,PY,Boqueron Department,boqueron-department,Colonia Menno,colonia-menno
Paraguay,PY,Boqueron Department,boqueron-department,Colonia Neuland,colonia-neuland
Paraguay,PY,Boqueron Department,boqueron-department,Filadelfia,filadelfia
Paraguay,PY,Caaguazu,caaguazu,Caaguazu,caaguazu
Paraguay,PY,Caaguazu,caaguazu,Carayao,carayao
Paraguay,PY,Caaguazu,caaguazu,Cecilio Baez,cecilio-baez
Paraguay,PY,Caaguazu,caaguazu,Colonia General Alfredo Stroessner,colonia-general-alfredo-stroessner
Paraguay,PY,Caaguazu,caaguazu,Coronel Oviedo,coronel-oviedo
Paraguay,PY,Caaguazu,caaguazu,Doctor Juan Manuel Frutos,doctor-juan-manuel-frutos
Paraguay,PY,Caaguazu,caaguazu,Mbutuy,mbutuy
Paraguay,PY,Caaguazu,caaguazu,Repatriacion,repatriacion
Paraguay,PY,Caaguazu,caaguazu,San Joaquin,san-joaquin
Paraguay,PY,Caaguazu,caaguazu,San Jose,san-jose
Paraguay,PY,Caaguazu,caaguazu,Yhu,yhu
Paraguay,PY,Caazapa,caazapa,Abai,abai
Paraguay,PY,Caazapa,caazapa,Buena Vista,buena-vista
