s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Solomon Islands,SB,Central Province,central-province,Tulagi,tulagi
Solomon Islands,SB,Choiseul Province,choiseul-province,Choiseul Province,choiseul-province
Solomon Islands,SB,Guadalcanal Province,guadalcanal-province,Honiara,honiara
Solomon Islands,SB,Honiara,honiara,Honiara,honiara
Solomon Islands,SB,Isabel Province,isabel-province,Buala,buala
Solomon Islands,SB,Makira-Ulawa Province,makira-ulawa-province,Kirakira,kirakira
Solomon Islands,SB,Malaita Province,malaita-province,Auki,auki
Solomon Islands,SB,Rennell and Bellona Province,rennell-and-bellona-province,Rennell and Bellona Province,rennell-and-bellona-province
Solomon Islands,SB,Temotu Province,temotu-province,Lata,lata
Solomon Islands,SB,Western Province,western-province,Gizo,gizo
