s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Slovenia,SI,Ajdovscina Municipality,ajdovscina-municipality,Ajdovscina,ajdovscina
Slovenia,SI,Ajdovscina Municipality,ajdovscina-municipality,Cirkulane,cirkulane
Slovenia,SI,Ajdovscina Municipality,ajdovscina-municipality,Lokavec,lokavec
Slovenia,SI,Ankaran Municipality,ankaran-municipality,Ankaran,ankaran
Slovenia,SI,Beltinci Municipality,beltinci-municipality,Beltinci,beltinci
Slovenia,SI,Beltinci Municipality,beltinci-municipality,Gancani,gancani
Slovenia,SI,Beltinci Municipality,beltinci-municipality,Lipovci,lipovci
Slovenia,SI,Beltinci Municipality,beltinci-municipality,Zgornje Gorje,zgornje-gorje
Slovenia,SI,Benedikt Municipality,benedikt-municipality,Benedikt,benedikt
Slovenia,SI,Bistrica ob Sotli Municipality,bistrica-ob-sotli-municipality,Bistrica ob Sotli,bistrica-ob-sotli
Slovenia,SI,Bled Municipality,bled-municipality,Bled,bled
Slovenia,SI,Bled Municipality,bled-municipality,Kostanjevica na Krki,kostanjevica-na-krki
Slovenia,SI,Bled Municipality,bled-municipality,Zasip,zasip
Slovenia,SI,Bloke Municipality,bloke-municipality,Nova Vas,nova-vas
Slovenia,SI,Bohinj Municipality,bohinj-municipality,Bohinjska Bistrica,bohinjska-bistrica
Slovenia,SI,Bohinj Municipality,bohinj-municipality,Dragomer,dragomer
Slovenia,SI,Bohinj Municipality,bohinj-municipality,Log pri Brezovici,log-pri-brezovici
Slovenia,SI,Borovnica Municipality,borovnica-municipality,Borovnica,borovnica
Slovenia,SI,Borovnica Municipality,borovnica-municipality,Makole,makole
Slovenia,SI,Bovec Municipality,bovec-municipality,Bovec,bovec
Slovenia,SI,Bovec Municipality,bovec-municipality,Mirna,mirna
Slovenia,SI,Braslovce Municipality,braslovce-municipality,Braslovce,braslovce
Slovenia,SI,Brda Municipality,brda-municipality,Dobrovo,dobrovo
Slovenia,SI,Brda Municipality,brda-municipality,Mokronog,mokronog
Slovenia,SI,Brezice Municipality,brezice-municipality,Brezice,brezice
Slovenia,SI,Brezice Municipality,brezice-municipality,Poljcane,poljcane
Slovenia,SI,Brezovica Municipality,brezovica-municipality,Brezovica pri Ljubljani,brezovica-pri-ljubljani
Slovenia,SI,Brezovica Municipality,brezovica-municipality,Notranje Gorice,notranje-gorice
Slovenia,SI,Brezovica Municipality,brezovica-municipality,Opstina Ljubljana-Vic-Rudnik,opstina-ljubljana-vic-rudnik
Slovenia,SI,Brezovica Municipality,brezovica-municipality,Recica ob Savinji,recica-ob-savinji
Slovenia,SI,Brezovica Municipality,brezovica-municipality,Vnanje Gorice,vnanje-gorice
Slovenia,SI,Cankova Municipality,cankova-municipality,Cankova,cankova
Slovenia,SI,Cerklje na Gorenjskem Municipality,cerklje-na-gorenjskem-municipality,Cerklje na Gorenjskem,cerklje-na-gorenjskem
Slovenia,SI,Cerknica Municipality,cerknica-municipality,Cerknica,cerknica
Slovenia,SI,Cerknica Municipality,cerknica-municipality,Rakek,rakek
Slovenia,SI,Cerkno Municipality,cerkno-municipality,Cerkno,cerkno
Slovenia,SI,Cerkvenjak Municipality,cerkvenjak-municipality,Cerkvenjak,cerkvenjak
Slovenia,SI,City Municipality of Celje,city-municipality-of-celje,Celje,celje
Slovenia,SI,City Municipality of Celje,city-municipality-of-celje,Ljubecna,ljubecna
Slovenia,SI,City Municipality of Celje,city-municipality-of-celje,Trnovlje pri Celju,trnovlje-pri-celju
Slovenia,SI,City Municipality of Novo Mesto,city-municipality-of-novo-mesto,Novo Mesto,novo-mesto
Slovenia,SI,Crensovci Municipality,crensovci-municipality,Crensovci,crensovci
Slovenia,SI,Crna na Koroskem Municipality,crna-na-koroskem-municipality,Crna na Koroskem,crna-na-koroskem
Slovenia,SI,Crnomelj Municipality,crnomelj-municipality,Crnomelj,crnomelj
Slovenia,SI,Destrnik Municipality,destrnik-municipality,Destrnik,destrnik
Slovenia,SI,Divaca Municipality,divaca-municipality,Divaca,divaca
Slovenia,SI,Dobje Municipality,dobje-municipality,Dobje pri Planini,dobje-pri-planini
Slovenia,SI,Dobrepolje Municipality,dobrepolje-municipality,Videm,videm
Slovenia,SI,Dobrna Municipality,dobrna-municipality,Dobrna,dobrna
Slovenia,SI,DobrovaPolhov Gradec Municipality,dobrovapolhov-gradec-municipality,Dobrova,dobrova
Slovenia,SI,Dobrovnik Municipality,dobrovnik-municipality,Dobrovnik,dobrovnik
Slovenia,SI,Dol pri Ljubljani Municipality,dol-pri-ljubljani-municipality,Dol pri Ljubljani,dol-pri-ljubljani
