s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Senegal,SN,Dakar,dakar,Dakar,dakar
Senegal,SN,Dakar,dakar,Dakar Department,dakar-department
Senegal,SN,Dakar,dakar,Guediawaye Department,guediawaye-department
Senegal,SN,Dakar,dakar,Mermoz Boabab,mermoz-boabab
Senegal,SN,Dakar,dakar,Ndiareme limamoulaye,ndiareme-limamoulaye
Senegal,SN,Dakar,dakar,Pikine,pikine
Senegal,SN,Dakar,dakar,Pikine Department,pikine-department
Senegal,SN,Dakar,dakar,Rufisque Department,rufisque-department
Senegal,SN,Diourbel Region,diourbel-region,Mbacke,mbacke
Senegal,SN,Diourbel Region,diourbel-region,Mbake,mbake
Senegal,SN,Diourbel Region,diourbel-region,Tiebo,tiebo
Senegal,SN,Diourbel Region,diourbel-region,Touba,touba
Senegal,SN,Fatick,fatick,Diofior,diofior
Senegal,SN,Fatick,fatick,Fatick Department,fatick-department
Senegal,SN,Fatick,fatick,Foundiougne,foundiougne
Senegal,SN,Fatick,fatick,Guinguineo,guinguineo
Senegal,SN,Fatick,fatick,Passi,passi
Senegal,SN,Fatick,fatick,Pourham,pourham
Senegal,SN,Fatick,fatick,Sokone,sokone
Senegal,SN,Kaffrine,kaffrine,Kaffrine,kaffrine
Senegal,SN,Kaffrine,kaffrine,Koungheul,koungheul
Senegal,SN,Kaolack,kaolack,Gandiaye,gandiaye
Senegal,SN,Kaolack,kaolack,Kaolack,kaolack
Senegal,SN,Kaolack,kaolack,Ndofane,ndofane
Senegal,SN,Kaolack,kaolack,Nioro du Rip,nioro-du-rip
Senegal,SN,Kedougou,kedougou,Departement de Salemata,departement-de-salemata
Senegal,SN,Kedougou,kedougou,Kedougou,kedougou
Senegal,SN,Kedougou,kedougou,Kedougou Department,kedougou-department
Senegal,SN,Kedougou,kedougou,Saraya,saraya
Senegal,SN,Kolda,kolda,Kolda,kolda
Senegal,SN,Kolda,kolda,Kolda Department,kolda-department
Senegal,SN,Kolda,kolda,Marsassoum,marsassoum
Senegal,SN,Kolda,kolda,Velingara,velingara
Senegal,SN,Louga,louga,Dara,dara
Senegal,SN,Louga,louga,Gueoul,gueoul
Senegal,SN,Louga,louga,Linguere Department,linguere-department
Senegal,SN,Louga,louga,Louga,louga
Senegal,SN,Louga,louga,Ndibene Dahra,ndibene-dahra
Senegal,SN,Matam,matam,Diawara,diawara
Senegal,SN,Matam,matam,Kanel,kanel
Senegal,SN,Matam,matam,Matam,matam
Senegal,SN,Matam,matam,Matam Department,matam-department
Senegal,SN,Matam,matam,Ouro Sogui,ouro-sogui
Senegal,SN,Matam,matam,Ranerou,ranerou
Senegal,SN,Matam,matam,Seme,seme
Senegal,SN,Matam,matam,Waounde,waounde
Senegal,SN,Saint-Louis,saint-louis,Golere,golere
Senegal,SN,Saint-Louis,saint-louis,Ndioum,ndioum
Senegal,SN,Saint-Louis,saint-louis,Polel Diaoube,polel-diaoube
Senegal,SN,Saint-Louis,saint-louis,Richard-Toll,richard-toll
Senegal,SN,Saint-Louis,saint-louis,Rosso,rosso
Senegal,SN,Saint-Louis,saint-louis,Saint-Louis,saint-louis
Senegal,SN,Sedhiou,sedhiou,Goudomp Department,goudomp-department
Senegal,SN,Sedhiou,sedhiou,Sedhiou,sedhiou
Senegal,SN,Tambacounda Region,tambacounda-region,Tambacounda,tambacounda
Senegal,SN,Tambacounda Region,tambacounda-region,Tambacounda Department,tambacounda-department
Senegal,SN,Thies Region,thies-region,Joal-Fadiout,joal-fadiout
Senegal,SN,Thies Region,thies-region,Kayar,kayar
Senegal,SN,Thies Region,thies-region,Khombole,khombole
Senegal,SN,Thies Region,thies-region,Mbour,mbour
Senegal,SN,Thies Region,thies-region,Mekhe,mekhe
Senegal,SN,Thies Region,thies-region,Nguekhokh,nguekhokh
Senegal,SN,Thies Region,thies-region,Pout,pout
Senegal,SN,Thies Region,thies-region,Thies,thies
Senegal,SN,Thies Region,thies-region,Thies Nones,thies-nones
Senegal,SN,Thies Region,thies-region,Tiadiaye,tiadiaye
Senegal,SN,Thies Region,thies-region,Tivaouane,tivaouane
Senegal,SN,Thies Region,thies-region,Warang,warang
Senegal,SN,Ziguinchor,ziguinchor,Adeane,adeane
Senegal,SN,Ziguinchor,ziguinchor,Bignona,bignona
Senegal,SN,Ziguinchor,ziguinchor,Oussouye,oussouye
Senegal,SN,Ziguinchor,ziguinchor,Tionk Essil,tionk-essil
Senegal,SN,Ziguinchor,ziguinchor,Ziguinchor,ziguinchor
