s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Syria,syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Ad Darbasiyah,ad-darbasiyah
Syria,syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al Hasakah,al-hasakah
Syria,syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al Malikiyah,al-malikiyah
Syria,syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al Qamishli,al-qamishli
Syria,syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al-Malikiyah District,al-malikiyah-district
Syria,syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Amude,amude
Syria,syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Al-Thawrah District,al-thawrah-district
Syria,syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Ar Raqqah,ar-raqqah
Syria,syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Ar-Raqqah District,ar-raqqah-district
Syria,syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Ath Thawrah,ath-thawrah
Syria,syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Tall Abyad,tall-abyad
Syria,syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Tell Abyad District,tell-abyad-district
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Afrin,afrin
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Ayn al Arab,ayn-al-arab
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Afrin District,afrin-district
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Al Atarib,al-atarib
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Al Bab,al-bab
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Al-Bab District,al-bab-district
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Aleppo,aleppo
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,As Safirah,as-safirah
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Azaz District,azaz-district
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Dayr Hafir,dayr-hafir
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Izaz,izaz
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Jarabulus,jarabulus
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Kafr Saghir,kafr-saghir
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Khanasir,khanasir
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Manbij,manbij
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Manbij District,manbij-district
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Mount Simeon District,mount-simeon-district
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Nubl,nubl
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Suran,suran
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Tadif,tadif
Syria,syria,SY,Aleppo Governorate,aleppo-governorate,Tall Rifat,tall-rifat
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,As-Suwayda,as-suwayda
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,As-Suwayda District,as-suwayda-district
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Salakhid,salakhid
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Salkhad,salkhad
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Salkhad District,salkhad-district
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Shahba,shahba
Syria,syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Shahba District,shahba-district
Syria,syria,SY,Damascus Governorate,damascus-governorate,Damascus,damascus
Syria,syria,SY,Daraa Governorate,daraa-governorate,Al Harak,al-harak
Syria,syria,SY,Daraa Governorate,daraa-governorate,Al Muzayrib,al-muzayrib
Syria,syria,SY,Daraa Governorate,daraa-governorate,Al-Sanamayn District,al-sanamayn-district
Syria,syria,SY,Daraa Governorate,daraa-governorate,As Sanamayn,as-sanamayn
Syria,syria,SY,Daraa Governorate,daraa-governorate,Ash Shaykh Miskin,ash-shaykh-miskin
Syria,syria,SY,Daraa Governorate,daraa-governorate,Busra ash Sham,busra-ash-sham
Syria,syria,SY,Daraa Governorate,daraa-governorate,Dara,dara
Syria,syria,SY,Daraa Governorate,daraa-governorate,Ghabaghib,ghabaghib
Syria,syria,SY,Daraa Governorate,daraa-governorate,Inkhil,inkhil
Syria,syria,SY,Daraa Governorate,daraa-governorate,Izra District,izra-district
Syria,syria,SY,Daraa Governorate,daraa-governorate,Izra,izra
Syria,syria,SY,Daraa Governorate,daraa-governorate,Jasim,jasim
Syria,syria,SY,Daraa Governorate,daraa-governorate,Nawa,nawa
Syria,syria,SY,Daraa Governorate,daraa-governorate,Tafas,tafas
Syria,syria,SY,Daraa Governorate,daraa-governorate,Tasil,tasil
Syria,syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Al Mayadin,al-mayadin
Syria,syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Albu Kamal,albu-kamal
Syria,syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Deir ez-Zor,deir-ez-zor
Syria,syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Hajin,hajin
Syria,syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Subaykhan,subaykhan
Syria,syria,SY,Hama Governorate,hama-governorate,Al-Salamiyah District,al-salamiyah-district
Syria,syria,SY,Hama Governorate,hama-governorate,As Salamiyah,as-salamiyah
Syria,syria,SY,Hama Governorate,hama-governorate,As Suqaylibiyah,as-suqaylibiyah
Syria,syria,SY,Hama Governorate,hama-governorate,Halfaya,halfaya
Syria,syria,SY,Hama Governorate,hama-governorate,Hama District,hama-district
Syria,syria,SY,Hama Governorate,hama-governorate,Hamah,hamah
Syria,syria,SY,Hama Governorate,hama-governorate,Kafr Zayta,kafr-zayta
Syria,syria,SY,Hama Governorate,hama-governorate,Masyaf,masyaf
Syria,syria,SY,Hama Governorate,hama-governorate,Masyaf District,masyaf-district
Syria,syria,SY,Hama Governorate,hama-governorate,Murak,murak
Syria,syria,SY,Hama Governorate,hama-governorate,Souran,souran
Syria,syria,SY,Hama Governorate,hama-governorate,Tall Salhab,tall-salhab
Syria,syria,SY,Hama Governorate,hama-governorate,Tayyibat al Imam,tayyibat-al-imam
Syria,syria,SY,Hama Governorate,hama-governorate,Tremseh,tremseh
Syria,syria,SY,Homs Governorate,homs-governorate,Al Ghantu,al-ghantu
Syria,syria,SY,Homs Governorate,homs-governorate,Al Qaryatayn,al-qaryatayn
Syria,syria,SY,Homs Governorate,homs-governorate,Al Qusayr,al-qusayr
Syria,syria,SY,Homs Governorate,homs-governorate,Al-Rastan District,al-rastan-district
Syria,syria,SY,Homs Governorate,homs-governorate,Ar Rastan,ar-rastan
Syria,syria,SY,Homs Governorate,homs-governorate,Hisya,hisya
Syria,syria,SY,Homs Governorate,homs-governorate,Homs,homs
Syria,syria,SY,Homs Governorate,homs-governorate,Kafr Laha,kafr-laha
